Orthogroup	m_conductrix_genome_proteins	a99_genome_proteins
OG0000052	PSC69473.1	scaffold20.g7847.t1
OG0000053	PSC74369.1	scaffold7.g3463.t1, scaffold12.g8256.t1
OG0000056	PSC68161.1	scaffold5.g995.t1
OG0000056	PSC69376.1, PSC69377.1, PSC69400.1	scaffold17.g586.t1
OG0000059	PSC74049.1	scaffold2.g6899.t1
OG0000059	PSC74182.1	scaffold2.g7015.t1
OG0000060	PSC70063.1	scaffold24.g2974.t1
OG0000060	PSC75854.1, PSC75765.1, PSC76970.1	scaffold5.g900.t1
OG0000061	PSC71155.1	scaffold11.g3926.t1
OG0000061	PSC73672.1, PSC73671.1	scaffold14.g1323.t1
OG0000061	PSC74930.1	scaffold12.g8275.t1, scaffold9.g3165.t1, scaffold9.g3138.t1
OG0000062	PSC76977.1	scaffold19.g1806.t1, scaffold8.g1419.t1
OG0000062	PSC67774.1	scaffold2.g7111.t1
OG0000063	PSC73067.1	scaffold8.g1589.t1, scaffold1.g5347.t1
OG0000064	PSC72115.1	scaffold21.g2159.t1
OG0000064	PSC74270.1, PSC70134.1	scaffold6.g2717.t1
OG0000066	PSC69007.1	scaffold12.g8238.t1
OG0000066	PSC74727.1	scaffold2.g7296.t1
OG0000068	PSC74192.1, PSC74475.1	scaffold12.g8197.t1
OG0000068	PSC69541.1	scaffold11.g3909.t1
OG0000069	PSC68595.1, PSC67333.1	scaffold7.g3563.t1
OG0000069	PSC68970.1, PSC71822.1, PSC68623.1, PSC68650.1, PSC68142.1, PSC67013.1, PSC67576.1	scaffold336.g5147.t1
OG0000071	PSC69999.1, PSC70098.1	scaffold2.g7456.t1
OG0000075	PSC67849.1	scaffold5.g965.t1
OG0000075	PSC74454.1	scaffold13.g368.t1
OG0000076	PSC74606.1	scaffold4.g4739.t1, scaffold4.g4678.t1, scaffold21.g2091.t1, scaffold15.g4343.t1, scaffold15.g4345.t1, scaffold15.g4339.t1, scaffold7.g3409.t1, scaffold7.g3410.t1, scaffold21.g2090.t1, scaffold12.g8041.t1, scaffold12.g8069.t1, scaffold12.g8055.t1, scaffold1.g5431.t1, scaffold8.g1677.t1
OG0000077	PSC73949.1	scaffold1.g5663.t1
OG0000077	PSC72236.1	scaffold21.g2144.t1, scaffold21.g2145.t1
OG0000078	PSC75438.1	scaffold6.g2727.t1
OG0000078	PSC69403.1, PSC69356.1	scaffold11.g3955.t1, scaffold11.g3956.t1, scaffold4.g4630.t1, scaffold7.g3621.t1, scaffold2.g6921.t1
OG0000079	PSC67450.1	scaffold1.g5282.t1
OG0000086	PSC73340.1	scaffold2.g7360.t1, scaffold5.g677.t1, scaffold16.g112.t1, scaffold25.g5133.t1, scaffold19.g1746.t1, scaffold2.g7040.t1, scaffold8.g1653.t1, scaffold8.g1727.t1, scaffold14.g1036.t1, scaffold5.g934.t1, scaffold14.g1224.t1, scaffold16.g105.t1, scaffold5.g936.t1
OG0000087	PSC72752.1, PSC72751.1	scaffold2.g6980.t1
OG0000087	PSC74385.1, PSC74384.1	scaffold13.g295.t1, scaffold12.g8260.t1
OG0000088	PSC68175.1	scaffold9.g3284.t1, scaffold5.g733.t1, scaffold14.g1258.t1, scaffold14.g1260.t1, scaffold1.g5646.t1, scaffold1.g5705.t1, scaffold1.g5690.t1, scaffold12.g8016.t1, scaffold14.g1268.t1, scaffold1.g5369.t1, scaffold6.g2783.t1, scaffold10.g2349.t1, scaffold338.g5145.t1, scaffold4.g4759.t1
OG0000089	PSC74206.1	scaffold8.g1512.t1, scaffold1.g5368.t1, scaffold2.g6901.t1
OG0000089	PSC77048.1	scaffold12.g8201.t1, scaffold19.g1824.t1
OG0000090	PSC72449.1, PSC72450.1	scaffold22.g6141.t1
OG0000090	PSC71636.1	scaffold18.g2030.t1
OG0000091	PSC72440.1, PSC72437.1	scaffold7.g3469.t1
OG0000092	PSC75034.1	scaffold9.g3015.t1
OG0000092	PSC67689.1, PSC74817.1	scaffold9.g3017.t1
OG0000093	PSC68159.1	scaffold9.g3132.t1
OG0000094	PSC73251.1	scaffold26.g3358.t1, scaffold11.g3879.t1
OG0000095	PSC70677.1, PSC68686.1, PSC74289.1, PSC70480.1, PSC73653.1, PSC72921.1	scaffold11.g3872.t1
OG0000096	PSC67062.1	scaffold4.g4691.t1
OG0000096	PSC67883.1, PSC67145.1, PSC67061.1, PSC67064.1, PSC67092.1, PSC67116.1	scaffold11.g3928.t1
OG0000097	PSC74829.1	scaffold11.g4064.t1, scaffold23.g4191.t1, scaffold2.g7502.t1, scaffold2.g7503.t1, scaffold1.g5557.t1
OG0000098	PSC73461.1	scaffold40.g5161.t1
OG0000098	PSC73407.1, PSC73408.1	scaffold40.g5162.t1
OG0000099	PSC76028.1	scaffold1.g5569.t1
OG0000103	PSC75580.1	scaffold13.g185.t1
OG0000104	PSC76060.1, PSC67084.1	scaffold5.g906.t1
OG0000104	PSC76330.1	scaffold5.g722.t1
OG0000105	PSC75756.1	scaffold30.g4439.t1
OG0000106	PSC75001.1	scaffold9.g3025.t1
OG0000106	PSC76477.1	scaffold9.g3291.t1, scaffold5.g993.t1, scaffold2.g6870.t1, scaffold10.g2347.t1
OG0000107	PSC71229.1, PSC71228.1	scaffold8.g1577.t1
OG0000108	PSC72373.1	scaffold84.g4561.t1, scaffold7.g3496.t1, scaffold19.g1842.t1, scaffold7.g3714.t1
OG0000109	PSC73115.1	scaffold3.g6213.t1
OG0000110	PSC72308.1, PSC72305.1, PSC72304.1, PSC72306.1, PSC72307.1	scaffold10.g2339.t1, scaffold10.g2456.t1
OG0000111	PSC72871.1, PSC72872.1	scaffold6.g2756.t1
OG0000112	PSC76549.1	scaffold7.g3579.t1
OG0000113	PSC67216.1, PSC67227.1	scaffold7.g3630.t1
OG0000114	PSC68818.1	scaffold23.g4091.t1
OG0000115	PSC75653.1, PSC67903.1	scaffold30.g4425.t1, scaffold30.g4462.t1, scaffold30.g4452.t1, scaffold30.g4455.t1, scaffold30.g4447.t1, scaffold30.g4463.t1, scaffold30.g4459.t1, scaffold36.g5070.t1
OG0000116	PSC72059.1	scaffold1.g5676.t1
OG0000117	PSC69898.1, PSC69015.1	scaffold4.g4954.t1
OG0000118	PSC77040.1, PSC71142.1	scaffold2.g7483.t1, scaffold22.g6072.t1
OG0000119	PSC69988.1, PSC70112.1	scaffold2.g7265.t1, scaffold2.g7266.t1
OG0000122	PSC69373.1	scaffold16.g42.t1
OG0000123	PSC76861.1	scaffold3.g6561.t1, scaffold20.g7694.t1, scaffold20.g7696.t1, scaffold10.g2257.t1, scaffold2.g7441.t1, scaffold16.g84.t1, scaffold20.g7695.t1
OG0000124	PSC68810.1	scaffold4.g4802.t1
OG0000124	PSC72762.1	scaffold20.g7697.t1, scaffold16.g85.t1, scaffold6.g2677.t1, scaffold6.g2833.t1
OG0000125	PSC77041.1	scaffold13.g279.t1, scaffold13.g278.t1
OG0000126	PSC69980.1, PSC70105.1	scaffold13.g328.t1
OG0000126	PSC70072.1	scaffold13.g318.t1
OG0000127	PSC67479.1, PSC67265.1	scaffold34.g4520.t1
OG0000127	PSC67767.1	scaffold17.g422.t1, scaffold14.g1345.t1, scaffold28.g7540.t1, scaffold4.g4581.t1, scaffold1.g5668.t1, scaffold13.g372.t1, scaffold1.g5819.t1
OG0000128	PSC72459.1, PSC72458.1	scaffold18.g2061.t1
OG0000128	PSC70419.1	scaffold5.g626.t1
OG0000129	PSC67928.1, PSC67930.1, PSC67929.1	scaffold5.g640.t1
OG0000130	PSC76405.1	scaffold3.g6559.t1
OG0000130	PSC76014.1	scaffold5.g852.t1
OG0000131	PSC69559.1	scaffold14.g1153.t1
OG0000131	PSC74415.1	scaffold8.g1615.t1
OG0000132	PSC75941.1, PSC75942.1, PSC75940.1	scaffold14.g1179.t1
OG0000132	PSC75647.1	scaffold14.g1278.t1
OG0000134	PSC76725.1	scaffold34.g4506.t1, scaffold14.g1199.t1, scaffold14.g1211.t1, scaffold14.g1198.t1
OG0000135	PSC68763.1, PSC74414.1	scaffold8.g1664.t1
OG0000136	PSC71503.1, PSC73322.1, PSC73870.1	scaffold21.g2167.t1
OG0000137	PSC71461.1	scaffold6.g2876.t1
OG0000137	PSC69950.1	scaffold4.g4994.t1
OG0000138	PSC75108.1, PSC75107.1, PSC75144.1, PSC74950.1, PSC74923.1, PSC75222.1, PSC75009.1	scaffold4.g4774.t1, scaffold26.g3327.t1, scaffold9.g3026.t1
OG0000139	PSC74920.1	scaffold9.g3139.t1
OG0000139	PSC71738.1	scaffold2.g7295.t1
OG0000140	PSC67423.1, PSC67422.1, PSC69973.1	scaffold4.g4950.t1, scaffold7.g3403.t1
OG0000142	PSC71674.1	scaffold15.g4372.t1
OG0000143	PSC69662.1	scaffold3.g6176.t1, scaffold3.g6216.t1
OG0000144	PSC75532.1, PSC69160.1, PSC68073.1	scaffold2.g7081.t1
OG0000145	PSC67215.1	scaffold2.g7115.t1
OG0000146	PSC72815.1, PSC72814.1, PSC68319.1, PSC68318.1, PSC74681.1, PSC74680.1, PSC74682.1, PSC74683.1, PSC74679.1	scaffold12.g8213.t1
OG0000154	PSC69447.1	scaffold1.g5896.t1
OG0000154	PSC70307.1	scaffold16.g58.t1
OG0000154	PSC69513.1	scaffold19.g1845.t1
OG0000155	PSC75196.1	scaffold16.g145.t1, scaffold24.g2935.t1, scaffold16.g148.t1
OG0000156	PSC67446.1	scaffold7.g3401.t1, scaffold7.g3388.t1
OG0000157	PSC69369.1	scaffold13.g377.t1
OG0000157	PSC73132.1	scaffold1.g5421.t1
OG0000157	PSC70545.1	scaffold2.g6784.t1
OG0000158	PSC73437.1	scaffold17.g436.t1, scaffold21.g2226.t1, scaffold2.g7350.t1
OG0000159	PSC67887.1	scaffold5.g679.t1
OG0000162	PSC73614.1	scaffold26.g3367.t1
OG0000163	PSC70011.1	scaffold5.g964.t1
OG0000165	PSC77072.1	scaffold14.g1210.t1, scaffold1.g5531.t1
OG0000166	PSC68684.1	scaffold14.g1237.t1
OG0000167	PSC75488.1	scaffold14.g1244.t1
OG0000167	PSC71615.1	scaffold8.g1370.t1
OG0000168	PSC71505.1	scaffold8.g1364.t1, scaffold6.g2671.t1, scaffold6.g2691.t1, scaffold6.g2654.t1
OG0000169	PSC67463.1	scaffold8.g1450.t1
OG0000170	PSC69717.1	scaffold1.g5312.t1
OG0000170	PSC72851.1	scaffold6.g2638.t1
OG0000170	PSC72663.1	scaffold8.g1467.t1
OG0000171	PSC76686.1	scaffold8.g1600.t1
OG0000171	PSC76571.1, PSC71303.1	scaffold3.g6374.t1
OG0000172	PSC74965.1	scaffold25.g5092.t1, scaffold2.g7292.t1
OG0000172	PSC75935.1	scaffold8.g1670.t1, scaffold19.g1831.t1, scaffold8.g1647.t1, scaffold1.g5202.t1, scaffold1.g5226.t1, scaffold21.g2209.t1, scaffold21.g2202.t1
OG0000173	PSC72567.1	scaffold18.g1938.t1
OG0000175	PSC71929.1	scaffold12.g8029.t1, scaffold10.g2306.t1
OG0000176	PSC74217.1, PSC74216.1	scaffold6.g2519.t1
OG0000177	PSC71477.1	scaffold6.g2737.t1
OG0000178	PSC68357.1	scaffold3.g6247.t1
OG0000179	PSC72982.1, PSC73020.1	scaffold7.g3615.t1, scaffold7.g3627.t1
OG0000180	PSC74063.1	scaffold1.g5177.t1
OG0000180	PSC71668.1	scaffold7.g3655.t1
OG0000181	PSC75614.1	scaffold32.g3814.t1, scaffold1.g5314.t1
OG0000182	PSC68521.1, PSC68522.1	scaffold11.g3860.t1
OG0000182	PSC69370.1	scaffold42.g4468.t1
OG0000184	PSC73896.1, PSC73895.1	scaffold11.g4072.t1
OG0000185	PSC67218.1	scaffold23.g4082.t1, scaffold23.g4083.t1
OG0000186	PSC71716.1, PSC71710.1	scaffold15.g4354.t1
OG0000187	PSC67905.1, PSC67940.1, PSC67941.1	scaffold30.g4446.t1
OG0000189	PSC69877.1	scaffold4.g5051.t1
OG0000189	PSC69947.1	scaffold4.g5053.t1
OG0000190	PSC68341.1	scaffold3.g6416.t1
OG0000190	PSC76413.1, PSC76414.1	scaffold25.g5115.t1
OG0000191	PSC75916.1	scaffold1.g5206.t1, scaffold1.g5286.t1
OG0000191	PSC75468.1	scaffold1.g5245.t1
OG0000193	PSC74899.1, PSC67054.1, PSC68898.1	scaffold1.g5407.t1
OG0000193	PSC68833.1	scaffold1.g5412.t1
OG0000194	PSC67100.1, PSC68198.1, PSC67328.1, PSC68190.1	scaffold29.g5966.t1
OG0000195	PSC71065.1	scaffold20.g7659.t1
OG0000195	PSC71746.1	scaffold22.g6043.t1
OG0000196	PSC74986.1, PSC71152.1	scaffold3.g6577.t1
OG0000196	PSC72067.1	scaffold2.g6849.t1
OG0000197	PSC71712.1, PSC71711.1	scaffold2.g7204.t1, scaffold2.g7206.t1
OG0000198	PSC71844.1, PSC71742.1, PSC71743.1	scaffold2.g7305.t1
OG0000199	PSC73655.1	scaffold12.g7968.t1
OG0000199	PSC73814.1	scaffold12.g7938.t1, scaffold12.g7937.t1
OG0000207	PSC69349.1	scaffold16.g32.t1
OG0000208	PSC70253.1	scaffold12.g8121.t1, scaffold12.g8124.t1, scaffold16.g115.t1, scaffold1.g5564.t1
OG0000209	PSC69212.1	scaffold2.g6832.t1
OG0000209	PSC72441.1	scaffold13.g166.t1, scaffold4.g4598.t1, scaffold14.g1083.t1
OG0000210	PSC73136.1	scaffold13.g186.t1
OG0000210	PSC76213.1, PSC76214.1	scaffold7.g3608.t1
OG0000212	PSC72141.1	scaffold13.g326.t1
OG0000213	PSC70219.1	scaffold13.g409.t1
OG0000214	PSC70508.1	scaffold17.g455.t1
OG0000215	PSC69263.1	scaffold17.g476.t1
OG0000216	PSC68743.1, PSC68744.1, PSC68805.1	scaffold17.g595.t1
OG0000217	PSC69482.1	scaffold14.g1146.t1, scaffold5.g708.t1
OG0000218	PSC72101.1	scaffold21.g2142.t1
OG0000218	PSC73806.1	scaffold5.g803.t1
OG0000219	PSC70904.1, PSC70910.1	scaffold5.g958.t1
OG0000219	PSC70151.1, PSC70149.1, PSC70150.1	scaffold7.g3453.t1
OG0000220	PSC68007.1	scaffold5.g972.t1, scaffold5.g1004.t1
OG0000221	PSC76471.1, PSC76470.1	scaffold4.g4860.t1
OG0000222	PSC75773.1	scaffold14.g1084.t1, scaffold14.g1070.t1
OG0000223	PSC77055.1	scaffold14.g1123.t1
OG0000224	PSC68245.1, PSC69220.1, PSC69231.1	scaffold14.g1137.t1
OG0000225	PSC68463.1, PSC68432.1, PSC68465.1, PSC68464.1	scaffold14.g1212.t1
OG0000226	PSC69018.1, PSC69019.1, PSC69070.1	scaffold14.g1279.t1
OG0000227	PSC73789.1	scaffold14.g1315.t1
OG0000228	PSC70498.1	scaffold14.g1353.t1, scaffold6.g2501.t1, scaffold15.g4256.t1
OG0000229	PSC69835.1	scaffold19.g1837.t1
OG0000230	PSC69799.1	scaffold2.g7028.t1, scaffold18.g1882.t1
OG0000231	PSC73962.1, PSC73963.1, PSC74321.1, PSC73995.1	scaffold3.g6703.t1, scaffold18.g1973.t1
OG0000232	PSC70167.1	scaffold18.g2049.t1
OG0000233	PSC72048.1, PSC70116.1, PSC70115.1, PSC73584.1	scaffold21.g2108.t1, scaffold11.g3937.t1
OG0000234	PSC72121.1	scaffold21.g2139.t1
OG0000235	PSC68980.1, PSC68979.1	scaffold29.g5964.t1
OG0000236	PSC67644.1	scaffold10.g2304.t1, scaffold10.g2480.t1
OG0000236	PSC67662.1	scaffold7.g3760.t1
OG0000237	PSC68122.1, PSC68110.1	scaffold4.g4845.t1, scaffold6.g2574.t1, scaffold22.g6034.t1
OG0000238	PSC69009.1	scaffold76.g4559.t1
OG0000238	PSC69042.1	scaffold6.g2728.t1
OG0000239	PSC71653.1, PSC71652.1	scaffold6.g2740.t1
OG0000240	PSC72912.1	scaffold6.g2764.t1
OG0000240	PSC72903.1	scaffold6.g2766.t1
OG0000241	PSC72657.1, PSC72655.1, PSC72656.1	scaffold6.g2821.t1, scaffold20.g7869.t1
OG0000242	PSC71581.1	scaffold24.g2993.t1
OG0000243	PSC76960.1	scaffold9.g3145.t1
OG0000244	PSC76929.1	scaffold1.g5183.t1, scaffold9.g3177.t1
OG0000245	PSC68459.1, PSC68460.1, PSC68436.1, PSC68437.1	scaffold9.g3187.t1, scaffold9.g3189.t1
OG0000246	PSC67091.1, PSC67041.1, PSC68685.1, PSC67149.1, PSC67045.1	scaffold9.g3207.t1, scaffold2.g6993.t1
OG0000247	PSC75696.1, PSC70602.1, PSC67009.1, PSC67079.1, PSC67105.1, PSC69718.1, PSC67025.1	scaffold9.g3274.t1
OG0000248	PSC74242.1, PSC74244.1, PSC74243.1	scaffold3.g6288.t1, scaffold9.g3286.t1
OG0000249	PSC67108.1	scaffold7.g3373.t1
OG0000249	PSC67431.1	scaffold7.g3375.t1
OG0000250	PSC76246.1	scaffold7.g3498.t1, scaffold7.g3499.t1
OG0000251	PSC76883.1, PSC76882.1, PSC76884.1	scaffold7.g3709.t1
OG0000252	PSC67937.1, PSC67939.1, PSC67938.1	scaffold11.g3839.t1
OG0000253	PSC74123.1, PSC68557.1	scaffold11.g3876.t1, scaffold11.g3853.t1, scaffold11.g3847.t1, scaffold11.g3857.t1
OG0000254	PSC67553.1	scaffold11.g3914.t1
OG0000254	PSC71338.1	scaffold2.g7376.t1
OG0000255	PSC67566.1	scaffold11.g3946.t1
OG0000255	PSC67564.1	scaffold12.g8175.t1
OG0000256	PSC70948.1	scaffold23.g4177.t1
OG0000257	PSC74779.1	scaffold4.g4660.t1
OG0000258	PSC73719.1	scaffold4.g4760.t1
OG0000259	PSC68585.1	scaffold1.g5203.t1
OG0000260	PSC67103.1	scaffold1.g5228.t1
OG0000260	PSC67075.1, PSC67080.1, PSC69734.1	scaffold3.g6685.t1
OG0000261	PSC68291.1	scaffold1.g5471.t1
OG0000261	PSC68257.1	scaffold1.g5467.t1, scaffold1.g5468.t1
OG0000263	PSC68998.1, PSC69065.1	scaffold1.g5651.t1
OG0000264	PSC68335.1	scaffold3.g6297.t1
OG0000265	PSC76482.1, PSC72775.1, PSC72806.1, PSC74858.1	scaffold28.g7591.t1
OG0000266	PSC76181.1	scaffold3.g6616.t1, scaffold2.g7278.t1
OG0000267	PSC70176.1	scaffold3.g6640.t1
OG0000267	PSC70290.1	scaffold2.g7504.t1
OG0000268	PSC73194.1	scaffold3.g6668.t1
OG0000269	PSC69730.1, PSC75563.1	scaffold2.g7090.t1
OG0000270	PSC76597.1, PSC76596.1, PSC76598.1	scaffold2.g7276.t1
OG0000271	PSC71694.1, PSC72678.1	scaffold2.g7320.t1
OG0000272	PSC72330.1, PSC72150.1, PSC72142.1, PSC72294.1	scaffold20.g7704.t1
OG0000273	PSC71382.1	scaffold20.g7874.t1
OG0000274	PSC74405.1	scaffold12.g8000.t1
OG0000274	PSC74406.1, PSC74404.1	scaffold12.g7991.t1
OG0000275	PSC74705.1	scaffold12.g8174.t1
OG0000275	PSC74706.1	scaffold12.g8171.t1
OG0000284	PSC72581.1	scaffold16.g27.t1
OG0000285	PSC71324.1	scaffold1.g5584.t1
OG0000285	PSC73164.1, PSC68687.1, PSC68688.1	scaffold16.g88.t1
OG0000286	PSC68221.1, PSC68222.1	scaffold14.g1098.t1, scaffold13.g218.t1, scaffold13.g217.t1
OG0000287	PSC74438.1	scaffold13.g286.t1
OG0000288	PSC75610.1	scaffold5.g629.t1
OG0000288	PSC69086.1	scaffold13.g310.t1
OG0000290	PSC70293.1	scaffold13.g407.t1
OG0000291	PSC70323.1, PSC70325.1, PSC70324.1	scaffold17.g432.t1, scaffold28.g7544.t1
OG0000292	PSC67652.1	scaffold10.g2479.t1
OG0000292	PSC69213.1	scaffold17.g458.t1
OG0000293	PSC69236.1	scaffold17.g461.t1
OG0000294	PSC72267.1	scaffold15.g4357.t1, scaffold22.g6112.t1
OG0000294	PSC73875.1	scaffold17.g499.t1
OG0000295	PSC70083.1	scaffold11.g3892.t1, scaffold11.g3893.t1
OG0000295	PSC68856.1	scaffold1.g5641.t1
OG0000296	PSC71392.1, PSC71393.1	scaffold17.g548.t1, scaffold17.g546.t1
OG0000297	PSC76288.1	scaffold5.g618.t1
OG0000297	PSC76812.1	scaffold1.g5795.t1
OG0000298	PSC67437.1	scaffold5.g642.t1
OG0000299	PSC73423.1, PSC73422.1	scaffold5.g702.t1
OG0000300	PSC72439.1	scaffold22.g6079.t1
OG0000301	PSC76893.1, PSC76894.1, PSC76895.1	scaffold5.g748.t1
OG0000302	PSC74156.1, PSC74157.1	scaffold25.g5102.t1
OG0000302	PSC73677.1	scaffold5.g785.t1
OG0000303	PSC71707.1	scaffold2.g7291.t1, scaffold5.g921.t1
OG0000303	PSC69488.1	scaffold19.g1752.t1
OG0000304	PSC73388.1	scaffold5.g950.t1
OG0000304	PSC73389.1	scaffold1.g5818.t1
OG0000305	PSC68356.1	scaffold3.g6417.t1
OG0000305	PSC75295.1	scaffold5.g1008.t1
OG0000306	PSC75919.1	scaffold14.g1043.t1
OG0000306	PSC75490.1	scaffold14.g1042.t1
OG0000307	PSC75266.1	scaffold14.g1067.t1
OG0000307	PSC75632.1	scaffold14.g1219.t1
OG0000308	PSC75972.1, PSC75973.1	scaffold14.g1085.t1
OG0000308	PSC76677.1	scaffold14.g1300.t1
OG0000309	PSC75355.1, PSC75461.1	scaffold14.g1097.t1, scaffold14.g1105.t1
OG0000311	PSC71632.1	scaffold14.g1206.t1
OG0000311	PSC71617.1	scaffold8.g1418.t1
OG0000312	PSC72928.1, PSC72929.1, PSC75715.1	scaffold14.g1234.t1
OG0000313	PSC70142.1	scaffold7.g3454.t1
OG0000313	PSC74925.1	scaffold14.g1270.t1, scaffold9.g3085.t1
OG0000314	PSC72829.1	scaffold8.g1556.t1
OG0000315	PSC71445.1	scaffold6.g2734.t1
OG0000315	PSC72666.1, PSC72665.1	scaffold8.g1719.t1
OG0000316	PSC69471.1, PSC69470.1	scaffold19.g1796.t1
OG0000317	PSC69485.1	scaffold19.g1770.t1
OG0000318	PSC69520.1	scaffold19.g1804.t1
OG0000319	PSC67739.1	scaffold2.g7465.t1
