Orthogroup	m_conductrix_genome_proteins	c_variabilis_genome_proteins
OG0000011	PSC67610.1, PSC73305.1, PSC73306.1	XP_005843129.1, XP_005843130.1, XP_005843132.1, XP_005843699.1, XP_005843126.1, XP_005843131.1, XP_005843709.1, XP_005843650.1, XP_005843646.1, XP_005843649.1, XP_005843644.1, XP_005843637.1, XP_005843098.1
OG0000015	PSC73768.1	XP_005847071.1, XP_005847753.1, XP_005850273.1
OG0000015	PSC67771.1	XP_005850561.1
OG0000015	PSC73546.1	XP_005852287.1, XP_005847070.1, XP_005847472.1, XP_005850922.1, XP_005846738.1, XP_005850346.1
OG0000016	PSC67495.1	XP_005843185.1, XP_005843183.1
OG0000019	PSC74002.1	XP_005845649.1
OG0000019	PSC75324.1	XP_005847661.1, XP_005851528.1, XP_005846203.1, XP_005842724.1, XP_005847755.1, XP_005846610.1, XP_005852300.1, XP_005851426.1, XP_005850151.1, XP_005845970.1, XP_005851650.1, XP_005849864.1, XP_005846352.1, XP_005850394.1, XP_005845506.1, XP_005851404.1, XP_005848389.1, XP_005847915.1, XP_005845234.1, XP_005842989.1, XP_005848688.1
OG0000020	PSC67560.1, PSC73204.1	XP_005848711.1
OG0000020	PSC77018.1	XP_005843490.1
OG0000021	PSC71778.1	XP_005844764.1
OG0000021	PSC68117.1	XP_005846125.1, XP_005850397.1
OG0000021	PSC70082.1	XP_005845820.1
OG0000021	PSC68562.1	XP_005851970.1
OG0000022	PSC75755.1	XP_005843051.1
OG0000022	PSC77010.1	XP_005843054.1, XP_005843056.1, XP_005843060.1, XP_005846817.1, XP_005843085.1, XP_005843055.1, XP_005843086.1, XP_005843058.1
OG0000022	PSC75388.1, PSC70833.1, PSC71860.1, PSC75505.1	XP_005843744.1
OG0000023	PSC71672.1	XP_005844756.1
OG0000023	PSC72679.1	XP_005847353.1, XP_005846085.1, XP_005846086.1, XP_005845946.1, XP_005849194.1, XP_005847189.1, XP_005851357.1, XP_005844829.1, XP_005846078.1, XP_005846080.1, XP_005845964.1, XP_005846105.1, XP_005845948.1, XP_005845945.1, XP_005845947.1, XP_005843455.1, XP_005845965.1, XP_005845963.1, XP_005846074.1, XP_005845962.1, XP_005846079.1
OG0000024	PSC76211.1	XP_005849248.1, XP_005851469.1
OG0000024	PSC71709.1, PSC71250.1	XP_005844033.1, XP_005852265.1
OG0000024	PSC72580.1	XP_005843727.1
OG0000024	PSC69137.1	XP_005847991.1
OG0000024	PSC68456.1	XP_005843197.1
OG0000025	PSC68631.1	XP_005846834.1
OG0000025	PSC67255.1, PSC74018.1, PSC74345.1, PSC74150.1, PSC75510.1	XP_005851991.1, XP_005850391.1
OG0000025	PSC76854.1	XP_005849172.1
OG0000027	PSC74578.1	XP_005845589.1, XP_005845031.1
OG0000028	PSC69773.1	XP_005850762.1, XP_005842615.1, XP_005843458.1, XP_005850528.1, XP_005845519.1, XP_005843447.1, XP_005842754.1, XP_005851042.1, XP_005847720.1, XP_005844673.1, XP_005846096.1, XP_005852046.1, XP_005846333.1, XP_005850440.1, XP_005848398.1, XP_005842981.1, XP_005842673.1, XP_005849107.1, XP_005844546.1, XP_005843452.1, XP_005843419.1, XP_005849189.1, XP_005849016.1
OG0000030	PSC75952.1	XP_005848732.1
OG0000030	PSC75445.1	XP_005851069.1
OG0000030	PSC70423.1	XP_005848479.1
OG0000030	PSC74731.1	XP_005843734.1
OG0000031	PSC74088.1	XP_005845612.1, XP_005845710.1
OG0000031	PSC73989.1	XP_005845648.1
OG0000032	PSC69079.1	XP_005851040.1
OG0000032	PSC75203.1	XP_005851799.1, XP_005852139.1, XP_005848147.1
OG0000032	PSC73918.1	XP_005847190.1, XP_005850761.1, XP_005850759.1, XP_005852236.1
OG0000033	PSC69555.1	XP_005851083.1, XP_005844670.1, XP_005845033.1
OG0000033	PSC67144.1	XP_005843209.1
OG0000033	PSC74771.1, PSC74773.1	XP_005851084.1, XP_005851377.1, XP_005851383.1, XP_005851085.1, XP_005843074.1, XP_005844674.1, XP_005852310.1, XP_005845797.1
OG0000033	PSC70368.1	XP_005844128.1, XP_005842747.1
OG0000034	PSC71116.1	XP_005844823.1, XP_005844824.1
OG0000034	PSC74160.1	XP_005843280.1
OG0000035	PSC76707.1	XP_005851604.1
OG0000035	PSC71028.1, PSC67024.1, PSC67392.1	XP_005842825.1, XP_005844092.1, XP_005844000.1, XP_005846442.1, XP_005851603.1
OG0000036	PSC69855.1	XP_005847288.1
OG0000037	PSC76570.1	XP_005849659.1
OG0000037	PSC76396.1	YP_004347745.1, XP_005849913.1
OG0000037	PSC72948.1, PSC73066.1	XP_005845536.1
OG0000038	PSC68793.1	XP_005843853.1
OG0000039	PSC76689.1	XP_005849058.1
OG0000039	PSC70148.1	XP_005847858.1
OG0000040	PSC74046.1	XP_005845715.1
OG0000040	PSC74912.1	XP_005845876.1
OG0000040	PSC76673.1	XP_005847722.1
OG0000040	PSC74047.1	XP_005842790.1, XP_005845768.1, XP_005842681.1
OG0000043	PSC72584.1	XP_005850306.1
OG0000043	PSC72525.1, PSC72526.1	XP_005850305.1
OG0000044	PSC71479.1	XP_005850876.1
OG0000044	PSC73088.1	XP_005843698.1
OG0000044	PSC74020.1	XP_005846123.1, XP_005845576.1
OG0000044	PSC69092.1	XP_005844470.1
OG0000044	PSC76522.1	XP_005844469.1
OG0000046	PSC67991.1	XP_005844605.1
OG0000046	PSC67952.1	XP_005844510.1, XP_005844599.1
OG0000046	PSC71916.1, PSC67962.1	XP_005843816.1, XP_005844507.1
OG0000047	PSC74261.1	XP_005845628.1
OG0000047	PSC76097.1	XP_005843303.1
OG0000049	PSC69102.1	XP_005849431.1
OG0000049	PSC69089.1, PSC69129.1, PSC69181.1	XP_005849436.1
OG0000051	PSC75643.1	XP_005842772.1
OG0000051	PSC70405.1, PSC70406.1	XP_005848471.1
OG0000051	PSC74693.1	XP_005850065.1, XP_005843891.1
OG0000052	PSC69473.1	XP_005847910.1
OG0000053	PSC76825.1	XP_005843048.1
OG0000053	PSC74369.1	XP_005845925.1, XP_005845811.1, XP_005849094.1, XP_005845524.1
OG0000054	PSC72551.1	XP_005848670.1, XP_005848668.1
OG0000055	PSC70561.1	XP_005844276.1, XP_005844197.1
OG0000055	PSC73287.1	XP_005844281.1
OG0000056	PSC68161.1	XP_005851238.1
OG0000056	PSC69376.1, PSC69377.1	XP_005851822.1
OG0000056	PSC69400.1	XP_005845298.1, XP_005851756.1, XP_005845426.1
OG0000057	PSC72637.1	XP_005850592.1, XP_005847290.1, XP_005850969.1
OG0000057	PSC69656.1	XP_005842654.1, XP_005850996.1, XP_005850995.1, XP_005842566.1
OG0000058	PSC75293.1	XP_005844489.1
OG0000059	PSC74049.1	XP_005842866.1
OG0000059	PSC74182.1	XP_005845679.1
OG0000060	PSC70063.1	XP_005845787.1
OG0000060	PSC75854.1, PSC75765.1	XP_005843014.1, XP_005843015.1
OG0000061	PSC71155.1	XP_005847147.1
OG0000061	PSC73672.1, PSC73671.1	XP_005848612.1
OG0000061	PSC74930.1	XP_005848615.1
OG0000062	PSC76977.1	XP_005848139.1
OG0000062	PSC67774.1	XP_005843178.1
OG0000063	PSC73178.1, PSC73177.1	XP_005849368.1
OG0000063	PSC75904.1, PSC73067.1	XP_005849369.1
OG0000064	PSC72115.1	XP_005846850.1
OG0000064	PSC74270.1	XP_005843039.1
OG0000064	PSC70134.1	XP_005844636.1
OG0000065	PSC67563.1	XP_005851870.1
OG0000066	PSC69007.1	XP_005845861.1
OG0000066	PSC74727.1	XP_005847799.1
OG0000067	PSC74990.1	XP_005845131.1
OG0000068	PSC74192.1	XP_005845574.1
OG0000068	PSC74475.1	XP_005843102.1
OG0000068	PSC69541.1	XP_005852257.1
OG0000069	PSC68970.1, PSC71822.1, PSC68623.1, PSC68650.1, PSC68142.1	XP_005848368.1
OG0000069	PSC67013.1, PSC67576.1	XP_005848371.1, XP_005848367.1
OG0000070	PSC72055.1	XP_005849856.1
OG0000070	PSC72569.1	XP_005850067.1, XP_005851911.1
OG0000071	PSC69999.1, PSC70098.1	XP_005845923.1, XP_005845813.1, XP_005845814.1, XP_005846604.1, XP_005851773.1
OG0000072	PSC71311.1	XP_005848610.1, XP_005845996.1, XP_005846024.1, XP_005844837.1
OG0000072	PSC69995.1	XP_005849400.1
OG0000072	PSC74397.1	XP_005843728.1
OG0000072	PSC74692.1	XP_005843668.1
OG0000073	PSC75638.1	XP_005848674.1, XP_005848864.1
OG0000073	PSC75775.1	XP_005850380.1, XP_005848675.1
OG0000073	PSC75375.1	XP_005848441.1, XP_005851175.1, XP_005848676.1
OG0000075	PSC67849.1	XP_005849557.1, XP_005849558.1
OG0000075	PSC74454.1	XP_005849560.1
OG0000076	PSC74606.1	XP_005843718.1
OG0000077	PSC73949.1	XP_005842581.1
OG0000077	PSC72236.1	XP_005842642.1, XP_005847122.1
OG0000078	PSC75438.1	XP_005846653.1
OG0000078	PSC69403.1, PSC69356.1	XP_005849210.1
OG0000079	PSC67450.1	XP_005849036.1
OG0000079	PSC74536.1	XP_005842817.1, XP_005848325.1, XP_005848326.1, XP_005842829.1
OG0000080	PSC76210.1	XP_005845447.1
OG0000080	PSC74164.1	XP_005851900.1
OG0000080	PSC76459.1	XP_005845446.1, XP_005845444.1, XP_005845443.1, XP_005845441.1
OG0000081	PSC74592.1, PSC67706.1	XP_005843877.1, XP_005843876.1, XP_005843879.1, XP_005843880.1, XP_005843883.1, XP_005847911.1, XP_005843881.1, XP_005843878.1, XP_005843875.1
OG0000081	PSC74591.1, PSC67708.1	XP_005843882.1
OG0000083	PSC72942.1, PSC76120.1, PSC67546.1, PSC75431.1, PSC72954.1, PSC72953.1, PSC76992.1, PSC68936.1, PSC67114.1	XP_005842793.1
OG0000084	PSC71369.1, PSC75545.1, PSC71320.1	XP_005847588.1
OG0000085	PSC76241.1	XP_005843640.1
OG0000085	PSC72986.1, PSC67264.1, PSC67187.1, PSC68424.1, PSC68448.1, PSC76723.1, PSC76641.1, PSC76479.1, PSC76478.1, PSC76484.1, PSC76236.1, PSC76237.1	XP_005848007.1
OG0000087	PSC74385.1, PSC74384.1	XP_005842827.1, XP_005843674.1
OG0000089	PSC74206.1	XP_005842704.1
OG0000089	PSC77048.1	XP_005849744.1
OG0000090	PSC72449.1, PSC72450.1	XP_005850232.1
OG0000090	PSC71636.1	XP_005850135.1
OG0000091	PSC72440.1, PSC72437.1	XP_005843076.1
OG0000092	PSC75034.1	XP_005851990.1
OG0000092	PSC67689.1	XP_005846592.1
OG0000092	PSC74817.1	XP_005845071.1
OG0000093	PSC68159.1	XP_005851713.1
OG0000093	PSC75060.1	XP_005852054.1, XP_005843061.1, XP_005852052.1
OG0000094	PSC73251.1	XP_005843486.1, XP_005850766.1, XP_005850765.1, XP_005844359.1
OG0000095	PSC70677.1, PSC68686.1, PSC74289.1, PSC70480.1, PSC73653.1, PSC72921.1	XP_005846097.1
OG0000096	PSC67062.1	XP_005850527.1
OG0000096	PSC67883.1, PSC67145.1, PSC67061.1, PSC67064.1, PSC67092.1, PSC67116.1	XP_005852164.1
OG0000097	PSC74829.1	XP_005847806.1
OG0000098	PSC73461.1	XP_005845007.1
OG0000098	PSC73407.1, PSC73408.1	XP_005845008.1
OG0000099	PSC69049.1	XP_005851021.1
OG0000099	PSC76028.1	XP_005851644.1
OG0000099	PSC73928.1	XP_005845180.1
OG0000100	PSC68470.1, PSC67206.1	XP_005842832.1
OG0000100	PSC76010.1	XP_005848110.1
OG0000101	PSC69142.1	XP_005846101.1, XP_005846100.1, XP_005852296.1, XP_005845966.1, XP_005848733.1, XP_005843462.1, XP_005846133.1, XP_005843469.1, XP_005843437.1, XP_005843470.1, XP_005843461.1, XP_005843435.1, XP_005843464.1
OG0000102	PSC67419.1	XP_005852240.1
OG0000103	PSC72393.1, PSC75580.1	XP_005852090.1
OG0000104	PSC76060.1, PSC67084.1	XP_005849872.1
OG0000104	PSC76330.1	XP_005842593.1, XP_005849873.1
OG0000105	PSC75756.1	XP_005843186.1
OG0000105	PSC77050.1	XP_005848698.1
OG0000106	PSC75001.1	XP_005850367.1, XP_005851670.1
OG0000106	PSC76477.1	XP_005851669.1
OG0000107	PSC71229.1, PSC71228.1	XP_005846407.1, XP_005846805.1, XP_005846663.1, XP_005851056.1, XP_005851835.1, XP_005851649.1, XP_005847773.1, XP_005843545.1, XP_005845169.1
OG0000108	PSC68490.1, PSC73563.1, PSC73564.1, PSC73565.1, PSC72373.1	XP_005851548.1
OG0000109	PSC73115.1	XP_005849139.1, XP_005848249.1
OG0000110	PSC75839.1, PSC72308.1, PSC72305.1, PSC72304.1, PSC72306.1, PSC72307.1, PSC72099.1	XP_005849575.1
OG0000111	PSC72871.1, PSC72872.1	XP_005850959.1
OG0000112	PSC76705.1, PSC76197.1	XP_005848639.1
OG0000112	PSC76549.1	XP_005844843.1, XP_005852081.1, XP_005851742.1
OG0000112	PSC72923.1	XP_005850568.1
OG0000113	PSC67216.1, PSC67227.1	XP_005849180.1
OG0000113	PSC73010.1, PSC76488.1	XP_005849412.1
OG0000114	PSC68818.1	XP_005846570.1, XP_005846560.1, XP_005842618.1, XP_005846715.1, XP_005846714.1, XP_005846712.1, XP_005847299.1, XP_005846710.1, XP_005850773.1
OG0000115	PSC75653.1, PSC67903.1	XP_005843471.1
OG0000116	PSC72059.1	XP_005847077.1, XP_005847079.1
OG0000117	PSC69898.1	XP_005847293.1
OG0000117	PSC69015.1	XP_005850534.1, XP_005847603.1, XP_005847604.1, XP_005850541.1, XP_005850540.1
OG0000118	PSC77040.1, PSC71142.1	XP_005845527.1, XP_005845634.1
OG0000119	PSC69988.1, PSC70112.1	XP_005845896.1, XP_005848680.1, XP_005848887.1
OG0000120	PSC72013.1	XP_005846166.1
OG0000122	PSC70002.1	XP_005846770.1
OG0000122	PSC69373.1	XP_005844692.1, XP_005847512.1
OG0000123	PSC76861.1	XP_005848478.1, XP_005845356.1
OG0000124	PSC68810.1	XP_005849899.1
OG0000124	PSC72762.1	XP_005850708.1
OG0000125	PSC76728.1, PSC77051.1, PSC76273.1, PSC67637.1	XP_005845472.1
OG0000126	PSC69980.1	XP_005844581.1
OG0000126	PSC70105.1	XP_005844492.1
OG0000126	PSC70072.1	XP_005844582.1
OG0000128	PSC72459.1, PSC72458.1	XP_005850276.1, XP_005850277.1
OG0000129	PSC67909.1	XP_005843442.1
OG0000130	PSC76405.1	XP_005845354.1
OG0000130	PSC76014.1	XP_005845337.1
OG0000131	PSC69559.1	XP_005847917.1
OG0000131	PSC74415.1	XP_005843896.1
OG0000132	PSC75941.1, PSC75942.1, PSC75940.1	XP_005848934.1
OG0000132	PSC75647.1	XP_005848649.1
OG0000133	PSC73336.1, PSC67257.1	XP_005845010.1
OG0000134	PSC75681.1	XP_005848897.1
OG0000134	PSC76725.1	XP_005846265.1
OG0000136	PSC71503.1	XP_005850895.1
OG0000136	PSC73322.1	XP_005844902.1
OG0000136	PSC73870.1	XP_005846568.1
OG0000137	PSC71461.1	XP_005850908.1
OG0000137	PSC69950.1	XP_005850907.1, XP_005850905.1
OG0000138	PSC75108.1, PSC75107.1, PSC75144.1, PSC74950.1, PSC74923.1, PSC75222.1, PSC75009.1	XP_005851992.1
OG0000139	PSC71738.1	XP_005844667.1
OG0000140	PSC67423.1, PSC67422.1	XP_005849030.1
OG0000140	PSC69973.1	XP_005847501.1
OG0000141	PSC70472.1	XP_005848520.1
OG0000141	PSC70320.1	XP_005848521.1
OG0000142	PSC71674.1	XP_005844698.1
OG0000142	PSC71833.1, PSC71834.1	XP_005844699.1
OG0000143	PSC69661.1	XP_005846377.1
OG0000143	PSC69662.1	XP_005846379.1, XP_005846378.1
OG0000144	PSC75532.1, PSC69160.1	XP_005848839.1
OG0000145	PSC67215.1	XP_005843258.1
OG0000145	PSC75434.1, PSC75294.1	XP_005848657.1
OG0000146	PSC72815.1, PSC72814.1, PSC68319.1, PSC68318.1, PSC74681.1, PSC74680.1, PSC74682.1, PSC74683.1, PSC74679.1	XP_005843713.1
OG0000147	PSC70644.1	XP_005846408.1, XP_005844409.1, XP_005842721.1, XP_005846075.1
OG0000149	PSC69900.1, PSC69901.1, PSC69906.1, PSC69914.1	XP_005846682.1
OG0000150	PSC74607.1	XP_005843064.1
OG0000151	PSC69450.1	XP_005848597.1, XP_005842881.1, XP_005849120.1, XP_005847923.1
OG0000151	PSC68857.1	XP_005848599.1, XP_005848598.1
OG0000152	PSC76086.1	XP_005844077.1
OG0000152	PSC74833.1, PSC75134.1, PSC69766.1, PSC75114.1	XP_005849801.1, XP_005845727.1
OG0000153	PSC74894.1, PSC74374.1, PSC72179.1, PSC69051.1, PSC67035.1, PSC67165.1, PSC67335.1, PSC72148.1, PSC76837.1, PSC70759.1, PSC68264.1, PSC68864.1	XP_005843952.1
OG0000154	PSC69447.1	XP_005843968.1
OG0000154	PSC70307.1	XP_005848464.1
OG0000154	PSC69513.1	XP_005847962.1
OG0000155	PSC75196.1	XP_005845824.1, XP_005845721.1
OG0000156	PSC67446.1	XP_005849021.1
OG0000157	PSC69369.1	XP_005852165.1
OG0000157	PSC70545.1	XP_005846273.1
OG0000158	PSC73437.1	XP_005843220.1, XP_005848092.1
OG0000159	PSC67919.1	XP_005843774.1
OG0000159	PSC67887.1	XP_005850374.1, XP_005843784.1
OG0000162	PSC73614.1	XP_005845193.1
OG0000163	PSC76658.1	XP_005852080.1
OG0000163	PSC70011.1	XP_005844501.1
OG0000163	PSC68599.1	XP_005849855.1
OG0000165	PSC77072.1	XP_005848480.1, XP_005846435.1, XP_005845771.1, XP_005844629.1
OG0000166	PSC68684.1	XP_005851340.1
OG0000167	PSC75488.1	XP_005848904.1
OG0000167	PSC71615.1	XP_005850582.1
OG0000168	PSC71505.1	XP_005850931.1
OG0000169	PSC75500.1	XP_005848742.1
OG0000169	PSC67463.1	XP_005850835.1
OG0000170	PSC69717.1	XP_005850418.1
OG0000170	PSC72851.1	XP_005850849.1
OG0000171	PSC76686.1	XP_005849543.1
OG0000171	PSC76571.1	XP_005849592.1
OG0000171	PSC71303.1	XP_005846261.1
OG0000173	PSC72567.1	XP_005850080.1
OG0000175	PSC68075.1, PSC76560.1	XP_005843289.1, XP_005846108.1
OG0000175	PSC71929.1	XP_005845249.1
OG0000176	PSC74217.1, PSC74216.1	XP_005843572.1, XP_005843571.1, XP_005843573.1
OG0000177	PSC71456.1	XP_005850861.1
OG0000177	PSC71477.1	XP_005850944.1
OG0000178	PSC68357.1	XP_005846503.1, XP_005846502.1
OG0000179	PSC73020.1	XP_005849390.1
OG0000180	PSC74063.1	XP_005845674.1
OG0000180	PSC71668.1	XP_005843083.1
OG0000181	PSC75614.1	XP_005851096.1
OG0000182	PSC68521.1, PSC68522.1	XP_005852270.1
OG0000182	PSC69370.1	XP_005851962.1, XP_005846639.1
OG0000183	PSC74032.1, PSC74033.1	XP_005851903.1
OG0000184	PSC73896.1, PSC73895.1	XP_005845172.1
OG0000185	PSC67218.1	XP_005842591.1, XP_005842909.1, XP_005843980.1, XP_005843981.1, XP_005842893.1, XP_005842898.1
OG0000186	PSC71716.1, PSC71710.1	XP_005848563.1
OG0000187	PSC67905.1	XP_005843781.1
OG0000187	PSC67940.1, PSC67941.1	XP_005843786.1
OG0000189	PSC69877.1	XP_005847529.1, XP_005847528.1
OG0000189	PSC69947.1	XP_005847360.1
OG0000190	PSC68341.1	XP_005846303.1
OG0000191	PSC75916.1	XP_005851070.1
OG0000191	PSC75468.1	XP_005851362.1
OG0000192	PSC73805.1, PSC70742.1	XP_005842745.1, XP_005844227.1, XP_005844062.1
OG0000193	PSC74899.1, PSC67054.1, PSC68898.1	XP_005851204.1
OG0000193	PSC68833.1	XP_005851495.1
OG0000194	PSC67100.1, PSC68198.1, PSC67328.1	XP_005842658.1
OG0000194	PSC68190.1	XP_005845035.1
OG0000195	PSC71065.1	XP_005846113.1
OG0000195	PSC71746.1	XP_005842965.1
OG0000196	PSC74986.1, PSC71152.1	XP_005849969.1
OG0000196	PSC72067.1	XP_005846218.1, XP_005849968.1, XP_005848638.1
OG0000197	PSC71712.1, PSC71711.1	XP_005844737.1, XP_005844739.1, XP_005844740.1, XP_005844741.1, XP_005844738.1
OG0000198	PSC71791.1	XP_005851803.1, XP_005852133.1
OG0000198	PSC71844.1, PSC71742.1, PSC71743.1	XP_005844702.1
OG0000199	PSC73814.1	XP_005847716.1
OG0000200	PSC75789.1, PSC73258.1, PSC71195.1, PSC74819.1, PSC69259.1, PSC69258.1	XP_005849079.1
OG0000201	PSC74151.1	XP_005851565.1
OG0000201	PSC71786.1	XP_005846619.1, XP_005849223.1
OG0000201	PSC74435.1	XP_005843052.1
OG0000202	PSC69025.1	XP_005847561.1, XP_005850297.1
OG0000203	PSC72616.1, PSC72617.1, PSC68626.1	XP_005843776.1, XP_005843777.1, XP_005844326.1, XP_005850082.1, XP_005843624.1
OG0000204	PSC71772.1, PSC74283.1	XP_005845593.1
OG0000205	PSC68519.1	XP_005851973.1
OG0000205	PSC76758.1	XP_005849619.1, XP_005847469.1
OG0000205	PSC76174.1	XP_005846949.1, XP_005844280.1
OG0000207	PSC69349.1	XP_005846779.1
OG0000208	PSC70253.1	XP_005847855.1, XP_005847861.1
OG0000209	PSC69212.1	XP_005845567.1, XP_005851952.1
OG0000210	PSC73136.1	XP_005843413.1
OG0000210	PSC76213.1, PSC76214.1	XP_005849257.1, XP_005849054.1
OG0000213	PSC70219.1	XP_005844537.1
OG0000214	PSC69306.1	XP_005847041.1
OG0000214	PSC70508.1	XP_005849170.1, XP_005843805.1, XP_005846238.1
OG0000215	PSC69263.1	XP_005849867.1, XP_005844945.1
OG0000215	PSC69206.1	XP_005852111.1
OG0000216	PSC68743.1, PSC68744.1	XP_005844964.1
OG0000216	PSC68805.1	XP_005844854.1
OG0000217	PSC75686.1, PSC75685.1	XP_005844230.1
OG0000217	PSC69482.1	XP_005848115.1, XP_005852096.1
OG0000218	PSC72101.1	XP_005847698.1, XP_005847123.1
OG0000218	PSC73806.1	XP_005849697.1
OG0000219	PSC70904.1, PSC70910.1	XP_005850250.1
OG0000219	PSC70151.1, PSC70149.1, PSC70150.1	XP_005850662.1
OG0000220	PSC68007.1	XP_005842750.1, XP_005849555.1
OG0000221	PSC76471.1, PSC76470.1	XP_005850309.1
OG0000222	PSC75773.1	XP_005848959.1, XP_005848970.1, XP_005848972.1
OG0000223	PSC77055.1	XP_005848706.1
OG0000224	PSC68245.1	XP_005844110.1
OG0000224	PSC69220.1, PSC69231.1	XP_005844612.1
OG0000225	PSC68463.1, PSC68432.1, PSC68465.1, PSC68464.1	XP_005852045.1
OG0000226	PSC69018.1, PSC69019.1	XP_005850746.1
OG0000226	PSC69070.1	XP_005850748.1
OG0000227	PSC73789.1	XP_005848606.1, XP_005848607.1, XP_005848605.1
OG0000228	PSC70498.1	XP_005845327.1, XP_005843606.1, XP_005843605.1
OG0000229	PSC69835.1	XP_005847693.1, XP_005850437.1
OG0000230	PSC69799.1	XP_005848616.1, XP_005850172.1
OG0000231	PSC73962.1, PSC73963.1, PSC74321.1, PSC73995.1	XP_005847507.1
OG0000232	PSC70167.1	XP_005842743.1, XP_005844145.1, XP_005844146.1, XP_005844147.1, XP_005844144.1
OG0000233	PSC72048.1, PSC70116.1, PSC70115.1, PSC73584.1	XP_005843519.1
OG0000234	PSC72121.1	XP_005852187.1, XP_005846931.1
OG0000235	PSC68980.1, PSC68979.1	XP_005846668.1
OG0000236	PSC67662.1	XP_005846210.1
OG0000237	PSC68122.1, PSC68110.1	XP_005850401.1
OG0000238	PSC69009.1	XP_005851028.1
OG0000238	PSC69042.1	XP_005851024.1
OG0000239	PSC71564.1	XP_005851612.1
OG0000239	PSC71653.1, PSC71652.1	XP_005850660.1
OG0000240	PSC72912.1	XP_005850676.1
OG0000240	PSC72903.1	XP_005850677.1
OG0000241	PSC72657.1, PSC72655.1, PSC72656.1	XP_005850977.1, XP_005846767.1
OG0000242	PSC71581.1	XP_005847498.1, XP_005847499.1, XP_005850613.1
OG0000243	PSC76960.1	XP_005842741.1, XP_005844076.1, XP_005849516.1
OG0000243	PSC74883.1	XP_005851807.1
OG0000244	PSC76929.1	XP_005849474.1
OG0000245	PSC68459.1, PSC68460.1, PSC68436.1, PSC68437.1	XP_005852044.1, XP_005852043.1
