Orthogroup	c_sorokiniana_genome_proteins	c_vulgaris_genome_proteins
OG0000053	PRW20392.1	KAI3424164.1
OG0000054	PRW61445.1	KAI3427178.1, KAI3431426.1, KAI3427177.1, KAI3427179.1, KAI3431425.1
OG0000055	PRW45171.1	KAI3432344.1, KAI3432347.1
OG0000055	PRW61460.1	KAI3432375.1, KAI3432308.1, KAI3432372.1
OG0000056	PRW58352.1	KAI3433548.1
OG0000056	PRW60778.1	KAI3429571.1
OG0000056	PRW60703.1, PRW60808.1, PRW33630.1	KAI3429335.1
OG0000057	PRW56437.1	KAI3436536.1, KAI3436537.1
OG0000058	PRW59456.1, PRW59590.1	KAI3430299.1, KAI3430331.1, KAI3430313.1, KAI3430327.1, KAI3430328.1, KAI3430316.1, KAI3430371.1, KAI3430365.1, KAI3430297.1, KAI3430320.1, KAI3430341.1, KAI3430280.1, KAI3430281.1, KAI3430374.1, KAI3430300.1
OG0000059	PRW61311.1	KAI3424250.1
OG0000059	PRW20365.1	KAI3424079.1
OG0000060	PRW33686.1, PRW33685.1, PRW33683.1, PRW33684.1	KAI3425198.1
OG0000060	PRW32920.1, PRW33027.1	KAI3430490.1
OG0000061	PRW50777.1	KAI3427234.1
OG0000062	PRW20948.1, PRW20949.1	KAI3437696.1
OG0000062	PRW05920.1	KAI3427376.1
OG0000063	PRW57845.1	KAI3434723.1
OG0000063	PRW44238.1	KAI3426274.1
OG0000063	PRW58070.1, PRW58069.1	KAI3434734.1, KAI3434726.1
OG0000064	PRW57163.1	KAI3438305.1
OG0000064	PRW61338.1	KAI3423948.1
OG0000064	PRW20516.1, PRW20517.1, PRW20515.1	KAI3430249.1
OG0000065	PRW39236.1, PRW39062.1	KAI3429670.1, KAI3429667.1, KAI3429665.1, KAI3429666.1, KAI3432742.1, KAI3432751.1, KAI3432752.1, KAI3432731.1, KAI3432729.1, KAI3432722.1, KAI3434427.1
OG0000066	PRW45120.1, PRW45119.1	KAI3434980.1
OG0000066	PRW21122.1	KAI3425897.1
OG0000066	PRW57956.1, PRW05882.1	KAI3438716.1
OG0000067	PRW33653.1	KAI3425376.1
OG0000068	PRW61055.1	KAI3424092.1
OG0000068	PRW56902.1	KAI3438326.1
OG0000068	PRW60626.1	KAI3429823.1
OG0000069	PRW60649.1	KAI3429223.1
OG0000070	PRW56858.1	KAI3428195.1
OG0000070	PRW60692.1	KAI3431486.1, KAI3438690.1
OG0000071	PRW33318.1, PRW33647.1, PRW33563.1	KAI3425143.1, KAI3425151.1, KAI3425145.1, KAI3429492.1
OG0000072	PRW60156.1, PRW59318.1	KAI3433894.1
OG0000072	PRW20340.1	KAI3424325.1
OG0000073	PRW50814.1	KAI3427123.1, KAI3427135.1
OG0000075	PRW58909.1	KAI3438615.1
OG0000075	PRW59170.1, PRW59171.1	KAI3438616.1
OG0000077	PRW58100.1	KAI3433483.1
OG0000077	PRW57000.1	KAI3438100.1
OG0000078	PRW56243.1	KAI3425006.1
OG0000079	PRW34034.1	KAI3434987.1, KAI3434988.1, KAI3434897.1, KAI3434996.1, KAI3426367.1, KAI3436013.1, KAI3436010.1
OG0000080	PRW20382.1	KAI3436169.1
OG0000081	PRW20711.1	KAI3434528.1
OG0000082	PRW32664.1	KAI3430735.1, KAI3430733.1, KAI3431005.1, KAI3423184.1, KAI3430734.1, KAI3431008.1, KAI3423182.1, KAI3430731.1, KAI3431007.1, KAI3423181.1, KAI3430732.1, KAI3423185.1, KAI3431006.1, KAI3423183.1
OG0000083	PRW32675.1	KAI3426835.1, KAI3428413.1, KAI3434647.1, KAI3435037.1, KAI3435038.1
OG0000084	PRW44448.1	KAI3425808.1
OG0000084	PRW59521.1	KAI3433889.1
OG0000087	PRW55890.1	KAI3436857.1
OG0000087	PRW20409.1, PRW20329.1	KAI3436016.1, KAI3424313.1
OG0000089	PRW61361.1	KAI3424242.1
OG0000089	PRW58939.1	KAI3438445.1
OG0000090	PRW56509.1	KAI3427919.1
OG0000090	PRW44975.1	KAI3426390.1
OG0000090	PRW56613.1	KAI3428238.1
OG0000091	PRW59331.1, PRW55918.1, PRW56217.1, PRW18384.1, PRW45711.1	KAI3438048.1, KAI3423958.1, KAI3423956.1, KAI3423959.1
OG0000092	PRW60803.1	KAI3429253.1
OG0000092	PRW57248.1, PRW56102.1	KAI3429252.1
OG0000093	PRW60425.1	KAI3429366.1
OG0000093	PRW57063.1	KAI3423939.1, KAI3429364.1, KAI3429363.1, KAI3438200.1
OG0000094	PRW61610.1, PRW61273.1	KAI3432747.1, KAI3436406.1
OG0000094	PRW61126.1, PRW61125.1	KAI3432416.1
OG0000095	PRW60687.1	KAI3429272.1, KAI3429271.1
OG0000096	PRW57760.1	KAI3423807.1
OG0000096	PRW60806.1	KAI3429612.1
OG0000097	PRW57971.1, PRW57973.1, PRW57972.1	KAI3425912.1
OG0000098	PRW39134.1, PRW39132.1, PRW39133.1	KAI3431578.1
OG0000099	PRW56328.1	KAI3436474.1
OG0000099	PRW58429.1	KAI3433293.1
OG0000099	PRW45741.1	KAI3424803.1
OG0000100	PRW58264.1, PRW20238.1, PRW58878.1, PRW56142.1, PRW34090.1, PRW57932.1	KAI3432794.1
OG0000102	PRW60229.1, PRW60749.1, PRW59599.1, PRW59973.1, PRW60111.1, PRW56724.1, PRW56479.1, PRW58085.1, PRW58723.1, PRW56812.1, PRW56665.1, PRW59859.1	KAI3436310.1
OG0000103	PRW33047.1	KAI3430483.1
OG0000104	PRW59001.1	KAI3438723.1
OG0000104	PRW59363.1	KAI3438724.1
OG0000104	PRW58819.1	KAI3438725.1
OG0000105	PRW59159.1, PRW60771.1, PRW51136.1, PRW33292.1	KAI3427061.1
OG0000106	PRW60303.1	KAI3429257.1
OG0000106	PRW60906.1	KAI3429256.1
OG0000107	PRW59499.1	KAI3435969.1
OG0000108	PRW60486.1, PRW58172.1, PRW58278.1	KAI3433500.1
OG0000109	PRW58034.1	KAI3434780.1
OG0000109	PRW61254.1	KAI3432748.1
OG0000109	PRW51042.1	KAI3431777.1
OG0000110	PRW57471.1, PRW58695.1, PRW44583.1	KAI3431594.1
OG0000111	PRW56253.1, PRW56254.1, PRW56289.1, PRW56155.1, PRW55939.1, PRW56311.1, PRW56081.1, PRW56174.1, PRW56194.1	KAI3436619.1
OG0000112	PRW20418.1	KAI3425328.1
OG0000113	PRW57579.1	KAI3434710.1
OG0000113	PRW57614.1	KAI3434709.1
OG0000114	PRW20690.1	KAI3428548.1, KAI3434421.1
OG0000115	PRW58844.1	KAI3438944.1
OG0000116	PRW56904.1, PRW56905.1	KAI3438193.1, KAI3438192.1
OG0000117	PRW44454.1, PRW44455.1	KAI3428567.1
OG0000117	PRW56212.1	KAI3436333.1
OG0000118	PRW57457.1	KAI3438829.1, KAI3424169.1, KAI3424168.1, KAI3424171.1, KAI3424167.1
OG0000119	PRW50880.1, PRW50916.1, PRW50851.1, PRW33593.1, PRW33699.1	KAI3425227.1, KAI3425222.1
OG0000120	PRW39190.1, PRW39083.1	KAI3431440.1, KAI3431441.1, KAI3431439.1, KAI3431444.1, KAI3438970.1, KAI3438971.1, KAI3438920.1
OG0000122	PRW33615.1	KAI3430890.1
OG0000123	PRW60132.1	KAI3436077.1, KAI3432787.1
OG0000124	PRW59338.1	KAI3438784.1
OG0000124	PRW55972.1	KAI3436555.1
OG0000125	PRW59917.1, PRW59916.1	KAI3436117.1, KAI3436116.1
OG0000126	PRW20466.1	KAI3430368.1, KAI3430355.1
OG0000126	PRW20465.1	KAI3430367.1
OG0000128	PRW56460.1, PRW57978.1	KAI3428027.1, KAI3428026.1, KAI3428024.1, KAI3428025.1
OG0000129	PRW59020.1, PRW59019.1	KAI3439119.1, KAI3439118.1, KAI3439122.1
OG0000130	PRW59544.1	KAI3436087.1
OG0000130	PRW59907.1	KAI3436118.1
OG0000131	PRW20642.1	KAI3434481.1
OG0000132	PRW51140.1	KAI3427005.1, KAI3427004.1
OG0000132	PRW50981.1	KAI3427163.1
OG0000133	PRW39377.1	KAI3431576.1
OG0000134	PRW50926.1	KAI3427090.1
OG0000135	PRW58283.1, PRW34022.1, PRW32529.1, PRW20263.1, PRW33979.1, PRW56319.1, PRW05894.1, PRW20742.1	KAI3434437.1, KAI3434435.1
OG0000136	PRW39079.1	KAI3431593.1
OG0000137	PRW56206.1	KAI3436719.1
OG0000137	PRW55911.1, PRW44508.1	KAI3423290.1, KAI3436720.1
OG0000138	PRW60820.1	KAI3429255.1
OG0000139	PRW58584.1	KAI3429557.1
OG0000139	PRW21117.1, PRW21118.1	KAI3430758.1
OG0000140	PRW34062.1	KAI3435007.1
OG0000141	PRW45452.1	KAI3425038.1
OG0000141	PRW45172.1, PRW45156.1	KAI3426371.1
OG0000142	PRW20982.1	KAI3430812.1
OG0000142	PRW20983.1	KAI3430813.1, KAI3430814.1
OG0000143	PRW59977.1	KAI3435659.1
OG0000143	PRW59690.1	KAI3435657.1
OG0000143	PRW60031.1	KAI3435658.1
OG0000144	PRW51174.1	KAI3427194.1
OG0000144	PRW57508.1	KAI3427394.1
OG0000145	PRW05945.1	KAI3427441.1
OG0000145	PRW51019.1	KAI3427152.1
OG0000146	PRW20355.1	KAI3424368.1
OG0000147	PRW20519.1, PRW60994.1	KAI3432868.1, KAI3432878.1, KAI3432822.1, KAI3432825.1, KAI3432824.1, KAI3432820.1
OG0000148	PRW39082.1, PRW39183.1, PRW44373.1, PRW44372.1, PRW39226.1, PRW39268.1, PRW33166.1, PRW58052.1, PRW21085.1, PRW44535.1, PRW44546.1, PRW45590.1	KAI3428431.1
OG0000151	PRW44466.1	KAI3437808.1
OG0000151	PRW57808.1	KAI3427256.1
OG0000152	PRW59345.1	KAI3430567.1
OG0000152	PRW59428.1, PRW59245.1	KAI3425348.1
OG0000154	PRW20938.1	KAI3437731.1
OG0000155	PRW33580.1, PRW33579.1	KAI3425366.1, KAI3425370.1, KAI3425364.1, KAI3425362.1
OG0000156	PRW58415.1, PRW20534.1	KAI3430347.1
OG0000156	PRW33753.1	KAI3435028.1
OG0000157	PRW60881.1	KAI3435882.1
OG0000158	PRW39250.1	KAI3428778.1, KAI3428777.1, KAI3426504.1
OG0000159	PRW59366.1	KAI3439008.1
OG0000159	PRW59084.1, PRW59146.1	KAI3439020.1, KAI3439019.1
OG0000160	PRW44544.1	KAI3428597.1
OG0000160	PRW60854.1, PRW60251.1	KAI3428596.1
OG0000160	PRW44363.1	KAI3428599.1, KAI3428598.1
OG0000162	PRW45341.1	KAI3424829.1
OG0000162	PRW21096.1	KAI3430893.1
OG0000166	PRW58392.1	KAI3433287.1
OG0000166	PRW58310.1	KAI3433288.1
OG0000166	PRW58560.1, PRW58559.1	KAI3433286.1
OG0000167	PRW50795.1, PRW50796.1	KAI3427077.1, KAI3427078.1
OG0000167	PRW56057.1	KAI3436814.1
OG0000168	PRW61494.1	KAI3434856.1
OG0000168	PRW56010.1, PRW56011.1	KAI3436665.1
OG0000169	PRW50918.1	KAI3423825.1, KAI3426963.1
OG0000170	PRW56299.1	KAI3436861.1
OG0000171	PRW59396.1, PRW59395.1	KAI3438585.1, KAI3438682.1
OG0000173	PRW56505.1, PRW44345.1, PRW56729.1, PRW33761.1, PRW56533.1, PRW56650.1, PRW56651.1	KAI3428134.1
OG0000174	PRW59842.1	KAI3436189.1
OG0000174	PRW61050.1	KAI3432273.1
OG0000174	PRW20437.1	KAI3439045.1
OG0000176	PRW61080.1, PRW61081.1, PRW61079.1, PRW61082.1	KAI3432601.1, KAI3432602.1
OG0000177	PRW56188.1	KAI3431839.1
OG0000178	PRW33631.1	KAI3425241.1
OG0000178	PRW59953.1	KAI3435769.1, KAI3435770.1
OG0000179	PRW58855.1, PRW57682.1	KAI3439002.1
OG0000179	PRW57741.1, PRW57747.1	KAI3434688.1
OG0000180	PRW21102.1	KAI3424095.1
OG0000180	PRW21103.1	KAI3423988.1
OG0000181	PRW58578.1	KAI3433862.1
OG0000181	PRW58275.1	KAI3433869.1
OG0000182	PRW60672.1	KAI3429867.1
OG0000182	PRW45326.1	KAI3425045.1
OG0000183	PRW60368.1	KAI3429734.1
OG0000183	PRW60584.1	KAI3429733.1
OG0000183	PRW60754.1, PRW60738.1	KAI3429757.1
OG0000184	PRW45618.1	KAI3424785.1, KAI3424784.1
OG0000185	PRW20689.1, PRW20688.1	KAI3434380.1
OG0000186	PRW21060.1	KAI3430762.1
OG0000186	PRW45212.1	KAI3426464.1, KAI3430784.1, KAI3430795.1
OG0000187	PRW58738.1, PRW58740.1, PRW58739.1	KAI3439018.1, KAI3439026.1, KAI3439025.1
OG0000188	PRW58726.1, PRW59088.1	KAI3438476.1
OG0000188	PRW33569.1	KAI3438477.1, KAI3438484.1, KAI3438480.1, KAI3438479.1, KAI3438481.1, KAI3438482.1, KAI3438478.1
OG0000189	PRW44270.1	KAI3428407.1, KAI3428408.1
OG0000189	PRW44237.1	KAI3428404.1
OG0000190	PRW59477.1	KAI3435822.1
OG0000190	PRW59958.1	KAI3436101.1
OG0000190	PRW57270.1	KAI3435823.1
OG0000191	PRW58097.1, PRW58096.1	KAI3433921.1, KAI3433920.1, KAI3433906.1
OG0000192	PRW20241.1	KAI3430704.1
OG0000193	PRW58084.1, PRW58083.1	KAI3433611.1, KAI3433618.1
OG0000194	PRW45722.1	KAI3424720.1
OG0000194	PRW45471.1	KAI3424719.1
OG0000195	PRW59751.1	KAI3431342.1
OG0000195	PRW32572.1	KAI3438937.1
OG0000195	PRW21043.1	KAI3430975.1
OG0000196	PRW59620.1	KAI3435989.1, KAI3435990.1
OG0000197	PRW21078.1	KAI3430894.1
OG0000198	PRW21121.1	KAI3430819.1
OG0000199	PRW58056.1, PRW58055.1	KAI3425734.1
OG0000199	PRW57823.1	KAI3425733.1, KAI3425732.1
OG0000203	PRW57985.1	KAI3428137.1, KAI3428135.1, KAI3432264.1
OG0000204	PRW60718.1	KAI3424052.1, KAI3424047.1, KAI3424049.1, KAI3423197.1
OG0000204	PRW60571.1, PRW60393.1	KAI3424051.1
OG0000207	PRW45536.1	KAI3425056.1
OG0000207	PRW32659.1	KAI3425057.1
OG0000208	PRW56280.1, PRW33790.1	KAI3426010.1, KAI3426017.1
OG0000210	PRW33873.1	KAI3434957.1
OG0000211	PRW61234.1	KAI3432815.1
OG0000212	PRW44319.1	KAI3433504.1
OG0000212	PRW44313.1, PRW44314.1	KAI3436487.1
OG0000212	PRW55924.1	KAI3436488.1
OG0000213	PRW21030.1	KAI3430458.1
OG0000213	PRW20576.1	KAI3430244.1
OG0000214	PRW60898.1, PRW61276.1	KAI3429773.1
OG0000215	PRW33231.1, PRW33232.1	KAI3431735.1
OG0000216	PRW33254.1	KAI3431689.1
OG0000216	PRW33243.1, PRW33242.1	KAI3431690.1
OG0000218	PRW57353.1	KAI3438099.1
OG0000218	PRW58831.1	KAI3438909.1
OG0000220	PRW59441.1, PRW59440.1, PRW59439.1	KAI3438633.1, KAI3438612.1, KAI3438611.1
OG0000222	PRW51168.1	KAI3426926.1
OG0000222	PRW51183.1	KAI3426917.1, KAI3426915.1
OG0000223	PRW50904.1, PRW50905.1	KAI3427040.1
OG0000223	PRW50841.1	KAI3427047.1, KAI3437563.1
OG0000224	PRW20187.1	KAI3430625.1
OG0000224	PRW33807.1, PRW45031.1	KAI3430290.1
OG0000225	PRW56445.1, PRW60358.1, PRW60545.1, PRW60544.1	KAI3429352.1
OG0000226	PRW20912.1, PRW56041.1	KAI3436449.1, KAI3436450.1, KAI3436447.1
OG0000227	PRW50787.1, PRW50789.1, PRW50788.1, PRW50790.1	KAI3427243.1, KAI3427242.1
OG0000228	PRW61590.1	KAI3436138.1, KAI3432638.1, KAI3432639.1
OG0000229	PRW58829.1, PRW56674.1	KAI3428353.1
OG0000230	PRW56431.1	KAI3427233.1
OG0000230	PRW56468.1	KAI3428331.1
OG0000230	PRW56510.1	KAI3428332.1
OG0000231	PRW61209.1, PRW60209.1, PRW60391.1	KAI3428790.1
OG0000232	PRW45046.1	KAI3426056.1
OG0000233	PRW58027.1, PRW58026.1, PRW58025.1	KAI3432754.1
OG0000234	PRW57465.1	KAI3438105.1, KAI3438104.1
OG0000234	PRW33619.1	KAI3429639.1
OG0000234	PRW57337.1	KAI3438106.1
OG0000235	PRW56173.1	KAI3436602.1
OG0000235	PRW45437.1	KAI3424986.1
OG0000236	PRW39384.1	KAI3431547.1
OG0000236	PRW45398.1	KAI3431537.1
OG0000237	PRW56581.1, PRW56757.1	KAI3428279.1, KAI3428280.1, KAI3428281.1
OG0000238	PRW56146.1, PRW56145.1	KAI3436451.1, KAI3436456.1, KAI3436463.1
OG0000239	PRW56224.1	KAI3433358.1, KAI3436645.1
OG0000239	PRW55937.1	KAI3436646.1
OG0000240	PRW56168.1	KAI3436610.1
OG0000240	PRW56076.1	KAI3436609.1
OG0000241	PRW56027.1, PRW56028.1	KAI3436580.1, KAI3425089.1
OG0000242	PRW56275.1, PRW33206.1	KAI3428473.1, KAI3428472.1, KAI3436739.1, KAI3436740.1
OG0000243	PRW60348.1	KAI3429548.1
OG0000244	PRW58882.1	KAI3438442.1
OG0000244	PRW60751.1	KAI3429690.1
OG0000245	PRW60822.1	KAI3429350.1
OG0000246	PRW60812.1	KAI3429327.1
OG0000248	PRW58416.1	KAI3433585.1
OG0000248	PRW60786.1	KAI3429755.1
OG0000249	PRW45509.1	KAI3424686.1
OG0000249	PRW33780.1	KAI3435031.1
OG0000250	PRW33897.1, PRW33896.1	KAI3434899.1, KAI3434894.1
OG0000250	PRW33893.1	KAI3434901.1
OG0000251	PRW33864.1	KAI3434963.1, KAI3434965.1, KAI3434964.1, KAI3434962.1
OG0000252	PRW20671.1	KAI3424823.1
OG0000253	PRW60746.1	KAI3429792.1
OG0000253	PRW60243.1	KAI3429850.1
OG0000254	PRW60345.1	KAI3429628.1
OG0000254	PRW32994.1	KAI3430582.1
OG0000255	PRW60553.1, PRW60552.1, PRW60551.1	KAI3429645.1
OG0000256	PRW44952.1	KAI3426405.1, KAI3423897.1, KAI3432795.1, KAI3426404.1
OG0000257	PRW58934.1	KAI3431338.1, KAI3431343.1
OG0000258	PRW57231.1	KAI3438393.1
OG0000258	PRW33056.1	KAI3430418.1
OG0000259	PRW58240.1, PRW58239.1	KAI3433930.1, KAI3433926.1
OG0000259	PRW58183.1	KAI3433927.1
OG0000260	PRW58184.1, PRW58107.1	KAI3433843.1
OG0000261	PRW58356.1	KAI3433559.1, KAI3433565.1, KAI3433564.1
OG0000263	PRW56331.1	KAI3436460.1, KAI3436332.1
OG0000264	PRW60062.1	KAI3435807.1
OG0000264	PRW59548.1	KAI3435832.1
OG0000265	PRW59908.1	KAI3435995.1
OG0000266	PRW32866.1, PRW32867.1	KAI3430502.1, KAI3436365.1
OG0000267	PRW33786.1	KAI3426081.1
OG0000267	PRW34010.1, PRW45349.1	KAI3425960.1
OG0000268	PRW57674.1	KAI3434822.1, KAI3434821.1
OG0000268	PRW59875.1	KAI3436255.1
OG0000269	PRW32538.1	KAI3424913.1
OG0000269	PRW60768.1, PRW60767.1, PRW51131.1	KAI3426903.1
OG0000270	PRW32937.1, PRW32935.1, PRW32936.1	KAI3430504.1
OG0000271	PRW21130.1	KAI3430873.1
OG0000271	PRW56012.1	KAI3437760.1, KAI3436527.1
OG0000272	PRW56922.1	KAI3438133.1
OG0000272	PRW57240.1	KAI3438132.1
OG0000273	PRW18346.1	KAI3431845.1
OG0000274	PRW57821.1	KAI3425868.1
OG0000274	PRW57749.1	KAI3425867.1
OG0000275	PRW61242.1	KAI3424453.1
OG0000275	PRW61348.1, PRW61350.1, PRW61349.1	KAI3424452.1
OG0000276	PRW33233.1	KAI3430688.1, KAI3429235.1
OG0000278	PRW61347.1, PRW45158.1	KAI3426147.1, KAI3426146.1
OG0000278	PRW44860.1, PRW61533.1	KAI3426148.1, KAI3426149.1
OG0000279	PRW61457.1	KAI3432407.1, KAI3432403.1
OG0000279	PRW56277.1	KAI3436567.1
OG0000280	PRW57824.1	KAI3434791.1
