Orthogroup	c_sorokiniana_genome_proteins	m_conductrix_genome_proteins
OG0000008	PRW57429.1, PRW56937.1, PRW57408.1, PRW33072.1, PRW20324.1, PRW57308.1, PRW56936.1, PRW33046.1, PRW56968.1, PRW33081.1, PRW32997.1, PRW32979.1, PRW57107.1	PSC72315.1, PSC72134.1, PSC68331.1, PSC68365.1, PSC71283.1, PSC72316.1, PSC72209.1, PSC72107.1, PSC71158.1, PSC71210.1, PSC72154.1
OG0000008	PRW60378.1	PSC73921.1, PSC75933.1
OG0000009	PRW57167.1	PSC72060.1
OG0000009	PRW32923.1, PRW33013.1	PSC74522.1
OG0000009	PRW32932.1	PSC72279.1
OG0000009	PRW33065.1	PSC68336.1
OG0000009	PRW57322.1	PSC72310.1
OG0000010	PRW56397.1	PSC68096.1, PSC75343.1
OG0000010	PRW59695.1	PSC71318.1
OG0000010	PRW45267.1, PRW45268.1	PSC73416.1, PSC75050.1, PSC68081.1
OG0000011	PRW44256.1, PRW58506.1	PSC67610.1, PSC73305.1, PSC73306.1
OG0000014	PRW20255.1, PRW45725.1	PSC75847.1
OG0000015	PRW59527.1, PRW58153.1, PRW57045.1	PSC73768.1
OG0000015	PRW45638.1	PSC67771.1
OG0000015	PRW33966.1	PSC73546.1
OG0000016	PRW05921.1, PRW05910.1, PRW05902.1	PSC67495.1
OG0000019	PRW44257.1	PSC74002.1
OG0000019	PRW50812.1	PSC75324.1
OG0000020	PRW39187.1, PRW58101.1, PRW45161.1, PRW57589.1, PRW58358.1, PRW56662.1	PSC67560.1, PSC73204.1
OG0000020	PRW20905.1, PRW20904.1, PRW60463.1, PRW60340.1, PRW60239.1, PRW60632.1, PRW56127.1, PRW59997.1, PRW45512.1, PRW56827.1, PRW33756.1, PRW59495.1	PSC77018.1
OG0000021	PRW21126.1	PSC71778.1
OG0000021	PRW39362.1	PSC68117.1
OG0000021	PRW33522.1	PSC70082.1
OG0000022	PRW45511.1	PSC75755.1
OG0000022	PRW32643.1	PSC77010.1
OG0000022	PRW58888.1	PSC75388.1, PSC70833.1, PSC71860.1, PSC75505.1
OG0000023	PRW21073.1	PSC71672.1
OG0000024	PRW45644.1, PRW45379.1	PSC69133.1, PSC69134.1, PSC69132.1
OG0000024	PRW55998.1	PSC72580.1
OG0000025	PRW45427.1, PRW45604.1, PRW45530.1, PRW57488.1, PRW45737.1, PRW56392.1, PRW56577.1, PRW45707.1, PRW21008.1	PSC67255.1, PSC74018.1, PSC74345.1, PSC74150.1, PSC75510.1, PSC76854.1
OG0000027	PRW57555.1	PSC74578.1, PSC70817.1, PSC70319.1
OG0000028	PRW50752.1	PSC69773.1
OG0000030	PRW51015.1, PRW51016.1, PRW51017.1	PSC75952.1
OG0000030	PRW58127.1	PSC75445.1
OG0000030	PRW20327.1, PRW20328.1, PRW61549.1, PRW44907.1, PRW44910.1, PRW45179.1	PSC70423.1
OG0000030	PRW20326.1	PSC74731.1
OG0000031	PRW61339.1, PRW61198.1	PSC74088.1
OG0000031	PRW60879.1	PSC73989.1
OG0000032	PRW56123.1	PSC69079.1
OG0000032	PRW56247.1	PSC75203.1
OG0000033	PRW45736.1	PSC69555.1
OG0000033	PRW58712.1, PRW58414.1	PSC67144.1, PSC74771.1, PSC74773.1, PSC70368.1
OG0000035	PRW32856.1, PRW32855.1, PRW33070.1, PRW32837.1, PRW60633.1, PRW60763.1, PRW58370.1	PSC71028.1, PSC67024.1, PSC67392.1
OG0000036	PRW44420.1	PSC69855.1
OG0000036	PRW33634.1, PRW56132.1, PRW33982.1, PRW45185.1, PRW58293.1, PRW57219.1, PRW57115.1	PSC70122.1
OG0000037	PRW59067.1, PRW59066.1, PRW44497.1	PSC76570.1
OG0000037	PRW59185.1, PRW59186.1	PSC76396.1
OG0000038	PRW20764.1	PSC68793.1
OG0000039	PRW57373.1, PRW59763.1, PRW32946.1	PSC76689.1
OG0000039	PRW56085.1, PRW57256.1, PRW57466.1, PRW33961.1, PRW33960.1, PRW20716.1, PRW33854.1, PRW33843.1, PRW58322.1, PRW58189.1, PRW59858.1, PRW44441.1, PRW33771.1, PRW34070.1	PSC70148.1
OG0000040	PRW61474.1	PSC74046.1
OG0000040	PRW33672.1	PSC74912.1
OG0000040	PRW20825.1	PSC76673.1
OG0000043	PRW56763.1	PSC72584.1, PSC72525.1, PSC72526.1
OG0000044	PRW55946.1	PSC71479.1
OG0000044	PRW59662.1, PRW60004.1	PSC73088.1
OG0000046	PRW20580.1	PSC67991.1
OG0000046	PRW20481.1, PRW20571.1	PSC67952.1, PSC71916.1, PSC67962.1
OG0000047	PRW57548.1	PSC74261.1, PSC76097.1, PSC75248.1, PSC70303.1
OG0000049	PRW57986.1	PSC69102.1
OG0000049	PRW57916.1, PRW57724.1	PSC69089.1, PSC69129.1, PSC69181.1
OG0000051	PRW58244.1	PSC75643.1
OG0000051	PRW45026.1	PSC70405.1, PSC70406.1
OG0000052	PRW58009.1	PSC73613.1, PSC74551.1
OG0000052	PRW61437.1	PSC74792.1
OG0000053	PRW32665.1	PSC76825.1
OG0000053	PRW33245.1, PRW20392.1	PSC74369.1
OG0000054	PRW61445.1	PSC72551.1
OG0000055	PRW61424.1, PRW60899.1, PRW58418.1	PSC73222.1, PSC73302.1
OG0000055	PRW45171.1	PSC70561.1
OG0000055	PRW61460.1	PSC73287.1
OG0000056	PRW58352.1	PSC68161.1
OG0000056	PRW60778.1	PSC69376.1, PSC69377.1
OG0000056	PRW60703.1, PRW60808.1	PSC69400.1
OG0000057	PRW59693.1, PRW55899.1	PSC72637.1
OG0000057	PRW56437.1	PSC69656.1
OG0000058	PRW59456.1	PSC75293.1
OG0000059	PRW61311.1	PSC74049.1
OG0000059	PRW20365.1	PSC74182.1
OG0000060	PRW33686.1, PRW33685.1, PRW33683.1, PRW33684.1	PSC70063.1
OG0000060	PRW32920.1, PRW33027.1	PSC76970.1
OG0000061	PRW56960.1	PSC71155.1
OG0000061	PRW51027.1	PSC73672.1, PSC73671.1
OG0000061	PRW50777.1, PRW60233.1, PRW60372.1	PSC74930.1
OG0000062	PRW20948.1, PRW20949.1	PSC76977.1
OG0000062	PRW05920.1	PSC67774.1
OG0000063	PRW57845.1	PSC73178.1, PSC73177.1
OG0000063	PRW44238.1	PSC75904.1
OG0000064	PRW57163.1	PSC72115.1
OG0000064	PRW61338.1	PSC74270.1
OG0000064	PRW20516.1, PRW20517.1, PRW20515.1	PSC70134.1
OG0000065	PRW39236.1, PRW39062.1	PSC67563.1
OG0000066	PRW21122.1	PSC74727.1
OG0000068	PRW61055.1	PSC74192.1
OG0000068	PRW60626.1	PSC69541.1
OG0000069	PRW60649.1	PSC68595.1, PSC67333.1
OG0000069	PRW32903.1	PSC68970.1, PSC71822.1, PSC68623.1, PSC68650.1, PSC68142.1
OG0000070	PRW60692.1	PSC72055.1, PSC72569.1
OG0000071	PRW33318.1, PRW33647.1, PRW33563.1	PSC69999.1, PSC70098.1
OG0000072	PRW60156.1, PRW59318.1	PSC71311.1, PSC69995.1
OG0000072	PRW20340.1	PSC74397.1, PSC74692.1
OG0000073	PRW50814.1	PSC75638.1
OG0000075	PRW58909.1	PSC67849.1
OG0000077	PRW58100.1	PSC73949.1
OG0000077	PRW57000.1	PSC72236.1
OG0000078	PRW56243.1	PSC75438.1
OG0000078	PRW45688.1, PRW45623.1, PRW45411.1	PSC69403.1, PSC69356.1
OG0000079	PRW34034.1	PSC67450.1, PSC74536.1
OG0000080	PRW20382.1	PSC76210.1
OG0000080	PRW60776.1	PSC74164.1
OG0000081	PRW20711.1	PSC74592.1, PSC67706.1, PSC74591.1, PSC67708.1
OG0000083	PRW32675.1	PSC72942.1, PSC76120.1, PSC67546.1, PSC75431.1, PSC72954.1, PSC72953.1, PSC76992.1, PSC68936.1, PSC67114.1
OG0000084	PRW44448.1	PSC71369.1, PSC75545.1, PSC71320.1
OG0000085	PRW60725.1	PSC76241.1
OG0000086	PRW61482.1	PSC73340.1
OG0000087	PRW55890.1	PSC72752.1, PSC72751.1
OG0000087	PRW20409.1, PRW20329.1	PSC74385.1, PSC74384.1
OG0000089	PRW61361.1	PSC74206.1
OG0000089	PRW58939.1	PSC77048.1
OG0000090	PRW56509.1	PSC72449.1, PSC72450.1
OG0000090	PRW56613.1	PSC71636.1
OG0000091	PRW59331.1	PSC72440.1, PSC72437.1
OG0000092	PRW60803.1	PSC75034.1
OG0000092	PRW57248.1	PSC67689.1
OG0000092	PRW56102.1	PSC74817.1
OG0000093	PRW60425.1	PSC68159.1
OG0000093	PRW57063.1	PSC75060.1
OG0000094	PRW61610.1, PRW61273.1, PRW61126.1, PRW61125.1	PSC73251.1
OG0000095	PRW21013.1	PSC70677.1, PSC68686.1, PSC74289.1
OG0000095	PRW60687.1	PSC70480.1
OG0000095	PRW58801.1, PRW58802.1	PSC73653.1
OG0000095	PRW56263.1	PSC72921.1
OG0000096	PRW57760.1	PSC67062.1
OG0000096	PRW60806.1	PSC67883.1, PSC67145.1, PSC67061.1, PSC67064.1, PSC67092.1, PSC67116.1
OG0000097	PRW58011.1, PRW20573.1	PSC74829.1
OG0000098	PRW39134.1, PRW39132.1, PRW39133.1	PSC73407.1, PSC73408.1
OG0000099	PRW56328.1	PSC69049.1
OG0000099	PRW58429.1	PSC76028.1
OG0000099	PRW45741.1	PSC73928.1
OG0000100	PRW58264.1, PRW20238.1, PRW58878.1, PRW56142.1, PRW34090.1, PRW57932.1	PSC68470.1, PSC67206.1
OG0000101	PRW33767.1	PSC69142.1
OG0000102	PRW60229.1, PRW60749.1, PRW59599.1, PRW59973.1, PRW60111.1, PRW56724.1, PRW56479.1, PRW58085.1, PRW58723.1, PRW56812.1, PRW56665.1, PRW59859.1	PSC67419.1
OG0000103	PRW56888.1	PSC72393.1, PSC75580.1
OG0000104	PRW59001.1	PSC76060.1, PSC67084.1
OG0000104	PRW58819.1	PSC76330.1
OG0000105	PRW59159.1	PSC75756.1
OG0000105	PRW51136.1	PSC77050.1
OG0000106	PRW60303.1	PSC75001.1
OG0000106	PRW60906.1	PSC76477.1
OG0000107	PRW59499.1	PSC71229.1, PSC71228.1
OG0000108	PRW60486.1	PSC68490.1
OG0000108	PRW58172.1, PRW58278.1	PSC73563.1, PSC73564.1, PSC73565.1
OG0000109	PRW58034.1	PSC73115.1
OG0000110	PRW57471.1	PSC75839.1
OG0000110	PRW58695.1	PSC72308.1, PSC72305.1, PSC72304.1, PSC72306.1, PSC72307.1
OG0000110	PRW44583.1	PSC72099.1
OG0000111	PRW56253.1, PRW56254.1, PRW56289.1, PRW56155.1, PRW55939.1, PRW56311.1, PRW56081.1, PRW56174.1, PRW56194.1	PSC72871.1, PSC72872.1
OG0000112	PRW20418.1	PSC76549.1
OG0000113	PRW57579.1	PSC67216.1, PSC67227.1
OG0000113	PRW32490.1	PSC73138.1
OG0000114	PRW20690.1	PSC68818.1
OG0000115	PRW58844.1	PSC75653.1
OG0000116	PRW56904.1, PRW56905.1	PSC72059.1
OG0000117	PRW44454.1, PRW44455.1	PSC69898.1
OG0000117	PRW56212.1	PSC69015.1
OG0000118	PRW57457.1	PSC77040.1, PSC71142.1
OG0000119	PRW50880.1, PRW50916.1, PRW50851.1, PRW33593.1, PRW33699.1	PSC69988.1, PSC70112.1
OG0000120	PRW60471.1	PSC68507.1
OG0000120	PRW39190.1, PRW39083.1	PSC72013.1
OG0000122	PRW56450.1, PRW33525.1, PRW33559.1	PSC69373.1
OG0000123	PRW60132.1	PSC76861.1
OG0000124	PRW59338.1	PSC68810.1
OG0000124	PRW55972.1	PSC72762.1
OG0000125	PRW61375.1	PSC77041.1
OG0000125	PRW59917.1, PRW59916.1	PSC76728.1, PSC77051.1, PSC76273.1, PSC67637.1
OG0000126	PRW20466.1	PSC69980.1, PSC70105.1
OG0000126	PRW20465.1	PSC70072.1
OG0000128	PRW56460.1	PSC72459.1, PSC72458.1
OG0000128	PRW57978.1	PSC70419.1
OG0000129	PRW59020.1, PRW59019.1	PSC67928.1, PSC67930.1, PSC67929.1, PSC67909.1
OG0000130	PRW59544.1	PSC76405.1
OG0000130	PRW59907.1	PSC76014.1
OG0000131	PRW58503.1, PRW57515.1	PSC69559.1
OG0000131	PRW20642.1	PSC74415.1
OG0000132	PRW51140.1	PSC75941.1, PSC75942.1, PSC75940.1
OG0000132	PRW50981.1	PSC75647.1
OG0000133	PRW39377.1	PSC73336.1, PSC67257.1
OG0000134	PRW50926.1	PSC75681.1
OG0000134	PRW60034.1, PRW60033.1	PSC76725.1
OG0000135	PRW58283.1, PRW34022.1, PRW32529.1, PRW20263.1, PRW33979.1, PRW56319.1, PRW05894.1, PRW20742.1	PSC68763.1, PSC74414.1
OG0000136	PRW39079.1	PSC73322.1
OG0000137	PRW56206.1	PSC71461.1
OG0000137	PRW55911.1, PRW44508.1	PSC69950.1
OG0000138	PRW60820.1	PSC75108.1, PSC75107.1, PSC75144.1, PSC74950.1, PSC74923.1, PSC75222.1, PSC75009.1
OG0000139	PRW58584.1	PSC74920.1
OG0000139	PRW21117.1, PRW21118.1	PSC71738.1
OG0000140	PRW34062.1	PSC67423.1, PSC67422.1
OG0000140	PRW44472.1, PRW44474.1, PRW44473.1, PRW44462.1	PSC69973.1
OG0000141	PRW45172.1, PRW45156.1	PSC70320.1
OG0000142	PRW20982.1	PSC71674.1
OG0000142	PRW20983.1	PSC71833.1, PSC71834.1
OG0000143	PRW59977.1	PSC69661.1
OG0000143	PRW59690.1, PRW60031.1	PSC69662.1
OG0000144	PRW39313.1, PRW39314.1, PRW39312.1	PSC75532.1, PSC69160.1
OG0000144	PRW57508.1	PSC68073.1
OG0000145	PRW05945.1	PSC67215.1
OG0000145	PRW51019.1	PSC75434.1
OG0000145	PRW50784.1	PSC75294.1
OG0000146	PRW20355.1	PSC72815.1, PSC72814.1, PSC68319.1, PSC68318.1, PSC74681.1, PSC74680.1, PSC74682.1, PSC74683.1, PSC74679.1
OG0000147	PRW20519.1, PRW60994.1	PSC70644.1
OG0000149	PRW21119.1, PRW39308.1	PSC69900.1, PSC69901.1, PSC69906.1, PSC69914.1
OG0000150	PRW32595.1, PRW58996.1, PRW56448.1, PRW56672.1, PRW56784.1, PRW33787.1, PRW34056.1, PRW58314.1, PRW60451.1, PRW34082.1, PRW51076.1	PSC74607.1
OG0000151	PRW44466.1	PSC69450.1
OG0000151	PRW57808.1	PSC68857.1
OG0000152	PRW59345.1	PSC76086.1
OG0000152	PRW59428.1, PRW59245.1	PSC74833.1, PSC75134.1, PSC69766.1, PSC75114.1
OG0000154	PRW20938.1	PSC69513.1
OG0000155	PRW33580.1, PRW33579.1	PSC75196.1
OG0000156	PRW33753.1	PSC67446.1
OG0000157	PRW60667.1	PSC69369.1
OG0000157	PRW57782.1	PSC73132.1
OG0000157	PRW60881.1	PSC70545.1
OG0000158	PRW39250.1, PRW33218.1	PSC73437.1
OG0000159	PRW59366.1	PSC67919.1
OG0000159	PRW59084.1, PRW59146.1	PSC67887.1
OG0000160	PRW44544.1	PSC70881.1
OG0000162	PRW45341.1	PSC73614.1
OG0000165	PRW50829.1, PRW59179.1, PRW56125.1, PRW33146.1, PRW57225.1	PSC77072.1
OG0000166	PRW58560.1, PRW58559.1	PSC68684.1
OG0000167	PRW50795.1, PRW50796.1	PSC75488.1
OG0000167	PRW56057.1	PSC71615.1
OG0000168	PRW56010.1, PRW56011.1	PSC71505.1
OG0000169	PRW50918.1	PSC75500.1
OG0000170	PRW60680.1	PSC69717.1
OG0000170	PRW56299.1	PSC69729.1, PSC72851.1, PSC72663.1
OG0000171	PRW59396.1, PRW59395.1	PSC76686.1, PSC76571.1, PSC71303.1
OG0000172	PRW60592.1	PSC74965.1
OG0000173	PRW56505.1, PRW44345.1, PRW56729.1, PRW33761.1, PRW56533.1, PRW56650.1, PRW56651.1, PRW56598.1	PSC72567.1
OG0000175	PRW56677.1	PSC68075.1, PSC76560.1
OG0000175	PRW39317.1	PSC71929.1
OG0000176	PRW61080.1, PRW61081.1, PRW61079.1, PRW61082.1	PSC74217.1, PSC74216.1
OG0000177	PRW56188.1	PSC71456.1
OG0000178	PRW59953.1	PSC68357.1
OG0000179	PRW58855.1, PRW57682.1	PSC72982.1
OG0000179	PRW57741.1, PRW57747.1	PSC73020.1
OG0000180	PRW21102.1	PSC74063.1
OG0000180	PRW21103.1	PSC71668.1
OG0000181	PRW58578.1	PSC75614.1
OG0000182	PRW60672.1	PSC68521.1, PSC68522.1
OG0000182	PRW45326.1	PSC69370.1
OG0000183	PRW60754.1, PRW60738.1	PSC74032.1, PSC74033.1
OG0000184	PRW45476.1, PRW45477.1, PRW45478.1, PRW45448.1, PRW45447.1, PRW45618.1	PSC73896.1, PSC73895.1
OG0000185	PRW20689.1, PRW20688.1	PSC67218.1
OG0000186	PRW45212.1	PSC71716.1, PSC71710.1
OG0000187	PRW58738.1, PRW58740.1, PRW58739.1	PSC67905.1, PSC67940.1, PSC67941.1
OG0000189	PRW44270.1	PSC69877.1
OG0000189	PRW44237.1	PSC69947.1
OG0000190	PRW59477.1	PSC68341.1
OG0000190	PRW59958.1	PSC76413.1, PSC76414.1
OG0000191	PRW58097.1, PRW58096.1	PSC75916.1, PSC75468.1
OG0000192	PRW20241.1	PSC73805.1, PSC70742.1
OG0000193	PRW58084.1, PRW58083.1	PSC74899.1, PSC67054.1, PSC68898.1, PSC68833.1
OG0000194	PRW45722.1	PSC67100.1, PSC68198.1, PSC67328.1
OG0000194	PRW57706.1, PRW45471.1	PSC68190.1
OG0000195	PRW59751.1	PSC71065.1
OG0000195	PRW21043.1	PSC71746.1
OG0000196	PRW59620.1	PSC74986.1, PSC71152.1
OG0000197	PRW21078.1, PRW21007.1	PSC71712.1, PSC71711.1
OG0000198	PRW44493.1, PRW44397.1	PSC71791.1
OG0000198	PRW21121.1	PSC71844.1, PSC71742.1, PSC71743.1
OG0000199	PRW58056.1, PRW58055.1	PSC73655.1
OG0000199	PRW57823.1	PSC73814.1
OG0000200	PRW56979.1, PRW57158.1, PRW51065.1, PRW51170.1, PRW20353.1	PSC75789.1, PSC73258.1, PSC71195.1, PSC74819.1, PSC69259.1, PSC69258.1
OG0000201	PRW33272.1	PSC74151.1
OG0000201	PRW34017.1, PRW45499.1	PSC71786.1, PSC74435.1, PSC67875.1
OG0000202	PRW45639.1	PSC69025.1
OG0000203	PRW57985.1	PSC72616.1, PSC72617.1, PSC68626.1
OG0000204	PRW60571.1, PRW60393.1	PSC71772.1, PSC74283.1
OG0000205	PRW60973.1	PSC76758.1
OG0000207	PRW45536.1	PSC69349.1
OG0000207	PRW60722.1	PSC68123.1
OG0000208	PRW56280.1, PRW33790.1	PSC70253.1
OG0000209	PRW45226.1	PSC72441.1
OG0000210	PRW33873.1	PSC76213.1, PSC76214.1
OG0000212	PRW44319.1	PSC72141.1
OG0000213	PRW20576.1	PSC70219.1
OG0000214	PRW60898.1, PRW61276.1	PSC69306.1
OG0000214	PRW61447.1	PSC70508.1
OG0000215	PRW33231.1, PRW33232.1	PSC69263.1
OG0000216	PRW33254.1	PSC68743.1, PSC68744.1
OG0000216	PRW33243.1, PRW33242.1	PSC68805.1
OG0000218	PRW57353.1	PSC72101.1
OG0000218	PRW58831.1	PSC73806.1
OG0000219	PRW39340.1	PSC70904.1, PSC70910.1
OG0000219	PRW60052.1	PSC70151.1, PSC70149.1, PSC70150.1
OG0000220	PRW59441.1, PRW59440.1, PRW59439.1	PSC68007.1
OG0000221	PRW32591.1	PSC76471.1, PSC76470.1
OG0000222	PRW51168.1, PRW51183.1	PSC75773.1
OG0000223	PRW50904.1, PRW50905.1	PSC77055.1
OG0000224	PRW20187.1	PSC68245.1
OG0000224	PRW33807.1	PSC69220.1
OG0000224	PRW45031.1	PSC69231.1
OG0000225	PRW56445.1, PRW60358.1, PRW60545.1, PRW60544.1	PSC68463.1
OG0000226	PRW20912.1, PRW56041.1	PSC69018.1, PSC69019.1, PSC69070.1
OG0000227	PRW50787.1, PRW50789.1, PRW50788.1, PRW50790.1	PSC73789.1
OG0000228	PRW61590.1	PSC70498.1
OG0000229	PRW58829.1, PRW56674.1	PSC69835.1
OG0000230	PRW56431.1, PRW56468.1, PRW56510.1	PSC69799.1
OG0000231	PRW61209.1, PRW60209.1, PRW60391.1	PSC73962.1, PSC73963.1, PSC74321.1, PSC73995.1
OG0000233	PRW58027.1, PRW58026.1, PRW58025.1	PSC72048.1, PSC70116.1, PSC70115.1, PSC73584.1
OG0000234	PRW57465.1, PRW33619.1, PRW57337.1	PSC72121.1
OG0000235	PRW45437.1	PSC68980.1, PSC68979.1
OG0000236	PRW39384.1	PSC67644.1
OG0000236	PRW45398.1	PSC67662.1
OG0000237	PRW56581.1, PRW56757.1	PSC68122.1, PSC68110.1
OG0000238	PRW56146.1, PRW56145.1	PSC69009.1, PSC69042.1
OG0000239	PRW56224.1	PSC71564.1
OG0000239	PRW55937.1	PSC71653.1, PSC71652.1
OG0000240	PRW56168.1	PSC72912.1
OG0000240	PRW56076.1	PSC72903.1
OG0000241	PRW56027.1, PRW56028.1	PSC72657.1, PSC72655.1, PSC72656.1
OG0000242	PRW56275.1, PRW33206.1	PSC71581.1
OG0000243	PRW60348.1	PSC74883.1
OG0000244	PRW58882.1	PSC76929.1
OG0000245	PRW60822.1	PSC68459.1, PSC68460.1, PSC68436.1, PSC68437.1
OG0000246	PRW60812.1	PSC67091.1, PSC67041.1, PSC68685.1, PSC67149.1, PSC67045.1
OG0000248	PRW60786.1	PSC74242.1, PSC74244.1, PSC74243.1
OG0000249	PRW45509.1	PSC67108.1
OG0000249	PRW33780.1	PSC67431.1
OG0000250	PRW33897.1, PRW33896.1, PRW33893.1	PSC76246.1
OG0000251	PRW33864.1	PSC76883.1, PSC76882.1, PSC76884.1
OG0000252	PRW20671.1	PSC67937.1, PSC67939.1, PSC67938.1
OG0000253	PRW60746.1	PSC74123.1
OG0000253	PRW60243.1	PSC68557.1
OG0000254	PRW60345.1	PSC67553.1
OG0000254	PRW32994.1	PSC71338.1
OG0000255	PRW60553.1, PRW60552.1, PRW60551.1	PSC67566.1
OG0000255	PRW05778.1	PSC67564.1
OG0000256	PRW44952.1	PSC70948.1
OG0000257	PRW58934.1, PRW58669.1	PSC74779.1
OG0000258	PRW57231.1	PSC73719.1
OG0000258	PRW33056.1	PSC73097.1
OG0000259	PRW58240.1, PRW58239.1	PSC68585.1
OG0000260	PRW58184.1	PSC67075.1, PSC67080.1, PSC69734.1
OG0000261	PRW58356.1	PSC68291.1, PSC68257.1
OG0000263	PRW56331.1	PSC68998.1, PSC69065.1
OG0000264	PRW60062.1	PSC68335.1
OG0000264	PRW59548.1	PSC68342.1, PSC68343.1
OG0000266	PRW32866.1, PRW32867.1	PSC76181.1
OG0000267	PRW33786.1	PSC70176.1
OG0000267	PRW34010.1, PRW45349.1	PSC70290.1
OG0000268	PRW57674.1	PSC73194.1
OG0000268	PRW59875.1	PSC76511.1
OG0000269	PRW32538.1	PSC69730.1
OG0000269	PRW60768.1, PRW60767.1, PRW51131.1	PSC75563.1
OG0000270	PRW32937.1, PRW32935.1, PRW32936.1	PSC76597.1, PSC76596.1, PSC76598.1
OG0000271	PRW21130.1	PSC71694.1
OG0000271	PRW56012.1	PSC72678.1
OG0000272	PRW56922.1	PSC72330.1
OG0000272	PRW57240.1	PSC72150.1, PSC72142.1
OG0000273	PRW18346.1	PSC71382.1
OG0000274	PRW57821.1	PSC74405.1
OG0000274	PRW57749.1	PSC74406.1, PSC74404.1
OG0000275	PRW61242.1	PSC74705.1
OG0000275	PRW61348.1, PRW61350.1, PRW61349.1	PSC74706.1
OG0000276	PRW33233.1	PSC75341.1, PSC76902.1
OG0000278	PRW61347.1, PRW45158.1	PSC67516.1
OG0000278	PRW44860.1, PRW61533.1	PSC67540.1
OG0000279	PRW61457.1	PSC73449.1
OG0000280	PRW57824.1	PSC70036.1, PSC70035.1, PSC70030.1, PSC70079.1, PSC70017.1, PSC70016.1, PSC73160.1
OG0000281	PRW59940.1	PSC70849.1, PSC75466.1, PSC71964.1, PSC70518.1, PSC70519.1
OG0000284	PRW45748.1	PSC72581.1
OG0000284	PRW45747.1, PRW45749.1	PSC72366.1
OG0000285	PRW61045.1	PSC73164.1, PSC68687.1, PSC68688.1
OG0000286	PRW45673.1	PSC68221.1, PSC68222.1
OG0000287	PRW20683.1	PSC74438.1
OG0000288	PRW58841.1	PSC75610.1
OG0000288	PRW20596.1	PSC69086.1
OG0000290	PRW20479.1, PRW20513.1, PRW20512.1	PSC70293.1
OG0000291	PRW57010.1	PSC70323.1, PSC70325.1, PSC70324.1
OG0000292	PRW39337.1	PSC67652.1
OG0000292	PRW33093.1	PSC69213.1
OG0000293	PRW33326.1	PSC69236.1
OG0000294	PRW55903.1, PRW57162.1	PSC72267.1
OG0000294	PRW59538.1	PSC73875.1
OG0000295	PRW58532.1	PSC70083.1, PSC68856.1
OG0000296	PRW33190.1, PRW33197.1	PSC71392.1, PSC71393.1
OG0000297	PRW32504.1	PSC76288.1
OG0000297	PRW32508.1, PRW32505.1	PSC76812.1
OG0000298	PRW33260.1	PSC67437.1
OG0000299	PRW58854.1	PSC73423.1, PSC73422.1
OG0000299	PRW56455.1	PSC69826.1
OG0000300	PRW56722.1	PSC72439.1
OG0000301	PRW58788.1, PRW58789.1, PRW58790.1	PSC76893.1, PSC76894.1, PSC76895.1
OG0000302	PRW58967.1	PSC74156.1, PSC74157.1
OG0000302	PRW58966.1	PSC73677.1
OG0000303	PRW21082.1	PSC71707.1
OG0000304	PRW61536.1	PSC73388.1
OG0000304	PRW61227.1	PSC73389.1
OG0000305	PRW60160.1	PSC68356.1
OG0000305	PRW59319.1	PSC75295.1
OG0000306	PRW50818.1, PRW50817.1	PSC75490.1
OG0000307	PRW50971.1	PSC75266.1
OG0000307	PRW50828.1	PSC75632.1
OG0000308	PRW51144.1	PSC75972.1, PSC75973.1
OG0000308	PRW51128.1	PSC76677.1
OG0000309	PRW51002.1	PSC75355.1
OG0000311	PRW56116.1, PRW56117.1	PSC71632.1
