HOG	OG	Gene Tree Parent Clade	a99_genome_proteins	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins	c_vulgaris_genome_proteins	m_conductrix_genome_proteins
N3.HOG0000022	OG0000004	n47			XP_005852293.1		
N3.HOG0000023	OG0000004	n49			XP_005843099.1	KAI3424398.1	
N3.HOG0000024	OG0000004	n52			XP_005843701.1		
N3.HOG0000025	OG0000004	n54			XP_005847291.1	KAI3424373.1	
N3.HOG0000026	OG0000005	n4			XP_005844803.1, XP_005845485.1, XP_005846952.1		
N3.HOG0000027	OG0000005	n7			XP_005847493.1	KAI3428490.1	
N3.HOG0000028	OG0000005	n11			XP_005843211.1	KAI3427342.1	
N3.HOG0000029	OG0000005	n14			XP_005843205.1	KAI3427397.1	
N3.HOG0000030	OG0000005	n20			XP_005848611.1		
N3.HOG0000031	OG0000005	n21			XP_005845997.1, XP_005845995.1, XP_005851910.1, XP_005848072.1		
N3.HOG0000032	OG0000005	n31			XP_005845704.1, XP_005843106.1, XP_005844574.1, XP_005848395.1		
N3.HOG0000033	OG0000005	n36			XP_005847828.1	KAI3425961.1	
N3.HOG0000034	OG0000005	n40			XP_005847121.1		
N3.HOG0000035	OG0000005	n44			XP_005844631.1, XP_005844632.1	KAI3430255.1	
N3.HOG0000036	OG0000005	n47			XP_005847536.1	KAI3425719.1	
N3.HOG0000037	OG0000005	n50			XP_005847535.1	KAI3425720.1	
N3.HOG0000038	OG0000006	n2			XP_005843094.1, XP_005847129.1, XP_005843702.1		
N3.HOG0000039	OG0000006	n17			XP_005843647.1, XP_005843638.1	KAI3424402.1, KAI3424353.1, KAI3428592.1, KAI3424383.1, KAI3428571.1, KAI3424410.1, KAI3424375.1, KAI3424432.1	
N3.HOG0000040	OG0000006	n37			XP_005852170.1	KAI3429597.1	
N3.HOG0000041	OG0000006	n40			XP_005848689.1	KAI3427071.1	
N3.HOG0000042	OG0000007	n0				KAI3434393.1, KAI3434392.1, KAI3434389.1, KAI3424374.1, KAI3424384.1, KAI3424354.1, KAI3431410.1, KAI3434407.1, KAI3426229.1, KAI3430677.1, KAI3424117.1, KAI3436884.1, KAI3431385.1, KAI3434382.1, KAI3431295.1, KAI3432785.1, KAI3434385.1, KAI3434378.1, KAI3425703.1, KAI3425792.1, KAI3423966.1, KAI3423965.1, KAI3436368.1, KAI3434417.1, KAI3434413.1, KAI3434405.1, KAI3432763.1, KAI3434430.1, KAI3434429.1, KAI3432792.1, KAI3425704.1, KAI3429804.1, KAI3428557.1, KAI3431271.1, KAI3424335.1, KAI3434399.1, KAI3425924.1, KAI3429805.1, KAI3424292.1, KAI3424445.1, KAI3424338.1, KAI3436673.1, KAI3434712.1, KAI3424408.1, KAI3426026.1, KAI3432764.1, KAI3434381.1, KAI3434379.1, KAI3434384.1, KAI3429644.1, KAI3425368.1	
N3.HOG0000043	OG0000008	n2			XP_005843694.1, XP_005851845.1	KAI3429596.1	
N3.HOG0000044	OG0000008	n4			XP_005846939.1, XP_005843134.1, XP_005843124.1, XP_005843643.1, XP_005843706.1	KAI3424411.1, KAI3424352.1, KAI3424376.1, KAI3424433.1, KAI3424382.1, KAI3424401.1, KAI3428591.1, KAI3428572.1	
N3.HOG0000045	OG0000009	n1			XP_005843707.1, XP_005846938.1, XP_005847450.1	KAI3424372.1	
N3.HOG0000046	OG0000009	n30			XP_005843696.1	KAI3424386.1	
N3.HOG0000047	OG0000009	n34				KAI3424356.1	
N3.HOG0000048	OG0000009	n36				KAI3427072.1	
N3.HOG0000049	OG0000009	n37				KAI3424431.1	
N3.HOG0000050	OG0000009	n38				KAI3424399.1	
N3.HOG0000051	OG0000009	n41				KAI3433958.1	
N3.HOG0000052	OG0000009	n45				KAI3428573.1	
N3.HOG0000053	OG0000009	n46				KAI3424396.1	
N3.HOG0000054	OG0000010	n12			XP_005850407.1	KAI3428291.1	
N3.HOG0000055	OG0000010	n14			XP_005850406.1	KAI3430755.1, KAI3428290.1	
N3.HOG0000056	OG0000010	n17			XP_005850707.1	KAI3436557.1	
N3.HOG0000057	OG0000010	n22			XP_005851305.1	KAI3433380.1	
N3.HOG0000058	OG0000010	n26			XP_005852188.1, XP_005852056.1		
N3.HOG0000059	OG0000010	n29			XP_005847434.1		
N3.HOG0000060	OG0000010	n30			XP_005847441.1		
N3.HOG0000061	OG0000010	n36				KAI3430596.1	
N3.HOG0000062	OG0000010	n38			XP_005850412.1	KAI3428300.1	
N3.HOG0000063	OG0000011	n2			XP_005842597.1		
N3.HOG0000064	OG0000011	n7			XP_005844733.1		
N3.HOG0000065	OG0000011	n21				KAI3424462.1, KAI3424461.1, KAI3424422.1, KAI3424438.1, KAI3424442.1	
N3.HOG0000066	OG0000011	n26			XP_005843129.1, XP_005843130.1, XP_005843132.1, XP_005843699.1, XP_005843126.1, XP_005843131.1, XP_005843709.1, XP_005843650.1, XP_005843646.1, XP_005843649.1, XP_005843644.1		
N3.HOG0000067	OG0000011	n37			XP_005843637.1, XP_005843098.1		
N3.HOG0000068	OG0000012	n0				KAI3432470.1, KAI3432723.1, KAI3436045.1, KAI3436048.1, KAI3436052.1, KAI3436382.1, KAI3432579.1, KAI3436746.1, KAI3436752.1, KAI3436051.1, KAI3436047.1, KAI3436044.1, KAI3423998.1, KAI3427283.1, KAI3431535.1, KAI3424086.1, KAI3428415.1, KAI3432724.1, KAI3429695.1, KAI3432678.1, KAI3423970.1, KAI3436381.1, KAI3434428.1, KAI3426992.1, KAI3424087.1, KAI3431843.1, KAI3431846.1, KAI3432451.1, KAI3427180.1, KAI3432450.1, KAI3427910.1, KAI3427909.1, KAI3428411.1, KAI3436385.1, KAI3438830.1, KAI3428638.1, KAI3436751.1, KAI3432477.1, KAI3432563.1, KAI3425358.1, KAI3428416.1	
N3.HOG0000069	OG0000013	n0				KAI3427320.1, KAI3427316.1, KAI3427345.1, KAI3427311.1, KAI3427326.1, KAI3427318.1, KAI3427352.1, KAI3427348.1, KAI3427322.1, KAI3427327.1, KAI3427315.1, KAI3427309.1, KAI3427319.1, KAI3427329.1, KAI3427330.1, KAI3427317.1, KAI3427356.1, KAI3427357.1, KAI3427339.1, KAI3426941.1, KAI3427303.1, KAI3427353.1, KAI3427314.1, KAI3427310.1, KAI3427302.1, KAI3427341.1, KAI3427338.1, KAI3427336.1, KAI3427332.1, KAI3427350.1, KAI3427351.1, KAI3427343.1, KAI3427328.1, KAI3427325.1, KAI3427334.1, KAI3427346.1, KAI3427349.1, KAI3427323.1, KAI3427333.1, KAI3427324.1	
N3.HOG0000070	OG0000015	n3			XP_005847071.1, XP_005847753.1	KAI3432746.1	
N3.HOG0000071	OG0000015	n6			XP_005850273.1	KAI3431754.1	
N3.HOG0000072	OG0000015	n12			XP_005850561.1		
N3.HOG0000073	OG0000015	n17			XP_005852287.1	KAI3429881.1	
N3.HOG0000074	OG0000015	n18			XP_005847070.1, XP_005847472.1, XP_005850922.1, XP_005846738.1, XP_005850346.1	KAI3428157.1, KAI3432743.1	
N3.HOG0000075	OG0000015	n26			XP_005843588.1, XP_005847339.1		
N3.HOG0000076	OG0000015	n29			XP_005848827.1, XP_005848623.1, XP_005849910.1		
N3.HOG0000077	OG0000015	n33			XP_005848624.1, XP_005848826.1		
N3.HOG0000078	OG0000016	n6				KAI3427416.1, KAI3427424.1, KAI3427388.1, KAI3427385.1	
N3.HOG0000079	OG0000016	n10				KAI3427396.1, KAI3427395.1	
N3.HOG0000080	OG0000016	n12				KAI3427378.1, KAI3427386.1	
N3.HOG0000081	OG0000016	n14				KAI3427405.1, KAI3427409.1, KAI3427406.1, KAI3427403.1, KAI3427399.1, KAI3427398.1, KAI3427400.1, KAI3427402.1, KAI3427404.1	
N3.HOG0000082	OG0000016	n27			XP_005843185.1	KAI3427407.1	
N3.HOG0000083	OG0000016	n28			XP_005843183.1	KAI3427387.1	
N3.HOG0000084	OG0000016	n29				KAI3427438.1, KAI3427420.1, KAI3427418.1	
N3.HOG0000085	OG0000017	n0			XP_005852316.1, XP_005843538.1, XP_005843501.1, XP_005849190.1, XP_005848549.1, XP_005848399.1, XP_005842611.1, XP_005842639.1, XP_005842799.1, XP_005842737.1, XP_005849053.1, XP_005844368.1, XP_005846559.1, XP_005847032.1, XP_005843489.1, XP_005842894.1, XP_005849191.1, XP_005845526.1, XP_005843515.1, XP_005843169.1, XP_005846567.1, XP_005843800.1, XP_005850982.1, XP_005852291.1, XP_005842900.1, XP_005843453.1, XP_005851373.1, XP_005843488.1, XP_005844996.1, XP_005850542.1, XP_005849148.1, XP_005852193.1, XP_005842582.1	KAI3437548.1	
N3.HOG0000086	OG0000018	n0				KAI3433850.1, KAI3433880.1, KAI3433915.1, KAI3433867.1, KAI3432242.1, KAI3433913.1, KAI3433914.1, KAI3433820.1, KAI3433866.1, KAI3433879.1, KAI3433859.1, KAI3433881.1, KAI3433871.1, KAI3427260.1, KAI3437823.1, KAI3433899.1, KAI3433924.1, KAI3433939.1, KAI3424364.1, KAI3433951.1, KAI3433959.1, KAI3433950.1, KAI3425877.1, KAI3433910.1, KAI3433909.1, KAI3433804.1, KAI3433883.1, KAI3433887.1, KAI3433890.1, KAI3433826.1, KAI3433718.1, KAI3433777.1, KAI3433852.1	
N3.HOG0000087	OG0000019	n2			XP_005843396.1		
N3.HOG0000088	OG0000019	n3			XP_005845649.1	KAI3424157.1	
N3.HOG0000089	OG0000019	n7			XP_005847661.1, XP_005851528.1, XP_005846203.1, XP_005842724.1, XP_005847755.1, XP_005846610.1, XP_005852300.1, XP_005851426.1, XP_005850151.1, XP_005845970.1, XP_005851650.1, XP_005849864.1, XP_005846352.1, XP_005850394.1, XP_005845506.1, XP_005851404.1, XP_005848389.1, XP_005847915.1, XP_005845234.1, XP_005842989.1, XP_005848688.1	KAI3427076.1	
N3.HOG0000090	OG0000020	n1			XP_005848711.1		
N3.HOG0000091	OG0000020	n10			XP_005845587.1, XP_005845588.1		
N3.HOG0000092	OG0000020	n12			XP_005844773.1, XP_005844722.1		
N3.HOG0000093	OG0000020	n15			XP_005843490.1	KAI3433853.1, KAI3433943.1	
N3.HOG0000094	OG0000021	n1			XP_005844764.1	KAI3430778.1	
N3.HOG0000095	OG0000021	n8			XP_005846125.1, XP_005850397.1		
N3.HOG0000096	OG0000021	n14			XP_005844589.1	KAI3430353.1	
N3.HOG0000097	OG0000021	n21			XP_005845820.1	KAI3425130.1	
N3.HOG0000098	OG0000021	n24			XP_005851655.1		
N3.HOG0000099	OG0000021	n25			XP_005851970.1	KAI3429892.1	
N3.HOG0000100	OG0000022	n1			XP_005843051.1		
N3.HOG0000101	OG0000022	n12			XP_005852085.1		
N3.HOG0000102	OG0000022	n14			XP_005843054.1, XP_005843056.1, XP_005843060.1, XP_005846817.1, XP_005843085.1, XP_005843055.1, XP_005843086.1, XP_005843058.1		
N3.HOG0000103	OG0000022	n23			XP_005843744.1	KAI3424283.1	
N3.HOG0000104	OG0000023	n1			XP_005844756.1	KAI3430771.1	
N3.HOG0000105	OG0000023	n5			XP_005847353.1, XP_005846085.1, XP_005846086.1, XP_005845946.1, XP_005849194.1, XP_005847189.1, XP_005851357.1, XP_005844829.1, XP_005846078.1, XP_005846080.1, XP_005845964.1, XP_005846105.1, XP_005845948.1, XP_005845945.1, XP_005845947.1, XP_005843455.1, XP_005845965.1, XP_005845963.1, XP_005846074.1, XP_005845962.1, XP_005846079.1		
N3.HOG0000106	OG0000024	n3			XP_005848195.1, XP_005844521.1	KAI3437552.1	
N3.HOG0000107	OG0000024	n6			XP_005844034.1, XP_005843521.1, XP_005849248.1, XP_005851469.1	KAI3433657.1	
N3.HOG0000108	OG0000024	n13			XP_005844033.1, XP_005852265.1		
N3.HOG0000109	OG0000024	n18				KAI3424143.1	
N3.HOG0000110	OG0000024	n23			XP_005843727.1		
N3.HOG0000111	OG0000024	n25			XP_005847991.1		
N3.HOG0000112	OG0000024	n26			XP_005843197.1	KAI3427434.1	
N3.HOG0000113	OG0000025	n1			XP_005846834.1	KAI3424943.1	
N3.HOG0000114	OG0000025	n17			XP_005851991.1, XP_005850391.1	KAI3428261.1, KAI3428260.1	
N3.HOG0000115	OG0000025	n25			XP_005849172.1		
N3.HOG0000116	OG0000025	n26			XP_005845012.1		
N3.HOG0000117	OG0000026	n0				KAI3432845.1, KAI3432846.1, KAI3432737.1, KAI3426105.1, KAI3428647.1, KAI3428641.1, KAI3429901.1, KAI3436258.1, KAI3428636.1, KAI3432779.1, KAI3427912.1, KAI3432843.1, KAI3429902.1, KAI3428410.1, KAI3436257.1, KAI3431292.1, KAI3431293.1, KAI3437676.1, KAI3427913.1, KAI3432715.1, KAI3428639.1, KAI3430929.1, KAI3428412.1, KAI3427111.1, KAI3427110.1, KAI3427176.1, KAI3432286.1	
N3.HOG0000118	OG0000027	n3			XP_005851663.1	KAI3436420.1	
N3.HOG0000119	OG0000027	n4			XP_005845589.1, XP_005845031.1	KAI3434613.1	
N3.HOG0000120	OG0000027	n7				KAI3436821.1, KAI3436464.1, KAI3426877.1, KAI3436439.1, KAI3436496.1, KAI3436443.1, KAI3434665.1, KAI3434659.1, KAI3434653.1, KAI3434621.1, KAI3434629.1, KAI3433499.1, KAI3433501.1, KAI3433479.1, KAI3433468.1, KAI3433467.1, KAI3433481.1, KAI3433353.1, KAI3433459.1	
N3.HOG0000121	OG0000028	n3			XP_005850762.1, XP_005842615.1		
N3.HOG0000122	OG0000028	n5			XP_005843458.1, XP_005850528.1, XP_005845519.1, XP_005843447.1, XP_005842754.1, XP_005851042.1, XP_005847720.1, XP_005844673.1, XP_005846096.1, XP_005852046.1, XP_005846333.1, XP_005850440.1, XP_005848398.1, XP_005842981.1, XP_005842673.1, XP_005849107.1, XP_005844546.1, XP_005843452.1, XP_005843419.1, XP_005849189.1	KAI3434646.1	
N3.HOG0000123	OG0000028	n25			XP_005849016.1	KAI3426836.1	
N3.HOG0000124	OG0000029	n0				KAI3424058.1, KAI3423405.1, KAI3423406.1, KAI3423430.1, KAI3423431.1, KAI3423429.1, KAI3423412.1, KAI3424090.1, KAI3423416.1, KAI3424088.1, KAI3424059.1, KAI3423423.1, KAI3423432.1, KAI3430641.1, KAI3424097.1, KAI3423410.1, KAI3423417.1, KAI3424093.1, KAI3424075.1, KAI3424085.1, KAI3424076.1, KAI3424074.1, KAI3423415.1, KAI3423420.1, KAI3423426.1, KAI3424096.1, KAI3424101.1	
N3.HOG0000125	OG0000030	n1			XP_005848732.1	KAI3426981.1	
N3.HOG0000126	OG0000030	n8			XP_005851069.1	KAI3433912.1	
N3.HOG0000127	OG0000030	n13			XP_005848479.1	KAI3426283.1	
N3.HOG0000128	OG0000030	n21			XP_005843734.1	KAI3424311.1	
N3.HOG0000129	OG0000031	n2			XP_005845612.1, XP_005845710.1	KAI3424231.1	
N3.HOG0000130	OG0000031	n9			XP_005846045.1		
N3.HOG0000131	OG0000031	n11			XP_005843386.1	KAI3430489.1	
N3.HOG0000132	OG0000031	n18			XP_005843148.1	KAI3424454.1	
N3.HOG0000133	OG0000031	n19			XP_005843149.1	KAI3424455.1	
N3.HOG0000134	OG0000031	n20			XP_005843147.1	KAI3424094.1	
N3.HOG0000135	OG0000031	n21			XP_005845648.1	KAI3424158.1	
N3.HOG0000136	OG0000032	n1			XP_005851040.1	KAI3436419.1	
N3.HOG0000137	OG0000032	n8			XP_005848978.1	KAI3431571.1	
N3.HOG0000138	OG0000032	n11			XP_005851799.1, XP_005852139.1, XP_005848147.1	KAI3437680.1, KAI3437679.1, KAI3437678.1	
N3.HOG0000139	OG0000032	n20			XP_005847190.1	KAI3429764.1	
N3.HOG0000140	OG0000032	n22			XP_005850761.1, XP_005850759.1, XP_005852236.1	KAI3436416.1	
N3.HOG0000141	OG0000033	n1			XP_005851083.1, XP_005844670.1, XP_005845033.1	KAI3424711.1	
N3.HOG0000142	OG0000033	n10			XP_005843209.1	KAI3427363.1	
N3.HOG0000143	OG0000033	n16			XP_005851084.1, XP_005851377.1, XP_005851383.1, XP_005851085.1	KAI3433944.1	
N3.HOG0000144	OG0000033	n20			XP_005843074.1, XP_005844674.1, XP_005852310.1	KAI3423962.1	
N3.HOG0000145	OG0000033	n23			XP_005844128.1, XP_005842747.1		
N3.HOG0000146	OG0000034	n1			XP_005846961.1	KAI3438051.1	
N3.HOG0000147	OG0000034	n5			XP_005844823.1, XP_005844824.1		
N3.HOG0000148	OG0000034	n7			XP_005843280.1		
N3.HOG0000149	OG0000034	n9			XP_005844943.1, XP_005851564.1		
N3.HOG0000150	OG0000034	n11			XP_005844587.1, XP_005849421.1, XP_005849420.1, XP_005849419.1	KAI3434627.1	
N3.HOG0000151	OG0000034	n15			XP_005847758.1, XP_005847759.1, XP_005849667.1, XP_005848604.1, XP_005845579.1, XP_005844350.1, XP_005849561.1, XP_005844544.1, XP_005844782.1, XP_005844780.1	KAI3430824.1	
N3.HOG0000152	OG0000035	n2			XP_005851604.1	KAI3433381.1	
N3.HOG0000153	OG0000035	n5			XP_005843088.1	KAI3423989.1	
N3.HOG0000154	OG0000035	n13			XP_005844092.1, XP_005844000.1	KAI3430592.1	
N3.HOG0000155	OG0000035	n17			XP_005846442.1		
N3.HOG0000156	OG0000035	n21			XP_005851603.1		
N3.HOG0000157	OG0000036	n1			XP_005847288.1	KAI3428610.1	
N3.HOG0000158	OG0000037	n1			XP_005849659.1	KAI3438819.1	
N3.HOG0000159	OG0000037	n16			YP_004347745.1	KAI3423558.1	
N3.HOG0000160	OG0000037	n17			XP_005849913.1	KAI3438825.1	
N3.HOG0000161	OG0000037	n20			XP_005845536.1		
N3.HOG0000162	OG0000038	n0			XP_005843853.1	KAI3432833.1, KAI3432406.1, KAI3434476.1, KAI3432357.1, KAI3432312.1, KAI3432803.1, KAI3432804.1, KAI3432326.1, KAI3434547.1, KAI3432369.1, KAI3432314.1, KAI3432320.1, KAI3432842.1, KAI3434542.1, KAI3432356.1, KAI3432323.1, KAI3434546.1, KAI3432343.1, KAI3432841.1, KAI3432840.1	
N3.HOG0000163	OG0000039	n1			XP_005849058.1		
N3.HOG0000164	OG0000039	n5			XP_005847858.1	KAI3426015.1	
N3.HOG0000165	OG0000040	n1			XP_005845715.1	KAI3424239.1	
N3.HOG0000166	OG0000040	n8			XP_005842791.1		
N3.HOG0000167	OG0000040	n13			XP_005845876.1	KAI3425251.1	
N3.HOG0000168	OG0000040	n16			XP_005847722.1		
N3.HOG0000169	OG0000040	n18			XP_005842790.1, XP_005845768.1, XP_005842681.1	KAI3425243.1	
N3.HOG0000170	OG0000042	n1			XP_005843633.1, XP_005843100.1, XP_005842784.1	KAI3436335.1	
N3.HOG0000171	OG0000042	n13			XP_005843536.1	KAI3432781.1, KAI3424825.1	
N3.HOG0000172	OG0000042	n18			XP_005844315.1	KAI3432469.1, KAI3436401.1	
N3.HOG0000173	OG0000043	n2			XP_005850306.1	KAI3428081.1, KAI3428080.1	
N3.HOG0000174	OG0000043	n9			XP_005843524.1, XP_005843312.1, XP_005843034.1, XP_005847924.1, XP_005847157.1, XP_005847646.1, XP_005843495.1	KAI3432564.1	
N3.HOG0000175	OG0000043	n17			XP_005844214.1	KAI3432337.1, KAI3432374.1	
N3.HOG0000176	OG0000043	n19			XP_005850305.1	KAI3425701.1	
N3.HOG0000177	OG0000044	n1			XP_005850876.1	KAI3436790.1	
N3.HOG0000178	OG0000044	n5			XP_005847883.1		
N3.HOG0000179	OG0000044	n7			XP_005843698.1	KAI3424387.1	
N3.HOG0000180	OG0000044	n15			XP_005844472.1		
N3.HOG0000181	OG0000044	n16			XP_005846123.1, XP_005845576.1		
N3.HOG0000182	OG0000044	n20			XP_005844470.1		
N3.HOG0000183	OG0000044	n21			XP_005844469.1		
N3.HOG0000184	OG0000045	n0				KAI3437937.1	
N3.HOG0000185	OG0000046	n1			XP_005844605.1	KAI3430308.1	
N3.HOG0000186	OG0000046	n10			XP_005844510.1, XP_005844599.1	KAI3430315.1, KAI3430325.1, KAI3430298.1	
N3.HOG0000187	OG0000046	n15			XP_005843816.1, XP_005844507.1	KAI3430319.1	
N3.HOG0000188	OG0000047	n1				KAI3431532.1, KAI3436294.1, KAI3436273.1, KAI3432594.1	
N3.HOG0000189	OG0000047	n11			XP_005845628.1		
N3.HOG0000190	OG0000047	n12			XP_005843303.1	KAI3424995.1, KAI3424867.1, KAI3424889.1, KAI3424870.1, KAI3432593.1, KAI3436293.1	
N3.HOG0000191	OG0000047	n19				KAI3423403.1, KAI3431764.1	
N3.HOG0000192	OG0000048	n1			XP_005849706.1		
N3.HOG0000193	OG0000048	n6			XP_005844087.1	KAI3430586.1	
N3.HOG0000194	OG0000048	n8			XP_005842614.1, XP_005842687.1, XP_005842798.1, XP_005843036.1, XP_005842883.1, XP_005848360.1, XP_005842870.1, XP_005842880.1, XP_005847112.1, XP_005847111.1, XP_005843302.1, XP_005842868.1		
N3.HOG0000195	OG0000049	n2			XP_005849431.1, XP_005849851.1		
N3.HOG0000196	OG0000049	n8			XP_005849226.1		
N3.HOG0000197	OG0000049	n10			XP_005851100.1	KAI3433844.1	
N3.HOG0000198	OG0000049	n12			XP_005849436.1	KAI3434593.1	
N3.HOG0000199	OG0000051	n1			XP_005842772.1	KAI3433911.1	
