HOG	OG	Gene Tree Parent Clade	a99_genome_proteins	c_sorokiniana_genome_proteins	c_variabilis_genome_proteins	c_vulgaris_genome_proteins	m_conductrix_genome_proteins
N1.HOG0000045	OG0000009	n30		PRW32923.1, PRW33013.1			PSC74522.1
N1.HOG0000046	OG0000009	n34		PRW57495.1			
N1.HOG0000047	OG0000009	n38		PRW57363.1			
N1.HOG0000048	OG0000009	n39		PRW57273.1			
N1.HOG0000049	OG0000009	n40		PRW32932.1			PSC72279.1
N1.HOG0000050	OG0000009	n41		PRW57296.1			
N1.HOG0000051	OG0000009	n43		PRW33065.1			PSC68336.1
N1.HOG0000052	OG0000009	n44		PRW57322.1			PSC72310.1
N1.HOG0000053	OG0000009	n45					PSC68363.1
N1.HOG0000054	OG0000009	n46					PSC71213.1
N1.HOG0000055	OG0000010	n9		PRW56397.1			PSC68096.1, PSC75343.1
N1.HOG0000056	OG0000010	n17					PSC72894.1, PSC72893.1
N1.HOG0000057	OG0000010	n22		PRW58582.1			
N1.HOG0000058	OG0000010	n29		PRW60753.1			
N1.HOG0000059	OG0000010	n30		PRW59695.1			PSC71318.1, PSC76891.1
N1.HOG0000060	OG0000010	n34		PRW45267.1, PRW45268.1			
N1.HOG0000061	OG0000010	n36					PSC73416.1, PSC75050.1
N1.HOG0000062	OG0000010	n38					PSC68081.1
N1.HOG0000063	OG0000011	n2		PRW56453.1			
N1.HOG0000064	OG0000011	n7					PSC67696.1
N1.HOG0000065	OG0000011	n18					PSC67610.1, PSC73305.1, PSC73306.1
N1.HOG0000066	OG0000011	n26		PRW44256.1			
N1.HOG0000067	OG0000011	n37		PRW58506.1			
N1.HOG0000068	OG0000014	n34					PSC68771.1
N1.HOG0000069	OG0000014	n35		PRW20255.1, PRW45725.1			PSC75847.1
N1.HOG0000070	OG0000015	n3		PRW59527.1			
N1.HOG0000071	OG0000015	n6		PRW58153.1, PRW57045.1			
N1.HOG0000072	OG0000015	n12		PRW45638.1			PSC67771.1
N1.HOG0000073	OG0000015	n14		PRW33966.1			PSC73546.1
N1.HOG0000074	OG0000015	n24		PRW57245.1			
N1.HOG0000075	OG0000016	n0		PRW05921.1, PRW05910.1, PRW05902.1			PSC67495.1
N1.HOG0000076	OG0000018	n0					PSC69111.1
N1.HOG0000077	OG0000019	n2		PRW32912.1			
N1.HOG0000078	OG0000019	n3		PRW44257.1			PSC74002.1
N1.HOG0000079	OG0000019	n7		PRW50812.1			PSC75324.1
N1.HOG0000080	OG0000020	n1		PRW39187.1, PRW58101.1, PRW45161.1, PRW57589.1, PRW58358.1, PRW56662.1			PSC67560.1, PSC73204.1
N1.HOG0000081	OG0000020	n12		PRW60147.1, PRW21076.1			
N1.HOG0000082	OG0000020	n15		PRW20905.1, PRW20904.1, PRW60463.1, PRW60340.1, PRW60239.1, PRW60632.1, PRW56127.1, PRW59997.1, PRW45512.1, PRW56827.1, PRW33756.1, PRW59495.1			PSC77018.1
N1.HOG0000083	OG0000021	n1		PRW21126.1			PSC71778.1
N1.HOG0000084	OG0000021	n8		PRW39362.1			PSC68117.1
N1.HOG0000085	OG0000021	n14		PRW21099.1			
N1.HOG0000086	OG0000021	n17		PRW33856.1			
N1.HOG0000087	OG0000021	n21		PRW33522.1			PSC70082.1
N1.HOG0000088	OG0000021	n24		PRW33901.1			
N1.HOG0000089	OG0000021	n25					PSC68562.1
N1.HOG0000090	OG0000022	n1		PRW45511.1			PSC75755.1
N1.HOG0000091	OG0000022	n4		PRW20986.1, PRW21009.1, PRW21137.1, PRW21050.1, PRW20977.1, PRW20972.1			
N1.HOG0000092	OG0000022	n12		PRW56545.1, PRW33266.1			
N1.HOG0000093	OG0000022	n14		PRW32643.1			PSC77010.1
N1.HOG0000094	OG0000022	n23		PRW58888.1			PSC75388.1, PSC70833.1, PSC71860.1, PSC75505.1
N1.HOG0000095	OG0000023	n1		PRW21073.1			PSC71672.1
N1.HOG0000096	OG0000023	n5					PSC72679.1
N1.HOG0000097	OG0000024	n3		PRW20503.1			
N1.HOG0000098	OG0000024	n6					PSC76211.1
N1.HOG0000099	OG0000024	n13					PSC71709.1, PSC71250.1
N1.HOG0000100	OG0000024	n18		PRW45644.1, PRW45379.1			PSC69133.1, PSC69134.1, PSC69132.1
N1.HOG0000101	OG0000024	n23		PRW55998.1			PSC72580.1
N1.HOG0000102	OG0000024	n25					PSC69137.1
N1.HOG0000103	OG0000024	n26					PSC68456.1
N1.HOG0000104	OG0000025	n1					PSC68631.1
N1.HOG0000105	OG0000025	n8		PRW45427.1, PRW45604.1, PRW45530.1, PRW57488.1, PRW45737.1, PRW56392.1, PRW56577.1, PRW45707.1, PRW21008.1			
N1.HOG0000106	OG0000025	n17					PSC67255.1, PSC74018.1, PSC74345.1, PSC74150.1, PSC75510.1
N1.HOG0000107	OG0000025	n25					PSC76854.1
N1.HOG0000108	OG0000027	n2					PSC74578.1
N1.HOG0000109	OG0000027	n7					PSC70817.1, PSC70319.1
N1.HOG0000110	OG0000028	n0		PRW50752.1			PSC69773.1
N1.HOG0000111	OG0000030	n1		PRW51015.1, PRW51016.1, PRW51017.1			PSC75952.1
N1.HOG0000112	OG0000030	n8		PRW58127.1			PSC75445.1
N1.HOG0000113	OG0000030	n13		PRW20327.1, PRW20328.1, PRW61549.1, PRW44907.1, PRW44910.1, PRW45179.1			PSC70423.1
N1.HOG0000114	OG0000030	n21		PRW20326.1			PSC74731.1
N1.HOG0000115	OG0000031	n2		PRW61339.1, PRW61198.1			PSC74088.1
N1.HOG0000116	OG0000031	n7		PRW33008.1			
N1.HOG0000117	OG0000031	n15		PRW60879.1			PSC73989.1
N1.HOG0000118	OG0000032	n1		PRW56123.1			PSC69079.1
N1.HOG0000119	OG0000032	n8		PRW58679.1, PRW33721.1			
N1.HOG0000120	OG0000032	n11		PRW56247.1			PSC75203.1
N1.HOG0000121	OG0000032	n18					PSC73918.1
N1.HOG0000122	OG0000033	n1		PRW45736.1			PSC69555.1
N1.HOG0000123	OG0000033	n7		PRW58712.1, PRW58414.1			
N1.HOG0000124	OG0000033	n10					PSC67144.1
N1.HOG0000125	OG0000033	n12					PSC74771.1, PSC74773.1
N1.HOG0000126	OG0000033	n23					PSC70368.1
N1.HOG0000127	OG0000034	n1		PRW57195.1			
N1.HOG0000128	OG0000034	n5					PSC71116.1
N1.HOG0000129	OG0000034	n7					PSC74160.1
N1.HOG0000130	OG0000035	n2					PSC76707.1
N1.HOG0000131	OG0000035	n5		PRW32494.1			
N1.HOG0000132	OG0000035	n8					PSC71028.1, PSC67024.1, PSC67392.1
N1.HOG0000133	OG0000035	n13		PRW32856.1, PRW32855.1			
N1.HOG0000134	OG0000035	n17		PRW33070.1, PRW32837.1, PRW60633.1			
N1.HOG0000135	OG0000035	n21		PRW60763.1, PRW58370.1			
N1.HOG0000136	OG0000036	n1		PRW44420.1			PSC69855.1
N1.HOG0000137	OG0000036	n10		PRW56132.1, PRW33982.1, PRW45185.1, PRW58293.1, PRW57219.1			
N1.HOG0000138	OG0000036	n15		PRW57115.1			
N1.HOG0000139	OG0000037	n1		PRW59067.1, PRW59066.1, PRW44497.1			PSC76570.1
N1.HOG0000140	OG0000037	n11		PRW59185.1, PRW59186.1			PSC76396.1
N1.HOG0000141	OG0000037	n19		PRW32982.1			
N1.HOG0000142	OG0000037	n20					PSC72948.1, PSC73066.1
N1.HOG0000143	OG0000038	n0		PRW20764.1			PSC68793.1
N1.HOG0000144	OG0000039	n1		PRW57373.1, PRW59763.1, PRW32946.1			PSC76689.1
N1.HOG0000145	OG0000039	n5		PRW60827.1, PRW32621.1, PRW56085.1, PRW57256.1, PRW57466.1, PRW33961.1, PRW33960.1, PRW20716.1, PRW33854.1, PRW33843.1, PRW58322.1, PRW58189.1, PRW59858.1, PRW44441.1, PRW33771.1, PRW34070.1			PSC70148.1
N1.HOG0000146	OG0000040	n1		PRW61474.1			PSC74046.1
N1.HOG0000147	OG0000040	n8		PRW33669.1			
N1.HOG0000148	OG0000040	n13		PRW33672.1			PSC74912.1
N1.HOG0000149	OG0000040	n16		PRW20825.1			PSC76673.1
N1.HOG0000150	OG0000040	n18					PSC74047.1
N1.HOG0000151	OG0000041	n0					PSC73047.1
N1.HOG0000152	OG0000043	n2					PSC72584.1
N1.HOG0000153	OG0000043	n5					PSC72525.1, PSC72526.1
N1.HOG0000154	OG0000044	n1		PRW55946.1			PSC71479.1
N1.HOG0000155	OG0000044	n5		PRW56954.1			
N1.HOG0000156	OG0000044	n7		PRW59662.1, PRW60004.1			PSC73088.1
N1.HOG0000157	OG0000044	n15		PRW32927.1			
N1.HOG0000158	OG0000044	n16					PSC74020.1
N1.HOG0000159	OG0000044	n20					PSC69092.1
N1.HOG0000160	OG0000044	n21					PSC76522.1
N1.HOG0000161	OG0000046	n1		PRW20580.1			PSC67991.1
N1.HOG0000162	OG0000046	n8		PRW20481.1, PRW20571.1			
N1.HOG0000163	OG0000046	n10					PSC67952.1
N1.HOG0000164	OG0000046	n15					PSC71916.1, PSC67962.1
N1.HOG0000165	OG0000047	n1		PRW39310.1, PRW57942.1, PRW39252.1			
N1.HOG0000166	OG0000047	n11					PSC74261.1
N1.HOG0000167	OG0000047	n12					PSC76097.1
N1.HOG0000168	OG0000047	n19					PSC75248.1
N1.HOG0000169	OG0000048	n1		PRW59309.1			
N1.HOG0000170	OG0000048	n2		PRW33060.1, PRW39120.1, PRW39118.1			
N1.HOG0000171	OG0000049	n2		PRW57986.1			PSC69102.1
N1.HOG0000172	OG0000049	n7		PRW39333.1			
N1.HOG0000173	OG0000049	n10		PRW58266.1			
N1.HOG0000174	OG0000049	n12		PRW57916.1, PRW57724.1			PSC69089.1, PSC69129.1, PSC69181.1
N1.HOG0000175	OG0000050	n0		PRW60954.1, PRW21010.1, PRW56112.1, PRW45726.1, PRW45629.1, PRW44387.1, PRW33714.1, PRW18418.1, PRW60796.1, PRW05686.1, PRW45630.1, PRW05743.1, PRW05685.1, PRW50991.1, PRW33265.1, PRW56022.1, PRW20585.1, PRW34092.1, PRW56997.1, PRW58827.1, PRW57871.1			
N1.HOG0000176	OG0000051	n1		PRW58244.1			PSC75643.1
N1.HOG0000177	OG0000051	n6		PRW45026.1			PSC70405.1, PSC70406.1
N1.HOG0000178	OG0000051	n12					PSC74693.1
N1.HOG0000179	OG0000051	n18		PRW56493.1			
N1.HOG0000180	OG0000052	n1		PRW58009.1			PSC73613.1, PSC74551.1
N1.HOG0000181	OG0000052	n9		PRW61437.1			PSC74792.1
N1.HOG0000182	OG0000052	n14					PSC69473.1
N1.HOG0000183	OG0000052	n16		PRW57359.1			
N1.HOG0000184	OG0000053	n1		PRW32665.1			PSC76825.1
N1.HOG0000185	OG0000053	n12		PRW33245.1			
N1.HOG0000186	OG0000053	n14		PRW20392.1			
N1.HOG0000187	OG0000054	n1		PRW61544.1			
N1.HOG0000188	OG0000054	n3		PRW61445.1			PSC72551.1
N1.HOG0000189	OG0000055	n2		PRW61424.1, PRW60899.1, PRW58418.1			PSC73222.1, PSC73302.1
N1.HOG0000190	OG0000055	n6		PRW45171.1			PSC70561.1
N1.HOG0000191	OG0000055	n11		PRW61460.1			PSC73287.1
N1.HOG0000192	OG0000056	n1		PRW58352.1			PSC68161.1
N1.HOG0000193	OG0000056	n7		PRW60778.1			PSC69376.1, PSC69377.1
N1.HOG0000194	OG0000056	n11		PRW60703.1, PRW60808.1, PRW33630.1			PSC69400.1
N1.HOG0000195	OG0000057	n2		PRW61362.1			
N1.HOG0000196	OG0000057	n9		PRW59693.1			
N1.HOG0000197	OG0000057	n10		PRW55899.1			
N1.HOG0000198	OG0000057	n11		PRW56437.1			PSC69656.1
N1.HOG0000199	OG0000058	n0		PRW59456.1, PRW59590.1			PSC75293.1
N1.HOG0000200	OG0000059	n1		PRW61311.1			PSC74049.1
N1.HOG0000201	OG0000059	n11		PRW20365.1			PSC74182.1
N1.HOG0000202	OG0000059	n15		PRW61163.1			
N1.HOG0000203	OG0000060	n1		PRW33686.1, PRW33685.1, PRW33683.1, PRW33684.1			PSC70063.1
N1.HOG0000204	OG0000060	n10					PSC75854.1, PSC75765.1
N1.HOG0000205	OG0000060	n14		PRW32920.1, PRW33027.1			PSC76970.1
N1.HOG0000206	OG0000061	n2		PRW56960.1			PSC71155.1
N1.HOG0000207	OG0000061	n5		PRW51027.1			PSC73672.1, PSC73671.1
N1.HOG0000208	OG0000061	n11		PRW50777.1			
N1.HOG0000209	OG0000061	n15		PRW60233.1			
N1.HOG0000210	OG0000061	n16		PRW60372.1			
N1.HOG0000211	OG0000062	n1		PRW20948.1, PRW20949.1			PSC76977.1
N1.HOG0000212	OG0000062	n7		PRW05920.1			PSC67774.1
N1.HOG0000213	OG0000063	n1		PRW57845.1			PSC73178.1, PSC73177.1
N1.HOG0000214	OG0000063	n7		PRW44238.1			PSC75904.1
N1.HOG0000215	OG0000063	n11		PRW58070.1, PRW58069.1			
N1.HOG0000216	OG0000063	n15					PSC73067.1
N1.HOG0000217	OG0000064	n1		PRW57163.1			PSC72115.1
N1.HOG0000218	OG0000064	n9		PRW61338.1			PSC74270.1
N1.HOG0000219	OG0000064	n12		PRW20516.1, PRW20517.1, PRW20515.1			PSC70134.1
N1.HOG0000220	OG0000065	n0		PRW39236.1, PRW39062.1			PSC67563.1
N1.HOG0000221	OG0000066	n2					PSC69007.1
N1.HOG0000222	OG0000066	n4		PRW45120.1, PRW45119.1			
N1.HOG0000223	OG0000066	n12		PRW21122.1			PSC74727.1
N1.HOG0000224	OG0000066	n15		PRW57956.1, PRW05882.1			
N1.HOG0000225	OG0000067	n1		PRW33653.1			
N1.HOG0000226	OG0000067	n3					PSC74990.1
N1.HOG0000227	OG0000067	n13		PRW60610.1, PRW60576.1			
N1.HOG0000228	OG0000068	n3		PRW61055.1			PSC74192.1
N1.HOG0000229	OG0000068	n6					PSC74475.1
N1.HOG0000230	OG0000068	n9		PRW56902.1			
N1.HOG0000231	OG0000068	n12		PRW60626.1			PSC69541.1
N1.HOG0000232	OG0000069	n1		PRW60649.1			PSC68595.1, PSC67333.1
N1.HOG0000233	OG0000069	n7		PRW32903.1			PSC68970.1, PSC71822.1, PSC68623.1, PSC68650.1, PSC68142.1
N1.HOG0000234	OG0000069	n13					PSC67013.1, PSC67576.1
N1.HOG0000235	OG0000070	n1		PRW56858.1			
N1.HOG0000236	OG0000070	n12					PSC72055.1
N1.HOG0000237	OG0000070	n14					PSC72569.1
N1.HOG0000238	OG0000071	n2		PRW33318.1, PRW33647.1, PRW33563.1			PSC69999.1, PSC70098.1
N1.HOG0000239	OG0000071	n15		PRW45249.1			
N1.HOG0000240	OG0000072	n3		PRW60156.1, PRW59318.1			
N1.HOG0000241	OG0000072	n5					PSC71311.1
N1.HOG0000242	OG0000072	n9					PSC69995.1
N1.HOG0000243	OG0000072	n13					PSC74397.1
N1.HOG0000244	OG0000072	n15					PSC74692.1
N1.HOG0000245	OG0000073	n1		PRW50814.1			PSC75638.1
N1.HOG0000246	OG0000073	n7					PSC75775.1
N1.HOG0000247	OG0000073	n9					PSC75375.1
N1.HOG0000248	OG0000075	n1		PRW58909.1			PSC67849.1
N1.HOG0000249	OG0000075	n9					PSC74454.1
N1.HOG0000250	OG0000075	n11		PRW59170.1, PRW59171.1			
N1.HOG0000251	OG0000076	n0					PSC74606.1
N1.HOG0000252	OG0000077	n1		PRW58100.1			PSC73949.1
N1.HOG0000253	OG0000077	n5		PRW57000.1			PSC72236.1
N1.HOG0000254	OG0000078	n1		PRW56243.1			PSC75438.1
N1.HOG0000255	OG0000078	n5		PRW45688.1, PRW45623.1, PRW45411.1			PSC69403.1, PSC69356.1
N1.HOG0000256	OG0000079	n2					PSC67450.1
N1.HOG0000257	OG0000079	n8					PSC74536.1
N1.HOG0000258	OG0000080	n1		PRW20382.1			PSC76210.1
N1.HOG0000259	OG0000080	n7		PRW60776.1			PSC74164.1
N1.HOG0000260	OG0000080	n9					PSC76459.1
N1.HOG0000261	OG0000081	n2					PSC74592.1, PSC67706.1
N1.HOG0000262	OG0000081	n13					PSC74591.1, PSC67708.1
N1.HOG0000263	OG0000082	n0		PRW32664.1			
N1.HOG0000264	OG0000083	n0		PRW32675.1			PSC72942.1, PSC76120.1, PSC67546.1, PSC75431.1, PSC72954.1, PSC72953.1, PSC76992.1, PSC68936.1, PSC67114.1
N1.HOG0000265	OG0000084	n1		PRW44448.1			PSC71369.1, PSC75545.1, PSC71320.1
N1.HOG0000266	OG0000084	n6		PRW59521.1			
N1.HOG0000267	OG0000085	n1		PRW60725.1			PSC76241.1
N1.HOG0000268	OG0000085	n3					PSC72986.1, PSC67264.1, PSC67187.1, PSC68424.1, PSC68448.1, PSC76723.1, PSC76641.1, PSC76479.1, PSC76478.1, PSC76484.1, PSC76236.1, PSC76237.1
N1.HOG0000269	OG0000086	n0		PRW61482.1			PSC73340.1
N1.HOG0000270	OG0000087	n1		PRW55890.1			PSC72752.1, PSC72751.1
N1.HOG0000271	OG0000087	n5		PRW20409.1, PRW20329.1			PSC74385.1, PSC74384.1
N1.HOG0000272	OG0000088	n0					PSC68175.1
N1.HOG0000273	OG0000089	n1		PRW61361.1			PSC74206.1
N1.HOG0000274	OG0000089	n8		PRW58939.1			PSC77048.1
N1.HOG0000275	OG0000089	n13		PRW55955.1			
N1.HOG0000276	OG0000090	n1		PRW56509.1			PSC72449.1, PSC72450.1
N1.HOG0000277	OG0000090	n7		PRW44975.1			
N1.HOG0000278	OG0000090	n10		PRW56613.1			PSC71636.1
N1.HOG0000279	OG0000091	n7		PRW59331.1			PSC72440.1, PSC72437.1
N1.HOG0000280	OG0000091	n10		PRW55918.1, PRW56217.1, PRW18384.1, PRW45711.1			
N1.HOG0000281	OG0000092	n1		PRW60803.1			PSC75034.1
N1.HOG0000282	OG0000092	n10		PRW57248.1			PSC67689.1
N1.HOG0000283	OG0000092	n12		PRW56102.1			PSC74817.1
N1.HOG0000284	OG0000093	n1		PRW60425.1			PSC68159.1
N1.HOG0000285	OG0000093	n5		PRW57063.1			PSC75060.1
N1.HOG0000286	OG0000094	n2		PRW61610.1, PRW61273.1			
N1.HOG0000287	OG0000094	n7		PRW61126.1, PRW61125.1			
N1.HOG0000288	OG0000095	n4		PRW21013.1			PSC70677.1, PSC68686.1, PSC74289.1
N1.HOG0000289	OG0000095	n8		PRW60687.1			PSC70480.1
N1.HOG0000290	OG0000095	n11		PRW58801.1, PRW58802.1			PSC73653.1
N1.HOG0000291	OG0000095	n13		PRW56263.1			PSC72921.1
N1.HOG0000292	OG0000096	n1		PRW57760.1			PSC67062.1
N1.HOG0000293	OG0000096	n5		PRW60806.1			PSC67883.1, PSC67145.1, PSC67061.1, PSC67064.1, PSC67092.1, PSC67116.1
N1.HOG0000294	OG0000097	n1		PRW57971.1, PRW57973.1, PRW57972.1			
N1.HOG0000295	OG0000097	n6		PRW58011.1, PRW20573.1			PSC74829.1
N1.HOG0000296	OG0000098	n2		PRW39353.1			
N1.HOG0000297	OG0000098	n4					PSC73461.1
N1.HOG0000298	OG0000098	n7		PRW39134.1, PRW39132.1, PRW39133.1			PSC73407.1, PSC73408.1
N1.HOG0000299	OG0000099	n1		PRW56328.1			PSC69049.1
N1.HOG0000300	OG0000099	n6		PRW58429.1			PSC76028.1
N1.HOG0000301	OG0000099	n10		PRW45741.1			PSC73928.1
N1.HOG0000302	OG0000100	n1		PRW58264.1, PRW20238.1, PRW58878.1, PRW56142.1, PRW34090.1, PRW57932.1			PSC68470.1, PSC67206.1
N1.HOG0000303	OG0000100	n10					PSC76751.1, PSC76010.1
N1.HOG0000304	OG0000101	n0		PRW33767.1			PSC69142.1
N1.HOG0000305	OG0000102	n0		PRW60229.1, PRW60749.1, PRW59599.1, PRW59973.1, PRW60111.1, PRW56724.1, PRW56479.1, PRW58085.1, PRW58723.1, PRW56812.1, PRW56665.1, PRW59859.1			PSC67419.1
N1.HOG0000306	OG0000103	n1		PRW33047.1			
N1.HOG0000307	OG0000103	n4		PRW56888.1			PSC72393.1, PSC75580.1
N1.HOG0000308	OG0000104	n1		PRW59001.1			PSC76060.1, PSC67084.1
N1.HOG0000309	OG0000104	n9		PRW59363.1			
N1.HOG0000310	OG0000104	n10		PRW58819.1			PSC76330.1
N1.HOG0000311	OG0000105	n2		PRW59159.1			PSC75756.1
N1.HOG0000312	OG0000105	n6		PRW60771.1			
N1.HOG0000313	OG0000105	n10		PRW51136.1			PSC77050.1
N1.HOG0000314	OG0000105	n12		PRW33292.1			
N1.HOG0000315	OG0000106	n1		PRW60303.1			PSC75001.1
N1.HOG0000316	OG0000106	n6		PRW60906.1			PSC76477.1
N1.HOG0000317	OG0000107	n0		PRW59499.1			PSC71229.1, PSC71228.1
N1.HOG0000318	OG0000108	n4		PRW60486.1			PSC68490.1
N1.HOG0000319	OG0000108	n5		PRW58172.1, PRW58278.1			PSC73563.1, PSC73564.1, PSC73565.1
N1.HOG0000320	OG0000108	n9					PSC72373.1
N1.HOG0000321	OG0000109	n1		PRW58034.1			PSC73115.1
N1.HOG0000322	OG0000109	n11		PRW61254.1			
N1.HOG0000323	OG0000109	n12		PRW51042.1			
N1.HOG0000324	OG0000110	n4		PRW57471.1			PSC75839.1
N1.HOG0000325	OG0000110	n5		PRW58695.1			PSC72308.1, PSC72305.1, PSC72304.1, PSC72306.1, PSC72307.1
N1.HOG0000326	OG0000110	n12		PRW44583.1			PSC72099.1
N1.HOG0000327	OG0000111	n0		PRW56253.1, PRW56254.1, PRW56289.1, PRW56155.1, PRW55939.1, PRW56311.1, PRW56081.1, PRW56174.1, PRW56194.1			PSC72871.1, PSC72872.1
