Orthogroup	a99_genome_proteins	c_sorokiniana_genome_proteins
OG0000052	scaffold26.g3362.t1, scaffold11.g4068.t1	PRW58009.1
OG0000052	scaffold26.g3342.t1, scaffold26.g3341.t1, scaffold26.g3340.t1	PRW61437.1
OG0000052	scaffold31.g3800.t1, scaffold31.g3799.t1	PRW57359.1
OG0000053	scaffold7.g3463.t1	PRW20392.1
OG0000054	scaffold1.g5727.t1	PRW61544.1
OG0000056	scaffold5.g995.t1	PRW58352.1
OG0000056	scaffold17.g586.t1	PRW60778.1, PRW60703.1, PRW60808.1, PRW33630.1
OG0000057	scaffold7.g3702.t1	PRW61362.1
OG0000059	scaffold2.g6899.t1	PRW61311.1
OG0000059	scaffold2.g7015.t1	PRW20365.1
OG0000059	scaffold13.g258.t1	PRW61163.1
OG0000060	scaffold24.g2974.t1	PRW33686.1, PRW33685.1, PRW33683.1, PRW33684.1
OG0000060	scaffold5.g900.t1	PRW32920.1, PRW33027.1
OG0000061	scaffold11.g3926.t1	PRW56960.1
OG0000061	scaffold14.g1323.t1	PRW51027.1
OG0000061	scaffold12.g8275.t1	PRW50777.1
OG0000061	scaffold9.g3165.t1	PRW60233.1
OG0000061	scaffold9.g3138.t1	PRW60372.1
OG0000062	scaffold19.g1806.t1, scaffold8.g1419.t1	PRW20948.1, PRW20949.1
OG0000062	scaffold2.g7111.t1	PRW05920.1
OG0000063	scaffold7.g3548.t1	PRW58070.1, PRW58069.1
OG0000064	scaffold21.g2159.t1	PRW57163.1
OG0000064	scaffold6.g2717.t1	PRW61338.1, PRW20516.1, PRW20517.1, PRW20515.1
OG0000065	scaffold11.g3945.t1	PRW39236.1, PRW39062.1
OG0000066	scaffold28.g7595.t1	PRW45120.1, PRW45119.1
OG0000066	scaffold2.g7296.t1	PRW21122.1, PRW57956.1, PRW05882.1
OG0000067	scaffold16.g143.t1	PRW60610.1, PRW60576.1
OG0000068	scaffold12.g8197.t1	PRW61055.1
OG0000068	scaffold21.g2087.t1	PRW56902.1
OG0000068	scaffold11.g3909.t1	PRW60626.1
OG0000069	scaffold7.g3563.t1	PRW60649.1
OG0000069	scaffold336.g5147.t1	PRW32903.1
OG0000070	scaffold2.g7418.t1	PRW56858.1
OG0000071	scaffold2.g7456.t1	PRW33318.1, PRW33647.1, PRW33563.1, PRW45249.1
OG0000075	scaffold5.g965.t1	PRW58909.1
OG0000075	scaffold13.g368.t1	PRW59170.1, PRW59171.1
OG0000077	scaffold1.g5663.t1	PRW58100.1
OG0000077	scaffold21.g2144.t1, scaffold21.g2145.t1	PRW57000.1
OG0000078	scaffold6.g2727.t1	PRW56243.1
OG0000078	scaffold11.g3955.t1, scaffold11.g3956.t1, scaffold4.g4630.t1, scaffold7.g3621.t1, scaffold2.g6921.t1	PRW45688.1, PRW45623.1, PRW45411.1
OG0000079	scaffold1.g5282.t1	PRW34034.1
OG0000086	scaffold2.g7360.t1, scaffold5.g677.t1, scaffold16.g112.t1, scaffold25.g5133.t1, scaffold19.g1746.t1, scaffold2.g7040.t1, scaffold8.g1653.t1, scaffold8.g1727.t1, scaffold14.g1036.t1, scaffold5.g934.t1, scaffold14.g1224.t1, scaffold16.g105.t1, scaffold5.g936.t1	PRW61482.1
OG0000087	scaffold2.g6980.t1	PRW55890.1
OG0000087	scaffold13.g295.t1, scaffold12.g8260.t1	PRW20409.1, PRW20329.1
OG0000089	scaffold8.g1512.t1, scaffold1.g5368.t1, scaffold2.g6901.t1	PRW61361.1
OG0000089	scaffold12.g8201.t1, scaffold19.g1824.t1	PRW58939.1
OG0000089	scaffold2.g6879.t1	PRW55955.1
OG0000090	scaffold22.g6141.t1	PRW56509.1
OG0000090	scaffold15.g4283.t1	PRW44975.1
OG0000090	scaffold18.g2030.t1	PRW56613.1
OG0000091	scaffold7.g3469.t1	PRW59331.1
OG0000091	scaffold20.g7653.t1	PRW45711.1
OG0000092	scaffold9.g3015.t1	PRW60803.1
OG0000092	scaffold9.g3017.t1	PRW57248.1, PRW56102.1
OG0000093	scaffold9.g3132.t1	PRW60425.1
OG0000094	scaffold26.g3358.t1, scaffold11.g3879.t1	PRW61126.1, PRW61125.1
OG0000095	scaffold11.g3872.t1	PRW21013.1, PRW60687.1, PRW58801.1, PRW58802.1, PRW56263.1
OG0000096	scaffold4.g4691.t1	PRW57760.1
OG0000096	scaffold11.g3928.t1	PRW60806.1
OG0000097	scaffold11.g4064.t1, scaffold23.g4191.t1, scaffold2.g7502.t1, scaffold2.g7503.t1, scaffold1.g5557.t1	PRW58011.1, PRW20573.1
OG0000098	scaffold40.g5165.t1	PRW39353.1
OG0000098	scaffold40.g5162.t1	PRW39134.1, PRW39132.1, PRW39133.1
OG0000099	scaffold1.g5569.t1	PRW58429.1
OG0000103	scaffold2.g7247.t1	PRW33047.1
OG0000103	scaffold13.g185.t1	PRW56888.1
OG0000104	scaffold5.g906.t1	PRW59001.1
OG0000104	scaffold5.g722.t1	PRW59363.1, PRW58819.1
OG0000105	scaffold30.g4439.t1	PRW59159.1
OG0000105	scaffold5.g963.t1	PRW60771.1
OG0000106	scaffold9.g3025.t1	PRW60303.1
OG0000106	scaffold9.g3291.t1, scaffold5.g993.t1, scaffold2.g6870.t1, scaffold10.g2347.t1	PRW60906.1
OG0000107	scaffold8.g1577.t1	PRW59499.1
OG0000109	scaffold3.g6213.t1	PRW58034.1
OG0000109	scaffold12.g8024.t1, scaffold10.g2292.t1	PRW61254.1, PRW51042.1
OG0000110	scaffold10.g2339.t1, scaffold10.g2456.t1	PRW58695.1
OG0000111	scaffold6.g2756.t1	PRW56253.1, PRW56254.1, PRW56289.1, PRW56155.1, PRW55939.1, PRW56311.1, PRW56081.1, PRW56174.1, PRW56194.1
OG0000112	scaffold7.g3579.t1	PRW20418.1
OG0000113	scaffold7.g3630.t1	PRW57579.1
OG0000114	scaffold23.g4091.t1	PRW20690.1
OG0000115	scaffold30.g4425.t1, scaffold30.g4462.t1, scaffold30.g4452.t1, scaffold30.g4455.t1, scaffold30.g4447.t1, scaffold30.g4463.t1, scaffold30.g4459.t1, scaffold36.g5070.t1	PRW58844.1
OG0000116	scaffold1.g5676.t1	PRW56904.1, PRW56905.1
OG0000116	scaffold20.g7726.t1, scaffold34.g4503.t1	PRW60179.1, PRW34008.1, PRW61051.1
OG0000117	scaffold4.g4954.t1	PRW44454.1, PRW44455.1, PRW56212.1
OG0000118	scaffold2.g7483.t1, scaffold22.g6072.t1	PRW57457.1
OG0000119	scaffold2.g7265.t1, scaffold2.g7266.t1	PRW50880.1, PRW50916.1, PRW50851.1, PRW33593.1, PRW33699.1
OG0000122	scaffold16.g42.t1	PRW33525.1, PRW33559.1
OG0000123	scaffold3.g6561.t1, scaffold20.g7694.t1, scaffold20.g7696.t1, scaffold10.g2257.t1, scaffold2.g7441.t1, scaffold16.g84.t1, scaffold20.g7695.t1	PRW60132.1
OG0000124	scaffold4.g4802.t1	PRW59338.1
OG0000124	scaffold20.g7697.t1, scaffold16.g85.t1, scaffold6.g2677.t1, scaffold6.g2833.t1	PRW55972.1
OG0000125	scaffold13.g279.t1, scaffold13.g278.t1	PRW61375.1
OG0000126	scaffold13.g328.t1	PRW20466.1
OG0000126	scaffold13.g318.t1	PRW20465.1
OG0000128	scaffold18.g2061.t1	PRW56460.1
OG0000128	scaffold5.g626.t1	PRW57978.1
OG0000129	scaffold5.g636.t1, scaffold5.g640.t1	PRW59020.1, PRW59019.1
OG0000130	scaffold3.g6559.t1	PRW59544.1
OG0000130	scaffold5.g852.t1	PRW59907.1
OG0000131	scaffold14.g1153.t1	PRW58503.1, PRW57515.1
OG0000131	scaffold8.g1615.t1	PRW20642.1
OG0000132	scaffold14.g1179.t1	PRW51140.1
OG0000132	scaffold14.g1278.t1	PRW50981.1
OG0000133	scaffold14.g1187.t1	PRW56019.1
OG0000134	scaffold34.g4506.t1	PRW60034.1
OG0000134	scaffold14.g1199.t1, scaffold14.g1211.t1, scaffold14.g1198.t1	PRW60033.1
OG0000135	scaffold8.g1664.t1	PRW58283.1, PRW34022.1, PRW32529.1, PRW20263.1, PRW33979.1, PRW56319.1, PRW05894.1, PRW20742.1
OG0000136	scaffold21.g2167.t1	PRW39079.1
OG0000137	scaffold6.g2876.t1	PRW56206.1
OG0000137	scaffold4.g4994.t1	PRW55911.1, PRW44508.1
OG0000138	scaffold4.g4774.t1, scaffold26.g3327.t1, scaffold9.g3026.t1	PRW60820.1
OG0000139	scaffold9.g3139.t1	PRW58584.1
OG0000139	scaffold1.g5241.t1	PRW60844.1
OG0000139	scaffold2.g7295.t1	PRW21117.1, PRW21118.1
OG0000140	scaffold4.g4950.t1, scaffold7.g3403.t1	PRW34062.1, PRW44472.1, PRW44474.1, PRW44473.1, PRW44462.1
OG0000141	scaffold15.g4263.t1	PRW45452.1
OG0000142	scaffold15.g4372.t1	PRW20982.1
OG0000142	scaffold15.g4371.t1	PRW20983.1
OG0000143	scaffold3.g6176.t1, scaffold3.g6216.t1	PRW59690.1, PRW60031.1
OG0000144	scaffold2.g7081.t1	PRW51174.1, PRW39313.1, PRW39314.1, PRW39312.1, PRW57508.1
OG0000145	scaffold2.g7115.t1	PRW05945.1
OG0000146	scaffold12.g8213.t1	PRW20355.1
OG0000154	scaffold19.g1845.t1	PRW20938.1
OG0000155	scaffold16.g145.t1, scaffold24.g2935.t1, scaffold16.g148.t1	PRW33580.1, PRW33579.1
OG0000156	scaffold3.g6665.t1	PRW58415.1, PRW20534.1
OG0000156	scaffold7.g3401.t1, scaffold7.g3388.t1	PRW33753.1
OG0000157	scaffold13.g377.t1	PRW60667.1
OG0000157	scaffold1.g5421.t1	PRW57782.1
OG0000157	scaffold2.g6784.t1	PRW60881.1
OG0000158	scaffold17.g436.t1	PRW33218.1
OG0000159	scaffold5.g679.t1	PRW59084.1, PRW59146.1
OG0000160	scaffold5.g780.t1	PRW60854.1, PRW60251.1
OG0000160	scaffold5.g873.t1	PRW44363.1
OG0000162	scaffold26.g3367.t1	PRW45341.1
OG0000162	scaffold3.g6473.t1, scaffold5.g871.t1, scaffold5.g815.t1, scaffold12.g7917.t1	PRW21096.1
OG0000164	scaffold14.g1193.t1	PRW60130.1
OG0000165	scaffold14.g1210.t1, scaffold1.g5531.t1	PRW50829.1, PRW59179.1, PRW56125.1
OG0000166	scaffold2.g7162.t1	PRW58392.1, PRW58310.1
OG0000166	scaffold14.g1237.t1	PRW58560.1, PRW58559.1
OG0000167	scaffold14.g1244.t1	PRW50795.1, PRW50796.1
OG0000167	scaffold8.g1370.t1	PRW56057.1
OG0000168	scaffold8.g1364.t1, scaffold6.g2671.t1, scaffold6.g2691.t1, scaffold6.g2654.t1	PRW61494.1, PRW56010.1, PRW56011.1
OG0000169	scaffold8.g1447.t1	PRW56148.1
OG0000170	scaffold1.g5312.t1	PRW60680.1
OG0000170	scaffold6.g2638.t1, scaffold8.g1467.t1	PRW56299.1
OG0000171	scaffold8.g1600.t1, scaffold3.g6374.t1	PRW59396.1, PRW59395.1
OG0000172	scaffold25.g5092.t1, scaffold2.g7292.t1	PRW60592.1
OG0000173	scaffold18.g1938.t1	PRW56505.1, PRW44345.1, PRW56729.1, PRW33761.1, PRW56533.1, PRW56650.1, PRW56651.1, PRW56598.1
OG0000174	scaffold1.g5847.t1, scaffold10.g2283.t1, scaffold7.g3443.t1	PRW20437.1
OG0000175	scaffold12.g8029.t1, scaffold10.g2306.t1	PRW39317.1
OG0000176	scaffold6.g2519.t1	PRW61080.1, PRW61081.1, PRW61079.1, PRW61082.1
OG0000177	scaffold1.g5545.t1	PRW33709.1, PRW33710.1
OG0000178	scaffold7.g3550.t1, scaffold7.g3607.t1	PRW33631.1
OG0000178	scaffold3.g6247.t1	PRW59953.1
OG0000179	scaffold7.g3615.t1, scaffold7.g3627.t1	PRW58855.1, PRW57682.1, PRW57741.1, PRW57747.1
OG0000180	scaffold1.g5177.t1	PRW21102.1
OG0000180	scaffold7.g3655.t1, scaffold2.g7293.t1	PRW21103.1
OG0000181	scaffold32.g3814.t1, scaffold1.g5314.t1	PRW58578.1
OG0000181	scaffold1.g5309.t1	PRW58275.1
OG0000182	scaffold11.g3860.t1	PRW60672.1
OG0000182	scaffold42.g4468.t1	PRW45326.1
OG0000183	scaffold11.g4002.t1	PRW60584.1
OG0000184	scaffold11.g4072.t1	PRW45476.1, PRW45477.1, PRW45478.1, PRW45448.1, PRW45447.1
OG0000185	scaffold23.g4082.t1, scaffold23.g4083.t1	PRW20689.1, PRW20688.1
OG0000186	scaffold15.g4354.t1	PRW45212.1
OG0000187	scaffold30.g4446.t1	PRW58738.1, PRW58740.1, PRW58739.1
OG0000188	scaffold4.g4645.t1	PRW33569.1
OG0000189	scaffold4.g5051.t1	PRW44270.1
OG0000189	scaffold4.g5053.t1	PRW44237.1
OG0000190	scaffold3.g6416.t1	PRW59477.1
OG0000190	scaffold25.g5115.t1	PRW59958.1
OG0000191	scaffold1.g5206.t1, scaffold1.g5286.t1, scaffold1.g5245.t1	PRW58097.1, PRW58096.1
OG0000192	scaffold1.g5855.t1, scaffold1.g5266.t1	PRW58444.1
OG0000193	scaffold1.g5407.t1, scaffold1.g5412.t1	PRW58084.1, PRW58083.1
OG0000194	scaffold29.g5966.t1	PRW45722.1, PRW57706.1, PRW45471.1
OG0000195	scaffold20.g7659.t1	PRW59751.1, PRW32572.1
OG0000195	scaffold22.g6043.t1	PRW21043.1
OG0000196	scaffold3.g6577.t1	PRW59620.1
OG0000197	scaffold2.g7204.t1	PRW21078.1
OG0000197	scaffold2.g7206.t1	PRW21007.1
OG0000198	scaffold2.g7305.t1	PRW21121.1
OG0000199	scaffold12.g7968.t1	PRW58056.1, PRW58055.1
OG0000199	scaffold12.g7938.t1, scaffold12.g7937.t1	PRW57823.1
OG0000207	scaffold16.g32.t1	PRW45536.1
OG0000208	scaffold12.g8121.t1, scaffold12.g8124.t1, scaffold16.g115.t1, scaffold1.g5564.t1	PRW56280.1, PRW33790.1
OG0000209	scaffold13.g166.t1, scaffold4.g4598.t1, scaffold14.g1083.t1	PRW45226.1
OG0000210	scaffold7.g3608.t1	PRW33873.1
OG0000211	scaffold9.g3206.t1, scaffold11.g3890.t1, scaffold27.g5994.t1, scaffold13.g220.t1, scaffold7.g3683.t1, scaffold23.g4196.t1, scaffold14.g1151.t1, scaffold3.g6621.t1	PRW61234.1
OG0000212	scaffold13.g326.t1	PRW44319.1
OG0000213	scaffold13.g400.t1, scaffold10.g2380.t1, scaffold4.g4992.t1	PRW21030.1
OG0000213	scaffold13.g409.t1	PRW20576.1
OG0000214	scaffold17.g455.t1	PRW61447.1
OG0000215	scaffold17.g476.t1	PRW33231.1, PRW33232.1
OG0000216	scaffold17.g595.t1	PRW33254.1, PRW33243.1, PRW33242.1
OG0000218	scaffold21.g2142.t1	PRW57353.1
OG0000218	scaffold5.g803.t1	PRW58831.1
OG0000219	scaffold5.g958.t1	PRW39340.1
OG0000219	scaffold7.g3453.t1	PRW60052.1
OG0000220	scaffold5.g972.t1, scaffold5.g1004.t1	PRW59441.1, PRW59440.1, PRW59439.1
OG0000221	scaffold4.g4860.t1	PRW32591.1
OG0000221	scaffold5.g1007.t1	PRW59201.1
OG0000221	scaffold7.g3721.t1	PRW56073.1
OG0000222	scaffold14.g1084.t1	PRW51168.1
OG0000222	scaffold14.g1070.t1	PRW51183.1
OG0000223	scaffold14.g1123.t1	PRW50904.1, PRW50905.1
OG0000224	scaffold14.g1137.t1	PRW20187.1, PRW33807.1, PRW45031.1
OG0000225	scaffold14.g1212.t1	PRW56445.1, PRW60358.1, PRW60545.1, PRW60544.1
OG0000226	scaffold14.g1279.t1	PRW20912.1, PRW56041.1
OG0000227	scaffold14.g1315.t1	PRW50787.1, PRW50789.1, PRW50788.1, PRW50790.1
OG0000228	scaffold14.g1353.t1, scaffold6.g2501.t1, scaffold15.g4256.t1	PRW61590.1
OG0000229	scaffold3.g6759.t1, scaffold3.g6644.t1	PRW59411.1
OG0000229	scaffold19.g1837.t1	PRW58829.1, PRW56674.1
OG0000230	scaffold2.g7028.t1	PRW56431.1
OG0000230	scaffold18.g1882.t1	PRW56468.1
OG0000231	scaffold3.g6703.t1, scaffold18.g1973.t1	PRW61209.1, PRW60209.1, PRW60391.1
OG0000232	scaffold18.g2050.t1	PRW45046.1
OG0000233	scaffold21.g2108.t1, scaffold11.g3937.t1	PRW58027.1, PRW58026.1, PRW58025.1
OG0000234	scaffold21.g2139.t1	PRW57465.1, PRW33619.1, PRW57337.1
OG0000235	scaffold6.g2843.t1, scaffold21.g2199.t1	PRW56173.1
OG0000235	scaffold29.g5964.t1	PRW45437.1
OG0000236	scaffold10.g2304.t1, scaffold10.g2480.t1	PRW39384.1
OG0000236	scaffold7.g3760.t1	PRW45398.1
OG0000237	scaffold4.g4845.t1, scaffold6.g2574.t1, scaffold22.g6034.t1	PRW56581.1, PRW56757.1
OG0000238	scaffold76.g4559.t1, scaffold6.g2728.t1	PRW56146.1, PRW56145.1
OG0000239	scaffold6.g2740.t1	PRW55937.1
OG0000240	scaffold6.g2764.t1	PRW56168.1
OG0000240	scaffold6.g2766.t1	PRW56076.1
OG0000241	scaffold6.g2821.t1, scaffold20.g7869.t1	PRW56027.1, PRW56028.1
OG0000242	scaffold24.g2993.t1	PRW56275.1, PRW33206.1
OG0000244	scaffold1.g5183.t1, scaffold9.g3177.t1	PRW58882.1
OG0000244	scaffold4.g4579.t1, scaffold11.g4004.t1	PRW60751.1
OG0000245	scaffold9.g3187.t1	PRW60822.1
OG0000246	scaffold9.g3207.t1, scaffold2.g6993.t1	PRW60812.1
OG0000248	scaffold1.g5436.t1	PRW58416.1
OG0000248	scaffold3.g6288.t1, scaffold9.g3286.t1	PRW60786.1
OG0000249	scaffold7.g3373.t1	PRW45509.1
OG0000249	scaffold7.g3375.t1	PRW33780.1
OG0000250	scaffold7.g3498.t1, scaffold7.g3499.t1	PRW33897.1, PRW33896.1
OG0000251	scaffold7.g3709.t1	PRW33864.1
OG0000252	scaffold11.g3839.t1	PRW20671.1
OG0000253	scaffold11.g3876.t1, scaffold11.g3853.t1, scaffold11.g3847.t1, scaffold11.g3857.t1	PRW60746.1, PRW60243.1
OG0000254	scaffold11.g3914.t1	PRW60345.1
OG0000254	scaffold2.g7376.t1	PRW32994.1
OG0000255	scaffold11.g3946.t1	PRW60553.1, PRW60552.1, PRW60551.1
OG0000255	scaffold12.g8175.t1	PRW05778.1
OG0000256	scaffold23.g4177.t1	PRW44952.1
OG0000257	scaffold4.g4660.t1	PRW58934.1, PRW58669.1
OG0000258	scaffold4.g4760.t1	PRW57231.1
OG0000259	scaffold1.g5203.t1	PRW58240.1, PRW58239.1
OG0000259	scaffold1.g5204.t1	PRW58183.1
OG0000260	scaffold3.g6685.t1	PRW58184.1
OG0000260	scaffold1.g5316.t1	PRW58107.1
OG0000261	scaffold1.g5471.t1, scaffold1.g5467.t1, scaffold1.g5468.t1	PRW58356.1
OG0000263	scaffold1.g5651.t1	PRW56331.1
OG0000264	scaffold3.g6297.t1	PRW60062.1
OG0000265	scaffold3.g6576.t1	PRW59908.1
OG0000266	scaffold3.g6616.t1, scaffold2.g7278.t1	PRW32866.1, PRW32867.1
OG0000267	scaffold3.g6640.t1	PRW33786.1
OG0000267	scaffold2.g7504.t1	PRW34010.1, PRW45349.1
OG0000268	scaffold3.g6668.t1	PRW57674.1
OG0000269	scaffold2.g7090.t1	PRW32538.1, PRW60768.1, PRW60767.1, PRW51131.1
OG0000270	scaffold2.g7276.t1	PRW32937.1, PRW32935.1, PRW32936.1
OG0000271	scaffold2.g7320.t1	PRW21130.1, PRW56012.1
OG0000272	scaffold20.g7704.t1	PRW56922.1, PRW57240.1
OG0000273	scaffold20.g7874.t1	PRW18346.1
OG0000274	scaffold12.g8000.t1	PRW57821.1
OG0000274	scaffold12.g7991.t1	PRW57749.1
OG0000275	scaffold12.g8174.t1	PRW61242.1
OG0000275	scaffold12.g8171.t1	PRW61348.1, PRW61350.1, PRW61349.1
OG0000284	scaffold16.g27.t1	PRW45748.1
OG0000285	scaffold16.g88.t1	PRW61045.1
OG0000286	scaffold14.g1098.t1, scaffold13.g218.t1, scaffold13.g217.t1	PRW45673.1
OG0000287	scaffold13.g286.t1	PRW20683.1
OG0000287	scaffold8.g1654.t1	PRW20712.1
OG0000288	scaffold5.g629.t1	PRW58841.1
OG0000288	scaffold13.g310.t1	PRW20596.1
OG0000290	scaffold13.g407.t1	PRW20479.1, PRW20513.1, PRW20512.1
OG0000291	scaffold17.g432.t1, scaffold28.g7544.t1	PRW57010.1
OG0000292	scaffold10.g2479.t1	PRW39337.1
OG0000292	scaffold17.g458.t1	PRW33093.1
OG0000293	scaffold17.g461.t1	PRW33326.1
OG0000294	scaffold15.g4357.t1, scaffold22.g6112.t1	PRW55903.1, PRW57162.1
OG0000294	scaffold17.g499.t1	PRW59538.1
OG0000295	scaffold11.g3892.t1, scaffold11.g3893.t1, scaffold1.g5641.t1, scaffold6.g2550.t1, scaffold17.g517.t1	PRW58532.1
OG0000296	scaffold17.g548.t1	PRW33190.1
OG0000296	scaffold17.g546.t1	PRW33197.1
OG0000297	scaffold5.g618.t1	PRW32504.1
OG0000297	scaffold1.g5795.t1	PRW32508.1, PRW32505.1
OG0000298	scaffold5.g642.t1	PRW33260.1
OG0000299	scaffold5.g702.t1	PRW58854.1
OG0000300	scaffold22.g6079.t1	PRW56722.1
OG0000300	scaffold5.g744.t1, scaffold2.g6910.t1	PRW20934.1
OG0000301	scaffold5.g748.t1	PRW58788.1, PRW58789.1, PRW58790.1
OG0000302	scaffold25.g5102.t1	PRW58967.1
OG0000302	scaffold5.g785.t1	PRW58966.1
OG0000303	scaffold2.g7291.t1, scaffold5.g921.t1	PRW21082.1
OG0000304	scaffold5.g950.t1	PRW61536.1
OG0000304	scaffold1.g5818.t1	PRW61227.1
OG0000305	scaffold3.g6417.t1	PRW60160.1
OG0000305	scaffold5.g1008.t1	PRW59319.1
OG0000306	scaffold14.g1042.t1	PRW50818.1, PRW50817.1
OG0000306	scaffold14.g1017.t1	PRW51142.1
OG0000307	scaffold14.g1067.t1	PRW50971.1
OG0000307	scaffold14.g1219.t1	PRW50828.1
OG0000308	scaffold14.g1085.t1	PRW51144.1
OG0000308	scaffold14.g1300.t1	PRW51128.1
OG0000309	scaffold14.g1093.t1	PRW51165.1
OG0000309	scaffold14.g1097.t1, scaffold14.g1105.t1	PRW51002.1
OG0000311	scaffold14.g1206.t1	PRW56116.1, PRW56117.1
OG0000312	scaffold14.g1234.t1	PRW55919.1, PRW50804.1
OG0000313	scaffold7.g3454.t1	PRW60134.1
OG0000313	scaffold14.g1270.t1, scaffold9.g3085.t1	PRW60727.1
OG0000314	scaffold8.g1556.t1	PRW18306.1
OG0000315	scaffold6.g2734.t1	PRW56181.1
OG0000315	scaffold8.g1719.t1	PRW55990.1
OG0000316	scaffold19.g1765.t1	PRW57105.1, PRW57106.1
OG0000317	scaffold19.g1770.t1	PRW57468.1
OG0000318	scaffold19.g1804.t1	PRW57316.1, PRW60442.1
OG0000319	scaffold19.g1828.t1	PRW20779.1
OG0000320	scaffold18.g1924.t1	PRW05856.1
