Orthogroup	a99_genome_proteins	c_variabilis_genome_proteins
OG0000051	scaffold1.g5290.t1	XP_005842772.1
OG0000051	scaffold8.g1581.t1	XP_005843891.1
OG0000052	scaffold20.g7847.t1	XP_005847910.1
OG0000052	scaffold31.g3800.t1, scaffold31.g3799.t1	XP_005847912.1
OG0000053	scaffold7.g3463.t1	XP_005845524.1
OG0000054	scaffold1.g5727.t1	XP_005846468.1
OG0000056	scaffold5.g995.t1	XP_005851238.1
OG0000056	scaffold17.g586.t1	XP_005851822.1, XP_005845298.1, XP_005851756.1, XP_005845426.1
OG0000057	scaffold7.g3702.t1	XP_005848445.1, XP_005851827.1
OG0000059	scaffold2.g6899.t1	XP_005842866.1
OG0000059	scaffold2.g7015.t1	XP_005845679.1
OG0000059	scaffold13.g258.t1	XP_005845678.1
OG0000060	scaffold24.g2974.t1	XP_005845787.1
OG0000060	scaffold5.g900.t1	XP_005843014.1, XP_005843015.1
OG0000061	scaffold11.g3926.t1	XP_005847147.1
OG0000061	scaffold14.g1323.t1	XP_005848612.1
OG0000061	scaffold12.g8275.t1	XP_005848615.1
OG0000062	scaffold19.g1806.t1, scaffold8.g1419.t1	XP_005848139.1
OG0000062	scaffold19.g1805.t1	XP_005848138.1
OG0000062	scaffold2.g7111.t1	XP_005843178.1
OG0000063	scaffold7.g3631.t1, scaffold7.g3548.t1, scaffold8.g1589.t1, scaffold1.g5347.t1	XP_005849369.1
OG0000064	scaffold21.g2159.t1	XP_005846850.1
OG0000064	scaffold6.g2717.t1	XP_005844148.1, XP_005843039.1, XP_005844636.1
OG0000065	scaffold11.g3945.t1	XP_005852207.1, XP_005851871.1
OG0000066	scaffold12.g8238.t1	XP_005845861.1
OG0000066	scaffold28.g7595.t1	XP_005849869.1, XP_005849132.1
OG0000066	scaffold2.g7296.t1	XP_005847799.1
OG0000067	scaffold16.g143.t1	XP_005845719.1
OG0000068	scaffold12.g8197.t1	XP_005845574.1, XP_005843102.1
OG0000068	scaffold21.g2087.t1	XP_005847020.1
OG0000068	scaffold11.g3909.t1	XP_005852257.1
OG0000069	scaffold336.g5147.t1	XP_005848368.1, XP_005848371.1, XP_005848367.1
OG0000070	scaffold2.g7418.t1	XP_005847718.1
OG0000071	scaffold2.g7456.t1	XP_005845923.1, XP_005845813.1, XP_005845814.1, XP_005846604.1, XP_005851773.1, XP_005848573.1
OG0000075	scaffold5.g965.t1	XP_005849557.1, XP_005849558.1
OG0000075	scaffold13.g368.t1	XP_005849560.1, XP_005849559.1, XP_005851920.1
OG0000076	scaffold4.g4739.t1, scaffold4.g4678.t1, scaffold21.g2091.t1, scaffold15.g4343.t1, scaffold15.g4345.t1, scaffold15.g4339.t1, scaffold7.g3409.t1, scaffold7.g3410.t1, scaffold21.g2090.t1, scaffold12.g8041.t1, scaffold12.g8069.t1, scaffold12.g8055.t1, scaffold1.g5431.t1, scaffold8.g1677.t1	XP_005843718.1
OG0000077	scaffold1.g5663.t1	XP_005842581.1
OG0000077	scaffold455.g5909.t1	YP_004347772.1
OG0000077	scaffold1.g5662.t1	XP_005851265.1
OG0000077	scaffold21.g2145.t1	XP_005847122.1
OG0000078	scaffold6.g2727.t1	XP_005846653.1
OG0000078	scaffold11.g3955.t1, scaffold11.g3956.t1, scaffold4.g4630.t1, scaffold7.g3621.t1, scaffold2.g6921.t1	XP_005849210.1
OG0000079	scaffold1.g5282.t1	XP_005849036.1
OG0000087	scaffold13.g295.t1, scaffold12.g8260.t1	XP_005842827.1, XP_005843674.1
OG0000089	scaffold8.g1512.t1, scaffold1.g5368.t1, scaffold2.g6901.t1	XP_005842704.1
OG0000089	scaffold12.g8201.t1, scaffold19.g1824.t1	XP_005849744.1
OG0000090	scaffold22.g6141.t1	XP_005850232.1
OG0000090	scaffold15.g4283.t1	XP_005848340.1
OG0000090	scaffold18.g2030.t1	XP_005850135.1
OG0000091	scaffold7.g3469.t1, scaffold20.g7653.t1, scaffold21.g2186.t1	XP_005843076.1
OG0000092	scaffold9.g3015.t1	XP_005851990.1
OG0000092	scaffold9.g3017.t1	XP_005846592.1, XP_005845071.1, XP_005852306.1
OG0000093	scaffold9.g3132.t1	XP_005851713.1
OG0000094	scaffold26.g3358.t1, scaffold11.g3879.t1	XP_005844359.1
OG0000095	scaffold11.g3872.t1	XP_005846097.1
OG0000096	scaffold4.g4691.t1	XP_005850527.1
OG0000096	scaffold11.g3928.t1	XP_005852164.1
OG0000097	scaffold11.g4064.t1, scaffold23.g4191.t1, scaffold2.g7502.t1, scaffold2.g7503.t1, scaffold1.g5557.t1	XP_005847806.1
OG0000098	scaffold40.g5165.t1	XP_005845009.1
OG0000098	scaffold40.g5161.t1	XP_005845007.1
OG0000098	scaffold40.g5162.t1	XP_005845008.1
OG0000099	scaffold1.g5569.t1	XP_005851644.1
OG0000103	scaffold2.g7247.t1	XP_005843329.1
OG0000103	scaffold13.g185.t1	XP_005852090.1
OG0000103	scaffold2.g7244.t1	XP_005843330.1
OG0000104	scaffold5.g906.t1	XP_005849872.1
OG0000104	scaffold5.g722.t1	XP_005842593.1, XP_005849873.1
OG0000105	scaffold30.g4439.t1	XP_005843186.1
OG0000105	scaffold5.g963.t1	XP_005849820.1
OG0000106	scaffold9.g3025.t1	XP_005850367.1, XP_005851670.1
OG0000106	scaffold9.g3291.t1, scaffold5.g993.t1, scaffold2.g6870.t1, scaffold10.g2347.t1	XP_005851669.1
OG0000107	scaffold8.g1577.t1	XP_005846407.1, XP_005846805.1, XP_005846663.1, XP_005851056.1, XP_005851835.1, XP_005851649.1, XP_005847773.1, XP_005843545.1, XP_005845169.1
OG0000108	scaffold84.g4561.t1, scaffold7.g3496.t1, scaffold19.g1842.t1, scaffold7.g3714.t1	XP_005851548.1
OG0000109	scaffold3.g6213.t1	XP_005849139.1, XP_005848249.1
OG0000109	scaffold12.g8024.t1, scaffold10.g2292.t1	XP_005848446.1
OG0000110	scaffold10.g2339.t1, scaffold10.g2456.t1	XP_005849575.1
OG0000111	scaffold6.g2756.t1	XP_005850959.1
OG0000112	scaffold7.g3579.t1	XP_005844843.1, XP_005852081.1, XP_005851742.1
OG0000113	scaffold7.g3630.t1	XP_005849180.1
OG0000114	scaffold23.g4091.t1	XP_005846570.1, XP_005846560.1, XP_005842618.1, XP_005846715.1, XP_005846714.1, XP_005846712.1, XP_005847299.1, XP_005846710.1, XP_005850773.1
OG0000115	scaffold30.g4425.t1, scaffold30.g4462.t1, scaffold30.g4452.t1, scaffold30.g4455.t1, scaffold30.g4447.t1, scaffold30.g4463.t1, scaffold30.g4459.t1, scaffold36.g5070.t1	XP_005843471.1
OG0000116	scaffold1.g5676.t1	XP_005847079.1
OG0000116	scaffold20.g7726.t1, scaffold34.g4503.t1	XP_005847078.1
OG0000117	scaffold4.g4954.t1	XP_005847293.1, XP_005850534.1, XP_005847603.1, XP_005847604.1, XP_005850541.1, XP_005850540.1
OG0000118	scaffold22.g6072.t1	XP_005845527.1, XP_005845634.1
OG0000119	scaffold2.g7265.t1, scaffold2.g7266.t1	XP_005845896.1, XP_005848680.1, XP_005848887.1
OG0000122	scaffold16.g42.t1	XP_005847512.1
OG0000123	scaffold3.g6561.t1, scaffold20.g7694.t1, scaffold20.g7696.t1, scaffold10.g2257.t1	XP_005848478.1
OG0000123	scaffold2.g7441.t1, scaffold16.g84.t1, scaffold20.g7695.t1	XP_005845356.1
OG0000124	scaffold4.g4802.t1	XP_005849899.1
OG0000124	scaffold20.g7697.t1, scaffold16.g85.t1, scaffold6.g2677.t1, scaffold6.g2833.t1	XP_005850708.1
OG0000126	scaffold13.g328.t1	XP_005844581.1, XP_005844492.1
OG0000126	scaffold13.g318.t1	XP_005844582.1
OG0000128	scaffold18.g2061.t1	XP_005850276.1, XP_005850277.1
OG0000129	scaffold5.g636.t1	XP_005843441.1
OG0000130	scaffold3.g6559.t1	XP_005845354.1
OG0000130	scaffold5.g852.t1	XP_005845337.1
OG0000130	scaffold14.g1112.t1	XP_005843341.1
OG0000131	scaffold8.g1572.t1	XP_005843863.1
OG0000131	scaffold14.g1153.t1	XP_005847917.1
OG0000131	scaffold8.g1615.t1	XP_005843896.1
OG0000132	scaffold14.g1179.t1	XP_005848934.1
OG0000132	scaffold14.g1278.t1	XP_005848649.1
OG0000133	scaffold14.g1187.t1	XP_005843751.1, XP_005845045.1
OG0000133	scaffold10.g2473.t1	XP_005843750.1, XP_005842853.1
OG0000134	scaffold34.g4506.t1	XP_005846265.1
OG0000136	scaffold21.g2167.t1	XP_005850895.1, XP_005851744.1, XP_005844902.1, XP_005846568.1
OG0000137	scaffold6.g2876.t1	XP_005850908.1
OG0000137	scaffold4.g4994.t1	XP_005850907.1, XP_005850905.1
OG0000138	scaffold4.g4774.t1, scaffold26.g3327.t1, scaffold9.g3026.t1	XP_005851992.1
OG0000139	scaffold1.g5241.t1	XP_005845851.1
OG0000139	scaffold2.g7295.t1	XP_005844667.1
OG0000140	scaffold4.g4950.t1, scaffold7.g3403.t1	XP_005849030.1, XP_005847501.1
OG0000141	scaffold15.g4263.t1	XP_005846641.1
OG0000142	scaffold15.g4372.t1	XP_005844698.1
OG0000142	scaffold15.g4371.t1	XP_005844700.1
OG0000143	scaffold3.g6176.t1, scaffold3.g6216.t1	XP_005846379.1, XP_005846378.1
OG0000144	scaffold2.g7081.t1	XP_005848842.1, XP_005848839.1
OG0000145	scaffold2.g7115.t1	XP_005843258.1
OG0000146	scaffold12.g8213.t1	XP_005843713.1
OG0000154	scaffold1.g5896.t1	XP_005843968.1
OG0000154	scaffold16.g58.t1	XP_005848464.1
OG0000154	scaffold19.g1845.t1	XP_005847962.1
OG0000155	scaffold16.g145.t1	XP_005845824.1
OG0000155	scaffold16.g148.t1	XP_005845721.1
OG0000156	scaffold3.g6665.t1	XP_005844499.1
OG0000156	scaffold7.g3401.t1, scaffold7.g3388.t1	XP_005849021.1
OG0000157	scaffold13.g377.t1	XP_005852165.1
OG0000157	scaffold2.g6784.t1	XP_005846273.1
OG0000158	scaffold17.g436.t1	XP_005843220.1
OG0000158	scaffold21.g2226.t1, scaffold2.g7350.t1	XP_005848092.1
OG0000159	scaffold5.g679.t1	XP_005850374.1, XP_005843784.1
OG0000160	scaffold5.g780.t1	XP_005847284.1
OG0000162	scaffold26.g3367.t1	XP_005845193.1
OG0000162	scaffold3.g6473.t1, scaffold5.g871.t1, scaffold5.g815.t1, scaffold12.g7917.t1	XP_005844819.1
OG0000163	scaffold5.g964.t1	XP_005844501.1
OG0000164	scaffold14.g1193.t1	XP_005850043.1
OG0000165	scaffold14.g1210.t1, scaffold1.g5531.t1	XP_005848480.1, XP_005846435.1
OG0000166	scaffold2.g7162.t1	XP_005851339.1
OG0000166	scaffold14.g1237.t1	XP_005851340.1
OG0000167	scaffold14.g1244.t1	XP_005848904.1
OG0000167	scaffold8.g1370.t1	XP_005850582.1
OG0000168	scaffold8.g1364.t1, scaffold6.g2671.t1, scaffold6.g2691.t1, scaffold6.g2654.t1	XP_005849385.1, XP_005850931.1
OG0000169	scaffold8.g1450.t1	XP_005850835.1
OG0000169	scaffold8.g1447.t1	XP_005848158.1
OG0000170	scaffold1.g5312.t1	XP_005850418.1
OG0000170	scaffold6.g2638.t1	XP_005850849.1
OG0000171	scaffold8.g1600.t1	XP_005849543.1
OG0000171	scaffold3.g6374.t1	XP_005849592.1, XP_005846261.1
OG0000173	scaffold18.g1938.t1	XP_005850080.1
OG0000174	scaffold10.g2283.t1	XP_005843797.1
OG0000174	scaffold7.g3443.t1	XP_005843660.1
OG0000175	scaffold12.g8029.t1, scaffold10.g2306.t1	XP_005845249.1
OG0000176	scaffold6.g2519.t1	XP_005843571.1, XP_005843573.1
OG0000177	scaffold6.g2737.t1	XP_005850944.1
OG0000177	scaffold1.g5545.t1	XP_005845739.1
OG0000178	scaffold7.g3550.t1, scaffold7.g3607.t1	XP_005845882.1
OG0000178	scaffold3.g6247.t1	XP_005846503.1
OG0000179	scaffold7.g3615.t1, scaffold7.g3627.t1	XP_005849390.1
OG0000180	scaffold1.g5177.t1	XP_005845674.1
OG0000180	scaffold7.g3655.t1	XP_005843083.1
OG0000180	scaffold2.g7293.t1	XP_005844809.1
OG0000181	scaffold32.g3814.t1, scaffold1.g5314.t1	XP_005851096.1
OG0000181	scaffold1.g5305.t1	XP_005851386.1
OG0000182	scaffold11.g3860.t1	XP_005852270.1
OG0000182	scaffold42.g4468.t1	XP_005851962.1, XP_005846639.1
OG0000183	scaffold11.g4002.t1	XP_005852232.1
OG0000184	scaffold11.g4072.t1	XP_005845172.1
OG0000185	scaffold23.g4082.t1	XP_005842591.1
OG0000185	scaffold23.g4083.t1	XP_005842909.1, XP_005843980.1, XP_005843981.1, XP_005842893.1, XP_005842898.1
OG0000186	scaffold15.g4354.t1	XP_005848563.1, XP_005844765.1
OG0000187	scaffold30.g4446.t1	XP_005843781.1, XP_005843786.1
OG0000189	scaffold4.g5051.t1	XP_005847529.1, XP_005847528.1
OG0000189	scaffold4.g5053.t1	XP_005847360.1
OG0000190	scaffold3.g6416.t1	XP_005846303.1
OG0000191	scaffold1.g5206.t1, scaffold1.g5286.t1	XP_005851070.1
OG0000191	scaffold1.g5245.t1	XP_005851362.1
OG0000192	scaffold1.g5855.t1, scaffold1.g5266.t1	XP_005852214.1
OG0000193	scaffold1.g5407.t1	XP_005851204.1
OG0000193	scaffold1.g5412.t1	XP_005851495.1
OG0000194	scaffold29.g5966.t1	XP_005842658.1, XP_005845035.1
OG0000195	scaffold20.g7659.t1	XP_005846113.1
OG0000195	scaffold22.g6043.t1	XP_005842965.1
OG0000196	scaffold3.g6577.t1	XP_005849969.1
OG0000196	scaffold2.g6849.t1	XP_005846218.1, XP_005849968.1, XP_005848638.1
OG0000197	scaffold2.g7204.t1	XP_005844737.1
OG0000197	scaffold2.g7206.t1	XP_005844739.1, XP_005844740.1, XP_005844741.1, XP_005844738.1
OG0000198	scaffold2.g7305.t1	XP_005844702.1
OG0000199	scaffold12.g7938.t1, scaffold12.g7937.t1	XP_005847716.1
OG0000207	scaffold16.g32.t1	XP_005846779.1
OG0000208	scaffold12.g8121.t1, scaffold12.g8124.t1, scaffold16.g115.t1, scaffold1.g5564.t1	XP_005847855.1
OG0000209	scaffold2.g6832.t1	XP_005845567.1, XP_005851952.1
OG0000210	scaffold13.g186.t1	XP_005843413.1
OG0000210	scaffold7.g3608.t1	XP_005849054.1
OG0000211	scaffold9.g3206.t1, scaffold11.g3890.t1, scaffold27.g5994.t1, scaffold13.g220.t1, scaffold7.g3683.t1, scaffold23.g4196.t1, scaffold14.g1151.t1, scaffold3.g6621.t1	XP_005844319.1
OG0000213	scaffold13.g400.t1, scaffold10.g2380.t1, scaffold4.g4992.t1	XP_005843408.1
OG0000213	scaffold13.g409.t1	XP_005844537.1
OG0000214	scaffold17.g455.t1	XP_005849170.1, XP_005843805.1, XP_005846238.1
OG0000215	scaffold17.g476.t1	XP_005849867.1, XP_005844945.1
OG0000216	scaffold17.g595.t1	XP_005844964.1, XP_005844854.1
OG0000217	scaffold14.g1146.t1, scaffold5.g708.t1	XP_005848115.1, XP_005852096.1
OG0000218	scaffold21.g2142.t1	XP_005847698.1, XP_005847123.1
OG0000218	scaffold5.g803.t1	XP_005849697.1
OG0000219	scaffold5.g958.t1	XP_005850250.1
OG0000219	scaffold7.g3453.t1	XP_005850662.1
OG0000220	scaffold5.g972.t1	XP_005842750.1
OG0000220	scaffold5.g1004.t1	XP_005849555.1
OG0000221	scaffold4.g4860.t1	XP_005850309.1
OG0000221	scaffold7.g3721.t1	XP_005850310.1
OG0000222	scaffold14.g1084.t1	XP_005848959.1
OG0000222	scaffold14.g1070.t1	XP_005848970.1, XP_005848972.1
OG0000223	scaffold14.g1123.t1	XP_005848706.1
OG0000224	scaffold14.g1137.t1	XP_005844110.1, XP_005844612.1
OG0000225	scaffold14.g1212.t1	XP_005852045.1
OG0000226	scaffold14.g1279.t1	XP_005850746.1, XP_005850748.1
OG0000227	scaffold14.g1315.t1	XP_005848606.1, XP_005848607.1, XP_005848605.1
OG0000228	scaffold14.g1353.t1	XP_005845327.1
OG0000228	scaffold6.g2501.t1	XP_005843606.1
OG0000228	scaffold15.g4256.t1	XP_005843605.1
OG0000229	scaffold3.g6759.t1, scaffold3.g6644.t1	XP_005846573.1
OG0000229	scaffold19.g1837.t1	XP_005847693.1
OG0000230	scaffold2.g7028.t1	XP_005848616.1
OG0000231	scaffold3.g6703.t1, scaffold18.g1973.t1	XP_005847507.1
OG0000232	scaffold18.g2049.t1	XP_005842743.1, XP_005844145.1, XP_005844146.1, XP_005844147.1, XP_005844144.1
OG0000233	scaffold21.g2108.t1, scaffold11.g3937.t1	XP_005843519.1
OG0000234	scaffold21.g2139.t1	XP_005852187.1, XP_005846931.1
OG0000235	scaffold6.g2843.t1, scaffold21.g2199.t1	XP_005850680.1
OG0000235	scaffold29.g5964.t1	XP_005846668.1
OG0000236	scaffold7.g3760.t1	XP_005846210.1
OG0000237	scaffold4.g4845.t1	XP_005850401.1
OG0000238	scaffold76.g4559.t1	XP_005851028.1
OG0000238	scaffold6.g2728.t1	XP_005851024.1
OG0000239	scaffold6.g2740.t1	XP_005850660.1
OG0000240	scaffold6.g2764.t1	XP_005850676.1
OG0000240	scaffold6.g2766.t1	XP_005850677.1
OG0000241	scaffold6.g2821.t1	XP_005850977.1
OG0000241	scaffold20.g7869.t1	XP_005846767.1
OG0000242	scaffold24.g2993.t1	XP_005847498.1, XP_005847499.1, XP_005850613.1
OG0000243	scaffold9.g3145.t1	XP_005842741.1, XP_005844076.1, XP_005849516.1
OG0000244	scaffold1.g5183.t1, scaffold9.g3177.t1	XP_005849474.1
OG0000244	scaffold4.g4579.t1, scaffold11.g4004.t1	XP_005852216.1
OG0000245	scaffold9.g3187.t1	XP_005852044.1
OG0000245	scaffold9.g3189.t1	XP_005852043.1
OG0000246	scaffold9.g3207.t1	XP_005851700.1
OG0000246	scaffold2.g6993.t1	XP_005851699.1
OG0000247	scaffold9.g3274.t1	XP_005851099.1
OG0000248	scaffold1.g5436.t1	XP_005851508.1
OG0000249	scaffold7.g3373.t1	XP_005851057.1
OG0000249	scaffold7.g3375.t1	XP_005849227.1
OG0000250	scaffold7.g3499.t1	XP_005849076.1, XP_005849078.1
OG0000251	scaffold7.g3709.t1	XP_005849049.1, XP_005849253.1
OG0000252	scaffold11.g3839.t1	XP_005851721.1, XP_005843597.1, XP_005851722.1, XP_005843468.1
OG0000253	scaffold11.g3876.t1, scaffold11.g3853.t1, scaffold11.g3847.t1, scaffold11.g3857.t1	XP_005852248.1
OG0000254	scaffold11.g3914.t1	XP_005851829.1
OG0000254	scaffold2.g7376.t1	XP_005843995.1
OG0000255	scaffold11.g3946.t1	XP_005852195.1
OG0000255	scaffold12.g8175.t1	XP_005852190.1
OG0000256	scaffold23.g4177.t1	XP_005848869.1, XP_005848532.1, XP_005846708.1, XP_005849886.1
OG0000257	scaffold4.g4660.t1	XP_005849290.1, XP_005849291.1, XP_005849289.1, XP_005849288.1, XP_005849292.1
OG0000258	scaffold4.g4760.t1	XP_005849447.1
OG0000259	scaffold1.g5203.t1	XP_005851072.1
OG0000259	scaffold1.g5204.t1	XP_005851370.1
OG0000260	scaffold1.g5228.t1, scaffold3.g6685.t1, scaffold1.g5316.t1	XP_005851396.1
OG0000261	scaffold1.g5471.t1	XP_005851231.1
OG0000261	scaffold1.g5467.t1, scaffold1.g5468.t1	XP_005851227.1
OG0000262	scaffold1.g5623.t1	XP_005845162.1, XP_005849024.1, XP_005849026.1, XP_005849027.1, XP_005849025.1
OG0000263	scaffold1.g5651.t1	XP_005847949.1, XP_005848875.1, XP_005847948.1, XP_005846788.1, XP_005850829.1
OG0000264	scaffold3.g6297.t1	XP_005846309.1
OG0000265	scaffold3.g6576.t1	XP_005846215.1
OG0000265	scaffold28.g7591.t1	XP_005845352.1
OG0000266	scaffold3.g6616.t1	XP_005842980.1, XP_005842979.1
OG0000266	scaffold2.g7278.t1	XP_005849525.1
OG0000267	scaffold2.g7504.t1	XP_005847826.1
OG0000268	scaffold3.g6668.t1	XP_005849324.1
OG0000269	scaffold2.g7090.t1	XP_005845114.1, XP_005848767.1
OG0000270	scaffold2.g7276.t1	XP_005843320.1, XP_005843241.1, XP_005843319.1
OG0000271	scaffold2.g7320.t1	XP_005844729.1, XP_005847947.1, XP_005850718.1
OG0000272	scaffold20.g7704.t1	XP_005847104.1, XP_005847105.1
OG0000273	scaffold20.g7874.t1	XP_005844365.1
OG0000274	scaffold12.g8000.t1	XP_005847619.1
OG0000274	scaffold12.g7991.t1	XP_005847618.1
OG0000275	scaffold12.g8171.t1	XP_005843145.1
OG0000284	scaffold16.g27.t1	XP_005846790.1
OG0000285	scaffold1.g5584.t1	XP_005848091.1
OG0000285	scaffold16.g88.t1	XP_005851774.1
OG0000286	scaffold14.g1098.t1, scaffold13.g218.t1, scaffold13.g217.t1	XP_005845807.1
OG0000287	scaffold13.g286.t1	XP_005843861.1
OG0000288	scaffold5.g629.t1	XP_005843796.1
OG0000288	scaffold13.g310.t1	XP_005844481.1
OG0000290	scaffold13.g407.t1	XP_005844542.1, XP_005844538.1
OG0000291	scaffold17.g432.t1, scaffold28.g7544.t1	XP_005847131.1, XP_005848481.1
OG0000292	scaffold10.g2479.t1	XP_005846213.1
OG0000292	scaffold17.g458.t1	XP_005843263.1
OG0000293	scaffold17.g461.t1	XP_005843301.1
OG0000295	scaffold6.g2550.t1, scaffold17.g517.t1	XP_005851446.1
OG0000296	scaffold17.g548.t1	XP_005844976.1
OG0000296	scaffold17.g546.t1	XP_005844978.1
OG0000297	scaffold5.g618.t1	XP_005846561.1
OG0000297	scaffold1.g5795.t1	XP_005846562.1
OG0000298	scaffold5.g642.t1	XP_005845313.1
