Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_sorokiniana_genome_proteins
OG0000010	PSC71318.1	PRW59695.1
OG0000010	PSC68096.1, PSC75343.1	PRW56397.1
OG0000010	PSC73416.1, PSC75050.1, PSC68081.1	PRW45268.1, PRW45267.1
OG0000011	PSC67610.1, PSC73305.1, PSC73306.1	PRW44256.1, PRW58506.1
OG0000014	PSC75847.1	PRW45725.1
OG0000015	PSC67771.1	PRW45638.1
OG0000015	PSC73546.1	PRW33966.1
OG0000015	PSC73768.1	PRW57245.1, PRW33664.1, PRW59527.1, PRW58153.1, PRW57045.1
OG0000016	PSC67495.1	PRW05921.1, PRW05902.1, PRW05910.1
OG0000019	PSC74002.1	PRW44257.1
OG0000019	PSC75324.1	PRW50812.1
OG0000020	PSC73204.1, PSC67560.1	PRW56662.1, PRW45161.1, PRW58101.1, PRW57589.1, PRW58358.1, PRW39187.1
OG0000020	PSC77018.1	PRW21076.1, PRW60147.1, PRW56827.1, PRW33756.1, PRW59495.1, PRW60463.1, PRW60340.1, PRW60239.1, PRW20904.1, PRW20905.1, PRW60632.1, PRW56127.1, PRW59997.1, PRW45512.1
OG0000021	PSC70082.1	PRW33522.1
OG0000021	PSC68117.1	PRW39362.1
OG0000021	PSC71778.1	PRW21126.1
OG0000022	PSC71672.1	PRW21073.1
OG0000023	PSC69133.1, PSC69134.1, PSC69132.1, PSC72580.1	PRW45379.1, PRW45644.1
OG0000023	PSC69137.1	PRW55998.1
OG0000024	PSC70833.1, PSC75388.1, PSC71860.1, PSC75505.1	PRW58888.1
OG0000024	PSC75755.1	PRW21009.1, PRW20986.1, PRW21137.1, PRW21050.1, PRW20972.1, PRW20977.1, PRW45511.1
OG0000024	PSC77010.1	PRW32643.1
OG0000025	PSC74046.1	PRW61474.1
OG0000025	PSC76169.1	PRW58220.1
OG0000025	PSC74912.1, PSC76673.1	PRW33672.1
OG0000026	PSC74150.1, PSC74018.1, PSC74345.1, PSC67255.1, PSC75510.1, PSC76854.1	PRW45604.1, PRW45530.1, PRW57488.1, PRW45427.1, PRW45707.1, PRW56577.1, PRW56392.1, PRW45737.1, PRW21008.1
OG0000028	PSC74578.1, PSC70817.1, PSC70319.1	PRW57555.1
OG0000029	PSC69773.1	PRW50752.1
OG0000031	PSC75445.1	PRW58127.1
OG0000031	PSC70423.1	PRW20327.1, PRW20328.1, PRW61549.1, PRW44907.1, PRW44910.1, PRW45179.1
OG0000031	PSC74731.1	PRW20326.1
OG0000031	PSC75952.1	PRW51017.1, PRW51016.1, PRW51015.1
OG0000032	PSC70122.1	PRW33634.1, PRW56132.1, PRW33982.1, PRW58089.1, PRW45185.1, PRW58293.1, PRW57219.1, PRW57115.1
OG0000032	PSC69855.1	PRW44420.1
OG0000033	PSC73989.1	PRW60879.1
OG0000033	PSC74088.1	PRW61198.1, PRW61339.1
OG0000034	PSC75203.1	PRW56247.1
OG0000034	PSC69079.1	PRW56123.1
OG0000034	PSC73918.1	PRW58679.1, PRW33721.1
OG0000035	PSC69555.1	PRW45736.1
OG0000035	PSC67144.1, PSC74771.1, PSC74773.1, PSC70368.1	PRW58414.1, PRW58712.1
OG0000037	PSC67392.1, PSC67024.1, PSC71028.1	PRW60763.1, PRW58370.1, PRW32855.1, PRW32856.1, PRW32837.1, PRW33070.1, PRW60633.1
OG0000038	PSC71479.1	PRW55946.1
OG0000038	PSC73088.1	PRW59662.1, PRW60004.1
OG0000038	PSC74020.1	PRW32927.1
OG0000040	PSC68793.1	PRW20764.1
OG0000041	PSC76689.1	PRW57373.1, PRW59763.1, PRW32946.1
OG0000041	PSC70148.1	PRW56085.1, PRW57256.1, PRW57466.1, PRW59858.1, PRW58322.1, PRW58189.1, PRW44441.1, PRW20716.1, PRW33960.1, PRW33961.1, PRW33854.1, PRW33843.1, PRW33771.1, PRW34070.1
OG0000044	PSC72584.1, PSC72525.1, PSC72526.1	PRW56763.1
OG0000045	PSC67991.1	PRW20580.1
OG0000045	PSC67952.1, PSC71916.1, PSC67962.1	PRW20481.1, PRW20571.1
OG0000046	PSC75248.1, PSC70303.1, PSC74261.1	PRW39252.1, PRW57942.1, PRW39310.1, PRW57548.1
OG0000049	PSC69102.1	PRW57986.1
OG0000049	PSC69089.1, PSC69181.1, PSC69129.1	PRW57724.1, PRW57916.1
OG0000051	PSC75643.1	PRW58244.1
OG0000051	PSC70406.1, PSC70405.1	PRW45026.1
OG0000052	PSC74551.1, PSC73613.1	PRW58009.1
OG0000052	PSC74792.1	PRW61437.1
OG0000053	PSC76825.1	PRW32665.1
OG0000054	PSC73287.1	PRW61460.1
OG0000054	PSC70561.1	PRW45171.1
OG0000054	PSC73222.1, PSC73302.1	PRW58418.1, PRW61424.1, PRW60899.1
OG0000055	PSC69400.1	PRW60703.1, PRW60808.1
OG0000055	PSC69377.1, PSC69376.1	PRW60778.1
OG0000055	PSC68161.1	PRW58352.1
OG0000056	PSC76396.1	PRW59185.1, PRW59186.1
OG0000056	PSC72948.1, PSC73066.1	PRW32982.1
OG0000057	PSC69656.1	PRW56437.1
OG0000057	PSC72637.1	PRW59693.1, PRW55899.1
OG0000058	PSC75293.1	PRW59456.1
OG0000059	PSC74182.1	PRW20365.1
OG0000059	PSC74049.1	PRW61311.1
OG0000060	PSC76970.1	PRW33027.1, PRW32920.1
OG0000060	PSC70063.1	PRW33684.1, PRW33683.1, PRW33686.1, PRW33685.1
OG0000061	PSC71155.1	PRW56960.1
OG0000061	PSC73672.1, PSC73671.1	PRW51027.1
OG0000061	PSC74930.1	PRW50777.1, PRW60233.1, PRW60372.1
OG0000062	PSC76977.1	PRW20949.1, PRW20948.1
OG0000062	PSC67774.1	PRW05920.1
OG0000063	PSC73067.1	PRW58069.1, PRW58070.1
OG0000063	PSC73178.1, PSC73177.1	PRW57845.1
OG0000063	PSC75904.1	PRW44238.1
OG0000064	PSC72115.1	PRW57163.1
OG0000064	PSC74270.1	PRW61338.1
OG0000064	PSC70134.1	PRW20516.1, PRW20517.1, PRW20515.1
OG0000066	PSC74727.1	PRW21122.1
OG0000068	PSC74192.1	PRW61055.1
OG0000068	PSC69541.1	PRW60626.1
OG0000069	PSC68595.1, PSC67333.1	PRW60649.1
OG0000069	PSC68970.1, PSC71822.1, PSC68623.1, PSC68142.1, PSC68650.1	PRW32903.1
OG0000070	PSC72569.1	PRW60692.1
OG0000071	PSC69999.1, PSC70098.1	PRW33563.1, PRW33647.1, PRW33318.1
OG0000072	PSC75638.1	PRW50814.1
OG0000074	PSC67849.1	PRW58909.1
OG0000076	PSC75438.1	PRW56243.1
OG0000076	PSC69356.1, PSC69403.1	PRW45688.1, PRW45623.1, PRW45411.1
OG0000077	PSC67450.1, PSC74536.1	PRW34034.1
OG0000078	PSC71311.1, PSC69995.1	PRW60156.1, PRW59318.1
OG0000078	PSC74397.1, PSC74692.1	PRW20340.1
OG0000079	PSC74164.1	PRW60776.1
OG0000079	PSC76210.1	PRW20382.1
OG0000080	PSC67706.1, PSC74592.1, PSC67708.1, PSC74591.1	PRW20711.1
OG0000082	PSC72942.1, PSC76120.1, PSC67546.1, PSC75431.1, PSC72953.1, PSC72954.1, PSC76992.1, PSC67114.1, PSC68936.1	PRW32675.1
OG0000083	PSC71369.1, PSC75545.1, PSC71320.1	PRW44448.1
OG0000084	PSC76241.1	PRW60725.1
OG0000085	PSC73340.1	PRW61482.1
OG0000086	PSC72751.1, PSC72752.1	PRW55890.1
OG0000086	PSC74385.1, PSC74384.1	PRW20409.1, PRW20329.1
OG0000088	PSC77048.1	PRW58939.1
OG0000088	PSC74206.1	PRW61361.1
OG0000089	PSC69471.1, PSC69470.1	PRW57105.1, PRW57106.1
OG0000089	PSC69503.1	PRW57374.1
OG0000090	PSC72449.1, PSC72450.1	PRW56509.1
OG0000090	PSC71636.1	PRW56613.1
OG0000091	PSC72440.1, PSC72437.1	PRW59331.1
OG0000092	PSC75034.1	PRW60803.1
OG0000092	PSC67689.1	PRW57248.1
OG0000092	PSC74817.1	PRW56102.1
OG0000093	PSC75060.1	PRW57063.1
OG0000093	PSC68159.1	PRW60425.1
OG0000094	PSC73251.1	PRW61610.1, PRW61273.1, PRW61126.1, PRW61125.1
OG0000095	PSC70480.1	PRW60687.1
OG0000095	PSC70677.1, PSC68686.1, PSC74289.1	PRW21013.1
OG0000095	PSC72921.1	PRW56263.1
OG0000096	PSC67116.1	PRW60806.1
OG0000096	PSC67092.1, PSC67064.1, PSC67061.1, PSC67145.1, PSC67883.1, PSC67062.1	PRW57760.1
OG0000097	PSC73408.1, PSC73407.1	PRW39133.1, PRW39132.1, PRW39134.1
OG0000098	PSC69049.1	PRW56328.1
OG0000098	PSC76028.1	PRW58429.1
OG0000098	PSC73928.1	PRW45741.1
OG0000099	PSC67206.1, PSC68470.1	PRW20238.1, PRW58264.1, PRW58878.1, PRW56142.1, PRW57932.1, PRW34090.1
OG0000100	PSC69142.1	PRW33767.1
OG0000101	PSC67419.1	PRW59599.1, PRW59973.1, PRW60229.1, PRW60749.1, PRW60111.1, PRW56724.1, PRW56479.1, PRW58085.1, PRW58723.1, PRW56665.1, PRW56812.1, PRW59859.1
OG0000102	PSC72393.1, PSC75580.1	PRW56888.1
OG0000103	PSC76330.1	PRW58819.1
OG0000103	PSC76060.1, PSC67084.1	PRW59001.1
OG0000104	PSC75756.1	PRW59159.1
OG0000104	PSC77050.1	PRW51136.1
OG0000105	PSC76477.1	PRW60906.1
OG0000105	PSC75001.1	PRW60303.1
OG0000106	PSC71229.1, PSC71228.1	PRW59499.1
OG0000107	PSC68490.1	PRW60486.1
OG0000107	PSC73564.1, PSC73563.1, PSC73565.1	PRW58172.1, PRW58278.1
OG0000108	PSC72236.1	PRW57000.1
OG0000108	PSC73949.1	PRW58100.1
OG0000109	PSC73322.1	PRW39079.1
OG0000110	PSC73115.1	PRW58034.1
OG0000111	PSC75839.1	PRW57471.1
OG0000111	PSC72308.1, PSC72306.1, PSC72304.1, PSC72307.1, PSC72305.1	PRW58695.1
OG0000111	PSC72099.1	PRW44583.1
OG0000112	PSC72871.1, PSC72872.1	PRW56081.1, PRW56311.1, PRW56194.1, PRW56174.1, PRW56155.1, PRW55939.1, PRW56289.1, PRW56254.1, PRW56253.1
OG0000113	PSC76549.1	PRW20418.1
OG0000114	PSC73138.1	PRW57614.1
OG0000114	PSC67227.1, PSC67216.1	PRW57579.1
OG0000114	PSC76488.1, PSC73010.1	PRW32490.1
OG0000115	PSC68818.1	PRW20690.1
OG0000116	PSC74829.1	PRW20573.1
OG0000117	PSC75653.1	PRW58844.1
OG0000118	PSC72059.1	PRW56905.1, PRW56904.1
OG0000119	PSC69898.1	PRW44454.1, PRW44455.1
OG0000119	PSC69015.1	PRW56212.1
OG0000120	PSC75846.1	PRW32517.1
OG0000120	PSC76669.1	PRW32650.1, PRW32651.1
OG0000121	PSC71142.1, PSC77040.1	PRW57457.1
OG0000122	PSC69988.1, PSC70112.1	PRW50851.1, PRW50916.1, PRW50880.1, PRW33699.1, PRW33593.1
OG0000123	PSC68507.1	PRW39083.1, PRW39190.1, PRW60471.1
OG0000125	PSC69373.1	PRW56450.1, PRW33559.1, PRW33525.1
OG0000126	PSC76861.1	PRW60132.1
OG0000127	PSC68810.1	PRW59338.1
OG0000127	PSC72762.1	PRW55972.1
OG0000128	PSC77051.1, PSC76728.1, PSC77041.1	PRW61375.1
OG0000128	PSC76273.1, PSC67637.1	PRW59917.1, PRW59916.1
OG0000129	PSC69980.1, PSC70105.1	PRW20466.1
OG0000129	PSC70072.1	PRW20465.1
OG0000131	PSC72458.1, PSC72459.1	PRW56460.1
OG0000131	PSC70419.1	PRW57978.1
OG0000132	PSC67909.1, PSC67930.1, PSC67928.1, PSC67929.1	PRW59020.1, PRW59019.1
OG0000133	PSC76405.1	PRW59544.1
OG0000133	PSC76014.1	PRW59907.1
OG0000134	PSC69559.1	PRW58503.1, PRW57515.1
OG0000134	PSC74415.1	PRW20642.1
OG0000135	PSC75942.1, PSC75940.1, PSC75941.1	PRW51140.1
OG0000135	PSC75647.1	PRW50981.1
OG0000136	PSC73336.1, PSC67257.1	PRW39377.1
OG0000137	PSC75681.1	PRW50926.1
OG0000137	PSC76725.1	PRW60034.1, PRW60033.1
OG0000138	PSC68763.1, PSC74414.1	PRW32529.1, PRW58283.1, PRW34022.1, PRW56319.1, PRW33979.1, PRW20263.1, PRW05894.1, PRW20742.1
OG0000139	PSC71461.1	PRW56206.1
OG0000139	PSC69950.1	PRW55911.1, PRW44508.1
OG0000140	PSC75107.1, PSC75144.1, PSC74923.1, PSC75222.1, PSC74950.1, PSC75009.1, PSC75108.1	PRW60820.1
OG0000141	PSC74920.1	PRW58584.1
OG0000141	PSC71738.1	PRW21118.1, PRW21117.1
OG0000142	PSC67423.1, PSC67422.1	PRW34062.1
OG0000142	PSC69973.1	PRW44472.1, PRW44474.1, PRW44473.1, PRW44462.1
OG0000143	PSC70320.1	PRW45172.1, PRW45156.1
OG0000144	PSC71674.1	PRW20982.1
OG0000144	PSC71833.1, PSC71834.1	PRW20983.1
OG0000145	PSC69661.1	PRW59977.1
OG0000145	PSC69662.1	PRW59690.1, PRW60031.1
OG0000146	PSC75532.1, PSC69160.1	PRW39313.1, PRW39314.1, PRW39312.1
OG0000146	PSC68073.1	PRW57508.1
OG0000147	PSC75434.1, PSC75294.1	PRW51019.1
OG0000147	PSC67215.1	PRW05945.1
OG0000148	PSC74681.1, PSC74682.1, PSC74680.1, PSC74683.1, PSC74679.1, PSC68318.1, PSC68319.1, PSC72814.1, PSC72815.1	PRW20355.1
OG0000149	PSC70644.1	PRW20519.1, PRW60994.1
OG0000151	PSC69914.1, PSC69901.1, PSC69900.1, PSC69906.1	PRW39308.1, PRW21119.1
OG0000152	PSC68857.1	PRW57808.1
OG0000152	PSC69450.1	PRW44466.1, PRW57335.1
OG0000153	PSC76086.1	PRW59345.1
OG0000153	PSC74833.1, PSC75114.1, PSC69766.1, PSC75134.1	PRW59245.1, PRW59428.1
OG0000155	PSC69513.1	PRW20938.1
OG0000156	PSC75196.1	PRW33580.1, PRW33579.1
OG0000157	PSC67446.1	PRW33753.1
OG0000158	PSC70545.1	PRW60881.1
OG0000158	PSC73132.1	PRW57782.1
OG0000158	PSC69369.1	PRW60667.1
OG0000159	PSC73437.1	PRW39250.1, PRW33218.1
OG0000160	PSC67919.1	PRW59366.1
OG0000160	PSC67887.1	PRW59146.1, PRW59084.1
OG0000161	PSC70881.1	PRW44544.1
OG0000163	PSC73614.1	PRW45341.1
OG0000166	PSC77072.1	PRW50829.1, PRW59179.1, PRW56125.1, PRW33146.1, PRW57225.1
OG0000167	PSC68684.1	PRW58560.1, PRW58559.1
OG0000168	PSC71615.1	PRW56057.1
OG0000168	PSC75488.1	PRW50795.1, PRW50796.1
OG0000169	PSC71505.1	PRW56011.1, PRW56010.1
OG0000170	PSC75500.1	PRW50918.1
OG0000171	PSC69717.1	PRW60680.1
OG0000171	PSC69729.1, PSC72851.1, PSC72663.1	PRW56299.1
OG0000172	PSC76686.1, PSC76571.1, PSC71303.1	PRW59395.1, PRW59396.1
OG0000173	PSC74965.1	PRW60592.1
OG0000174	PSC72567.1	PRW56533.1, PRW56651.1, PRW56650.1, PRW56505.1, PRW33761.1, PRW56729.1, PRW44345.1, PRW56598.1
OG0000176	PSC76560.1, PSC68075.1	PRW56677.1
OG0000176	PSC71929.1	PRW39317.1
OG0000177	PSC74216.1, PSC74217.1	PRW61082.1, PRW61079.1, PRW61080.1, PRW61081.1
OG0000178	PSC71456.1	PRW56188.1
OG0000179	PSC68357.1	PRW59953.1
OG0000180	PSC72982.1	PRW58855.1, PRW57682.1
OG0000180	PSC73020.1	PRW57741.1, PRW57747.1
OG0000181	PSC74063.1	PRW21103.1
OG0000181	PSC71668.1	PRW21102.1
OG0000182	PSC75614.1	PRW58578.1
OG0000183	PSC69370.1	PRW45326.1
OG0000183	PSC68522.1, PSC68521.1	PRW60672.1
OG0000184	PSC74033.1, PSC74032.1	PRW60584.1, PRW60368.1, PRW60754.1, PRW60738.1
OG0000185	PSC73896.1, PSC73895.1	PRW45618.1, PRW45478.1, PRW45477.1, PRW45476.1, PRW45447.1, PRW45448.1
OG0000186	PSC67218.1	PRW20689.1, PRW20688.1
OG0000187	PSC71710.1, PSC71716.1	PRW45212.1
OG0000188	PSC67905.1, PSC67941.1, PSC67940.1	PRW58738.1, PRW58739.1, PRW58740.1
OG0000190	PSC69877.1	PRW44270.1
OG0000190	PSC69947.1	PRW44237.1
OG0000191	PSC68341.1	PRW59477.1
OG0000191	PSC76413.1, PSC76414.1	PRW59958.1
OG0000192	PSC75468.1, PSC75916.1	PRW58096.1, PRW58097.1
OG0000193	PSC70742.1, PSC73805.1	PRW20241.1
OG0000194	PSC67054.1, PSC74899.1, PSC68898.1, PSC68833.1	PRW58084.1, PRW58083.1
OG0000195	PSC68190.1	PRW57706.1, PRW45471.1
OG0000195	PSC67328.1, PSC68198.1, PSC67100.1	PRW45722.1
OG0000196	PSC71065.1	PRW59751.1
OG0000196	PSC71746.1	PRW21043.1
OG0000197	PSC74986.1, PSC71152.1	PRW59620.1
OG0000198	PSC71711.1, PSC71712.1	PRW21078.1, PRW21007.1
OG0000199	PSC71844.1, PSC71791.1	PRW44397.1, PRW44493.1
OG0000199	PSC71742.1, PSC71743.1	PRW21121.1
OG0000200	PSC73655.1	PRW58056.1, PRW58055.1
OG0000200	PSC73814.1	PRW57823.1
OG0000201	PSC69025.1	PRW45639.1
OG0000202	PSC72617.1, PSC72616.1, PSC68626.1	PRW57985.1
OG0000203	PSC76758.1	PRW60973.1
OG0000205	PSC69349.1	PRW45536.1
OG0000205	PSC68123.1	PRW60722.1
OG0000206	PSC70253.1	PRW56280.1, PRW33790.1
OG0000207	PSC72441.1	PRW45226.1
OG0000208	PSC76213.1, PSC76214.1	PRW33873.1
OG0000210	PSC72141.1	PRW44319.1
OG0000211	PSC70219.1	PRW20576.1
OG0000212	PSC70508.1	PRW61447.1
OG0000212	PSC69306.1	PRW61276.1, PRW60898.1
OG0000213	PSC69263.1	PRW33231.1, PRW33232.1
OG0000214	PSC68805.1	PRW33243.1, PRW33242.1
OG0000214	PSC68743.1, PSC68744.1	PRW33254.1
OG0000216	PSC73806.1	PRW58831.1
OG0000216	PSC72101.1	PRW57353.1
OG0000217	PSC70149.1, PSC70151.1, PSC70150.1	PRW60052.1
OG0000217	PSC70910.1, PSC70904.1	PRW39340.1
OG0000218	PSC68007.1	PRW59440.1, PRW59441.1, PRW59439.1
OG0000219	PSC76471.1, PSC76470.1	PRW32591.1
OG0000220	PSC75773.1	PRW51168.1, PRW51183.1
OG0000221	PSC77055.1	PRW50905.1, PRW50904.1
OG0000222	PSC68245.1	PRW20187.1
OG0000222	PSC69220.1	PRW33807.1
OG0000222	PSC69231.1	PRW45031.1
OG0000223	PSC68463.1	PRW60358.1, PRW60544.1, PRW60545.1, PRW56445.1
OG0000224	PSC69070.1, PSC69019.1, PSC69018.1	PRW20912.1, PRW56041.1
OG0000225	PSC73789.1	PRW50790.1, PRW50788.1, PRW50789.1, PRW50787.1
OG0000226	PSC70498.1	PRW61590.1
OG0000227	PSC69835.1	PRW56674.1
OG0000228	PSC69799.1	PRW56510.1, PRW56468.1, PRW56431.1
OG0000229	PSC73963.1, PSC73962.1, PSC74321.1, PSC73995.1	PRW61209.1, PRW60209.1, PRW60391.1
OG0000231	PSC70116.1, PSC70115.1, PSC72048.1, PSC73584.1	PRW58025.1, PRW58026.1, PRW58027.1
OG0000232	PSC72121.1	PRW57337.1
OG0000233	PSC68979.1, PSC68980.1	PRW45437.1
OG0000234	PSC67644.1	PRW39384.1
OG0000234	PSC67662.1	PRW45398.1
OG0000235	PSC68122.1, PSC68110.1	PRW56757.1, PRW56581.1
OG0000236	PSC69009.1, PSC69042.1	PRW56146.1, PRW56145.1
OG0000237	PSC71564.1	PRW56224.1
OG0000237	PSC71653.1, PSC71652.1	PRW55937.1
OG0000238	PSC72912.1	PRW56168.1
OG0000238	PSC72903.1	PRW56076.1
OG0000239	PSC72657.1, PSC72655.1, PSC72656.1	PRW56028.1, PRW56027.1
OG0000240	PSC71581.1	PRW56275.1, PRW33206.1
OG0000241	PSC74883.1	PRW60348.1
OG0000242	PSC76929.1	PRW58882.1
OG0000243	PSC68436.1, PSC68437.1, PSC68460.1, PSC68459.1	PRW60822.1
OG0000244	PSC67045.1, PSC67149.1, PSC67041.1, PSC68685.1, PSC67091.1	PRW60812.1
OG0000246	PSC74244.1, PSC74242.1, PSC74243.1	PRW60786.1
OG0000247	PSC67108.1	PRW45509.1
OG0000247	PSC67431.1	PRW33780.1
OG0000248	PSC76246.1	PRW33893.1
OG0000249	PSC76882.1, PSC76883.1, PSC76884.1	PRW33864.1
OG0000250	PSC67938.1, PSC67937.1, PSC67939.1	PRW20671.1
OG0000251	PSC74123.1	PRW60746.1
OG0000251	PSC68557.1	PRW60243.1
OG0000252	PSC71338.1	PRW32994.1
OG0000252	PSC67553.1	PRW60345.1
OG0000253	PSC67564.1	PRW05778.1
OG0000253	PSC67566.1	PRW60553.1, PRW60552.1, PRW60551.1
OG0000254	PSC70948.1	PRW44952.1
OG0000255	PSC74779.1	PRW58669.1, PRW58934.1
OG0000256	PSC73719.1	PRW57231.1
OG0000256	PSC73097.1	PRW33056.1
OG0000257	PSC68585.1	PRW58240.1, PRW58239.1
OG0000258	PSC69734.1, PSC67080.1, PSC67075.1	PRW58184.1
OG0000259	PSC68291.1, PSC68257.1	PRW58356.1
OG0000261	PSC68998.1, PSC69065.1	PRW56331.1
OG0000262	PSC68335.1	PRW60062.1
OG0000262	PSC68343.1, PSC68342.1	PRW59548.1
OG0000264	PSC76181.1	PRW32866.1, PRW32867.1
OG0000265	PSC70176.1	PRW33786.1
OG0000265	PSC70290.1	PRW34010.1, PRW45349.1
OG0000266	PSC73194.1	PRW57674.1
OG0000266	PSC76511.1	PRW59875.1
OG0000267	PSC69730.1	PRW32538.1
OG0000267	PSC75563.1	PRW51131.1
OG0000268	PSC76598.1, PSC76597.1, PSC76596.1	PRW32937.1, PRW32935.1, PRW32936.1
OG0000269	PSC71694.1	PRW21130.1
OG0000269	PSC72678.1	PRW56012.1
OG0000270	PSC72330.1	PRW56922.1
OG0000270	PSC72142.1, PSC72150.1	PRW57240.1
OG0000271	PSC71382.1	PRW18346.1
OG0000272	PSC74405.1	PRW57821.1
OG0000272	PSC74406.1, PSC74404.1	PRW57749.1
OG0000273	PSC74705.1	PRW61242.1
OG0000273	PSC74706.1	PRW61349.1, PRW61348.1, PRW61350.1
OG0000274	PSC75789.1, PSC71195.1, PSC69258.1, PSC69259.1, PSC74819.1, PSC73258.1	PRW56979.1, PRW57158.1, PRW20353.1, PRW51065.1, PRW51170.1
OG0000275	PSC74607.1	PRW56784.1, PRW56448.1, PRW56672.1, PRW58996.1, PRW32595.1, PRW34082.1, PRW60451.1, PRW51076.1, PRW58314.1
OG0000276	PSC75341.1, PSC76902.1	PRW33233.1
OG0000278	PSC67516.1	PRW61347.1, PRW45158.1
OG0000278	PSC67540.1	PRW44860.1, PRW61533.1
OG0000279	PSC73449.1	PRW61457.1
OG0000280	PSC73160.1, PSC70016.1, PSC70017.1, PSC70079.1, PSC70030.1, PSC70036.1, PSC70035.1	PRW57824.1
OG0000281	PSC70518.1, PSC70519.1, PSC75466.1, PSC71964.1, PSC70849.1	PRW59940.1
OG0000282	PSC74283.1	PRW60393.1
OG0000282	PSC71772.1	PRW60571.1, PRW60718.1
OG0000285	PSC72581.1	PRW45748.1
OG0000285	PSC72366.1	PRW45747.1, PRW45749.1
OG0000286	PSC73164.1, PSC68688.1, PSC68687.1	PRW61045.1
OG0000287	PSC68221.1, PSC68222.1	PRW45673.1
OG0000288	PSC74438.1	PRW20683.1
OG0000290	PSC70293.1	PRW20479.1, PRW20513.1, PRW20512.1
OG0000291	PSC70325.1, PSC70323.1, PSC70324.1	PRW57010.1
OG0000292	PSC69213.1	PRW33093.1
OG0000292	PSC67652.1	PRW39337.1
OG0000293	PSC67312.1, PSC69236.1	PRW33326.1
OG0000294	PSC73875.1	PRW59538.1
OG0000294	PSC72267.1	PRW55903.1, PRW57162.1
OG0000295	PSC70083.1, PSC68856.1	PRW58532.1
OG0000296	PSC71393.1, PSC71392.1	PRW33190.1, PRW33197.1
OG0000297	PSC76288.1	PRW32504.1
OG0000297	PSC76812.1	PRW32505.1, PRW32508.1
OG0000298	PSC67437.1	PRW33260.1
OG0000299	PSC73422.1, PSC73423.1	PRW58854.1
OG0000299	PSC69826.1	PRW56455.1
OG0000300	PSC72439.1	PRW56722.1
OG0000301	PSC76895.1, PSC76893.1, PSC76894.1	PRW58788.1, PRW58790.1, PRW58789.1
OG0000302	PSC73677.1	PRW58966.1
OG0000302	PSC74157.1, PSC74156.1	PRW58967.1
OG0000303	PSC71707.1	PRW21082.1
OG0000304	PSC73388.1	PRW61536.1
OG0000304	PSC73389.1	PRW61227.1
OG0000305	PSC68356.1	PRW60160.1
OG0000305	PSC75295.1	PRW59319.1
OG0000306	PSC75490.1	PRW50817.1, PRW50818.1
OG0000307	PSC75266.1	PRW50971.1
OG0000307	PSC75632.1	PRW50828.1
OG0000308	PSC75972.1, PSC75973.1	PRW51144.1
OG0000308	PSC76677.1	PRW51128.1
OG0000309	PSC75355.1	PRW51002.1
OG0000309	PSC75461.1	PRW51165.1
OG0000311	PSC71632.1	PRW56116.1, PRW56117.1
OG0000312	PSC75715.1	PRW50804.1
