Orthogroup	oneline_m_conductrix_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0000016	PSC67495.1	KAI3427391.1, KAI3427390.1, KAI3427396.1, KAI3427395.1, KAI3427407.1, KAI3427387.1, KAI3427377.1, KAI3427414.1, KAI3427413.1, KAI3427438.1, KAI3427418.1, KAI3427420.1, KAI3427404.1, KAI3427402.1, KAI3427409.1, KAI3427405.1, KAI3427406.1, KAI3427403.1, KAI3427399.1, KAI3427398.1, KAI3427400.1, KAI3427378.1, KAI3427386.1, KAI3427385.1, KAI3427416.1, KAI3427424.1, KAI3427388.1, KAI3427408.1
OG0000019	PSC74002.1	KAI3424157.1
OG0000019	PSC75324.1	KAI3427076.1
OG0000020	PSC77018.1	KAI3433853.1, KAI3433943.1
OG0000021	PSC70082.1	KAI3425130.1
OG0000021	PSC71778.1	KAI3430778.1
OG0000021	PSC68562.1	KAI3429892.1
OG0000022	PSC71672.1	KAI3430771.1
OG0000023	PSC76211.1	KAI3433657.1
OG0000023	PSC71709.1, PSC71250.1	KAI3437670.1
OG0000023	PSC69133.1, PSC69134.1, PSC69132.1, PSC72580.1	KAI3424143.1
OG0000023	PSC68456.1	KAI3427434.1
OG0000024	PSC70833.1, PSC75388.1, PSC71860.1, PSC75505.1, PSC75755.1, PSC77010.1	KAI3423982.1
OG0000025	PSC74046.1	KAI3424239.1
OG0000025	PSC76169.1	KAI3433312.1
OG0000025	PSC74912.1, PSC76673.1	KAI3425251.1
OG0000026	PSC68631.1	KAI3424943.1
OG0000026	PSC74150.1, PSC74018.1, PSC74345.1, PSC67255.1, PSC75510.1	KAI3428261.1, KAI3428260.1
OG0000028	PSC74578.1	KAI3434613.1
OG0000028	PSC70817.1, PSC70319.1	KAI3436464.1, KAI3426877.1, KAI3436439.1, KAI3436496.1, KAI3436821.1, KAI3436443.1, KAI3434665.1, KAI3434659.1, KAI3434621.1, KAI3434653.1, KAI3434629.1, KAI3433501.1, KAI3433499.1, KAI3433353.1, KAI3433481.1, KAI3433467.1, KAI3433468.1, KAI3433459.1, KAI3433479.1
OG0000029	PSC69773.1	KAI3434646.1, KAI3426836.1
OG0000031	PSC75445.1	KAI3433912.1
OG0000031	PSC70423.1	KAI3426283.1
OG0000031	PSC74731.1	KAI3424311.1
OG0000031	PSC75952.1	KAI3426981.1
OG0000032	PSC70122.1	KAI3425127.1
OG0000032	PSC69855.1	KAI3428610.1
OG0000033	PSC73989.1	KAI3424158.1
OG0000033	PSC74088.1	KAI3424231.1
OG0000034	PSC75203.1	KAI3437678.1, KAI3437679.1, KAI3437680.1
OG0000034	PSC69079.1	KAI3436419.1
OG0000034	PSC73918.1	KAI3431571.1
OG0000035	PSC69555.1	KAI3424711.1
OG0000035	PSC67144.1	KAI3427363.1
OG0000035	PSC74771.1, PSC74773.1	KAI3423962.1, KAI3433944.1
OG0000037	PSC76707.1	KAI3433381.1
OG0000037	PSC67392.1, PSC67024.1, PSC71028.1	KAI3430592.1
OG0000038	PSC71479.1	KAI3436790.1
OG0000038	PSC73088.1	KAI3424387.1
OG0000038	PSC69092.1, PSC76522.1	KAI3430405.1
OG0000038	PSC74020.1	KAI3430403.1
OG0000040	PSC68793.1	KAI3432833.1, KAI3434476.1, KAI3432406.1, KAI3432357.1, KAI3432840.1, KAI3432804.1, KAI3432803.1, KAI3432312.1, KAI3432326.1, KAI3432369.1, KAI3434547.1, KAI3432841.1, KAI3432343.1, KAI3434546.1, KAI3434542.1, KAI3432323.1, KAI3432356.1, KAI3432314.1, KAI3432320.1, KAI3432842.1
OG0000041	PSC70148.1	KAI3426015.1
OG0000044	PSC72584.1	KAI3428080.1, KAI3428081.1
OG0000044	PSC72525.1, PSC72526.1	KAI3425701.1
OG0000045	PSC67991.1	KAI3430308.1
OG0000045	PSC67952.1	KAI3430325.1, KAI3430315.1, KAI3430298.1
OG0000045	PSC71916.1, PSC67962.1	KAI3430319.1
OG0000046	PSC76097.1	KAI3424870.1, KAI3424889.1, KAI3424867.1, KAI3424995.1, KAI3432593.1, KAI3436293.1
OG0000046	PSC75248.1, PSC70303.1, PSC74261.1	KAI3436294.1, KAI3436273.1, KAI3432594.1, KAI3431532.1, KAI3423403.1, KAI3431764.1
OG0000048	PSC72551.1	KAI3431425.1, KAI3431426.1, KAI3427177.1, KAI3427179.1
OG0000049	PSC69089.1, PSC69181.1, PSC69129.1	KAI3434593.1
OG0000051	PSC75643.1	KAI3433911.1
OG0000051	PSC70406.1, PSC70405.1	KAI3426260.1
OG0000051	PSC74693.1	KAI3428104.1, KAI3434525.1
OG0000052	PSC74551.1, PSC73613.1	KAI3432788.1
OG0000052	PSC74792.1, PSC69473.1	KAI3437829.1
OG0000053	PSC76825.1	KAI3423972.1
OG0000054	PSC73287.1	KAI3432308.1, KAI3432372.1
OG0000054	PSC70561.1	KAI3432347.1, KAI3432344.1
OG0000054	PSC73222.1, PSC73302.1	KAI3432850.1
OG0000055	PSC69400.1	KAI3429335.1
OG0000055	PSC69377.1, PSC69376.1	KAI3429571.1
OG0000055	PSC68161.1	KAI3433548.1
OG0000056	PSC76396.1	KAI3438825.1
OG0000056	PSC76570.1, PSC72948.1, PSC73066.1	KAI3438819.1
OG0000057	PSC69656.1	KAI3436537.1, KAI3436536.1
OG0000058	PSC75293.1	KAI3430299.1, KAI3430331.1, KAI3430327.1, KAI3430313.1, KAI3430328.1, KAI3430300.1, KAI3430374.1, KAI3430281.1, KAI3430280.1, KAI3430341.1, KAI3430320.1, KAI3430316.1, KAI3430371.1, KAI3430365.1, KAI3430297.1
OG0000059	PSC74182.1	KAI3424079.1
OG0000059	PSC74049.1	KAI3424250.1
OG0000060	PSC76970.1	KAI3430490.1
OG0000060	PSC75854.1, PSC75765.1	KAI3436359.1
OG0000060	PSC70063.1	KAI3425198.1
OG0000061	PSC74930.1	KAI3427234.1
OG0000062	PSC76977.1	KAI3437696.1
OG0000062	PSC67774.1	KAI3427376.1
OG0000063	PSC73067.1	KAI3434726.1
OG0000063	PSC73178.1, PSC73177.1	KAI3434723.1
OG0000063	PSC75904.1	KAI3426274.1
OG0000064	PSC72115.1	KAI3438305.1
OG0000064	PSC74270.1	KAI3423948.1
OG0000064	PSC70134.1	KAI3430249.1
OG0000065	PSC67563.1	KAI3432752.1, KAI3432751.1, KAI3432742.1, KAI3432731.1, KAI3432729.1, KAI3432722.1, KAI3429665.1, KAI3429666.1
OG0000066	PSC69007.1	KAI3436337.1
OG0000066	PSC74727.1	KAI3425897.1
OG0000067	PSC74990.1	KAI3430528.1, KAI3425375.1
OG0000068	PSC74192.1	KAI3424092.1
OG0000068	PSC74475.1	KAI3424425.1
OG0000068	PSC69541.1	KAI3429823.1
OG0000069	PSC68595.1, PSC67333.1	KAI3429223.1
OG0000070	PSC72055.1	KAI3438690.1
OG0000071	PSC69999.1, PSC70098.1	KAI3429492.1, KAI3425143.1, KAI3425151.1, KAI3425145.1
OG0000072	PSC75375.1	KAI3427121.1, KAI3427122.1
OG0000072	PSC75638.1	KAI3427123.1, KAI3427135.1
OG0000074	PSC67849.1	KAI3438615.1
OG0000074	PSC74454.1	KAI3438617.1
OG0000076	PSC75438.1	KAI3425006.1
OG0000077	PSC67450.1	KAI3434988.1, KAI3434897.1, KAI3434987.1, KAI3434996.1
OG0000077	PSC74536.1	KAI3426367.1, KAI3436013.1, KAI3436010.1
OG0000078	PSC71311.1, PSC69995.1	KAI3433894.1
OG0000078	PSC74397.1	KAI3424325.1
OG0000079	PSC76459.1	KAI3436170.1
OG0000079	PSC76210.1	KAI3436169.1
OG0000080	PSC67706.1, PSC74592.1	KAI3434528.1
OG0000082	PSC72942.1, PSC76120.1, PSC67546.1, PSC75431.1, PSC72953.1, PSC72954.1, PSC76992.1, PSC67114.1, PSC68936.1	KAI3426835.1, KAI3434647.1, KAI3435037.1, KAI3435038.1, KAI3428413.1
OG0000083	PSC71369.1, PSC75545.1, PSC71320.1	KAI3425808.1
OG0000086	PSC72751.1, PSC72752.1	KAI3436857.1
OG0000086	PSC74385.1, PSC74384.1	KAI3436016.1, KAI3424313.1
OG0000088	PSC77048.1	KAI3438445.1
OG0000088	PSC74206.1	KAI3424242.1
OG0000089	PSC69471.1, PSC69470.1	KAI3437810.1
OG0000089	PSC69503.1	KAI3437784.1, KAI3437785.1
OG0000090	PSC72449.1, PSC72450.1	KAI3427919.1
OG0000090	PSC71636.1	KAI3428238.1
OG0000092	PSC75034.1	KAI3429253.1
OG0000092	PSC67689.1, PSC74817.1	KAI3429252.1
OG0000093	PSC75060.1	KAI3438200.1, KAI3423939.1, KAI3429363.1, KAI3429364.1
OG0000093	PSC68159.1	KAI3429366.1
OG0000094	PSC73251.1	KAI3436406.1, KAI3432747.1, KAI3436409.1, KAI3432416.1
OG0000095	PSC70480.1	KAI3429272.1, KAI3429271.1
OG0000096	PSC67116.1	KAI3429612.1
OG0000096	PSC67092.1, PSC67064.1, PSC67061.1, PSC67145.1, PSC67883.1, PSC67062.1	KAI3423807.1
OG0000097	PSC73408.1, PSC73407.1	KAI3431578.1
OG0000097	PSC73461.1	KAI3431579.1
OG0000098	PSC69049.1	KAI3436474.1
OG0000098	PSC76028.1	KAI3433293.1
OG0000098	PSC73928.1	KAI3424803.1
OG0000099	PSC67206.1, PSC68470.1	KAI3432794.1
OG0000099	PSC76010.1	KAI3437759.1, KAI3437758.1
OG0000101	PSC67419.1	KAI3436310.1
OG0000103	PSC76330.1	KAI3438725.1
OG0000103	PSC76060.1, PSC67084.1	KAI3438723.1
OG0000104	PSC75756.1, PSC77050.1	KAI3427061.1
OG0000105	PSC76477.1	KAI3429256.1
OG0000105	PSC75001.1	KAI3429257.1
OG0000106	PSC71229.1, PSC71228.1	KAI3435969.1
OG0000107	PSC68490.1, PSC73564.1, PSC73563.1, PSC73565.1, PSC72373.1	KAI3433500.1
OG0000108	PSC72236.1	KAI3438100.1
OG0000108	PSC73949.1	KAI3433483.1
OG0000109	PSC71503.1	KAI3436738.1
OG0000109	PSC73322.1	KAI3431593.1
OG0000109	PSC73870.1	KAI3426054.1, KAI3429436.1
OG0000110	PSC73115.1	KAI3434780.1
OG0000111	PSC75839.1, PSC72308.1, PSC72306.1, PSC72304.1, PSC72307.1, PSC72305.1, PSC72099.1	KAI3431594.1
OG0000112	PSC72871.1, PSC72872.1	KAI3436619.1
OG0000113	PSC76705.1, PSC76197.1	KAI3427182.1
OG0000113	PSC76549.1	KAI3425328.1
OG0000113	PSC72923.1	KAI3425325.1
OG0000114	PSC73138.1	KAI3434709.1
OG0000114	PSC67227.1, PSC67216.1	KAI3434710.1
OG0000115	PSC68818.1	KAI3428548.1, KAI3434421.1
OG0000117	PSC75653.1	KAI3438944.1
OG0000117	PSC67903.1	KAI3439124.1
OG0000118	PSC72059.1	KAI3438193.1, KAI3438192.1
OG0000119	PSC69898.1	KAI3428567.1
OG0000119	PSC69015.1	KAI3436333.1
OG0000120	PSC75846.1	KAI3423889.1
OG0000120	PSC76669.1	KAI3423979.1, KAI3423978.1, KAI3423977.1
OG0000121	PSC74010.1	KAI3438052.1
OG0000121	PSC71142.1, PSC77040.1	KAI3438829.1, KAI3424168.1, KAI3424169.1, KAI3424171.1, KAI3424167.1
OG0000122	PSC69988.1, PSC70112.1	KAI3425227.1, KAI3425222.1
OG0000123	PSC72013.1	KAI3435837.1
OG0000123	PSC68507.1	KAI3431440.1, KAI3431439.1, KAI3431441.1, KAI3431444.1, KAI3438920.1, KAI3438971.1, KAI3438970.1
OG0000125	PSC70002.1	KAI3425079.1
OG0000126	PSC76861.1	KAI3436077.1, KAI3432787.1
OG0000127	PSC68810.1	KAI3438784.1
OG0000127	PSC72762.1	KAI3436555.1
OG0000128	PSC76273.1, PSC67637.1	KAI3436117.1, KAI3436116.1
OG0000129	PSC69980.1	KAI3430368.1
OG0000129	PSC70105.1	KAI3430355.1
OG0000129	PSC70072.1	KAI3430367.1
OG0000130	PSC67767.1	KAI3425326.1, KAI3425327.1
OG0000131	PSC72458.1, PSC72459.1, PSC70419.1	KAI3428025.1, KAI3428026.1, KAI3428027.1, KAI3428024.1
OG0000132	PSC67909.1	KAI3439122.1
OG0000132	PSC67930.1, PSC67928.1, PSC67929.1	KAI3439119.1
OG0000133	PSC76405.1	KAI3436087.1
OG0000133	PSC76014.1	KAI3436118.1
OG0000134	PSC74415.1	KAI3434481.1
OG0000135	PSC75942.1, PSC75940.1, PSC75941.1	KAI3427004.1, KAI3427005.1
OG0000135	PSC75647.1	KAI3427163.1
OG0000136	PSC73336.1, PSC67257.1	KAI3431576.1
OG0000137	PSC75681.1	KAI3427090.1
OG0000138	PSC68763.1, PSC74414.1	KAI3434435.1, KAI3434437.1
OG0000139	PSC71461.1	KAI3436719.1
OG0000139	PSC69950.1	KAI3436720.1, KAI3423290.1
OG0000140	PSC75107.1, PSC75144.1, PSC74923.1, PSC75222.1, PSC74950.1, PSC75009.1, PSC75108.1	KAI3429255.1
OG0000141	PSC74920.1	KAI3429557.1
OG0000141	PSC71738.1	KAI3430758.1
OG0000142	PSC67423.1, PSC67422.1	KAI3435007.1
OG0000143	PSC70472.1	KAI3426370.1, KAI3426369.1
OG0000143	PSC70320.1	KAI3426371.1
OG0000144	PSC71674.1	KAI3430812.1
OG0000144	PSC71833.1, PSC71834.1	KAI3430814.1
OG0000145	PSC69661.1	KAI3435659.1
OG0000145	PSC69662.1	KAI3435657.1, KAI3435658.1
OG0000146	PSC68073.1	KAI3427394.1
OG0000147	PSC75434.1	KAI3427152.1
OG0000147	PSC67215.1	KAI3427443.1, KAI3431786.1, KAI3427441.1
OG0000148	PSC74681.1, PSC74682.1, PSC74680.1, PSC74683.1, PSC74679.1, PSC68318.1, PSC68319.1, PSC72814.1, PSC72815.1	KAI3424368.1
OG0000149	PSC70644.1	KAI3432868.1, KAI3432878.1, KAI3432822.1, KAI3432824.1, KAI3432825.1, KAI3432820.1
OG0000152	PSC68857.1	KAI3427256.1
OG0000152	PSC69450.1	KAI3437808.1
OG0000153	PSC76086.1	KAI3430567.1
OG0000153	PSC74833.1, PSC75114.1, PSC69766.1, PSC75134.1	KAI3425348.1
OG0000155	PSC70307.1	KAI3426243.1
OG0000155	PSC69513.1	KAI3437731.1
OG0000156	PSC75196.1	KAI3425366.1, KAI3425370.1, KAI3425364.1, KAI3425362.1
OG0000157	PSC67446.1	KAI3435028.1
OG0000158	PSC70545.1	KAI3435882.1
OG0000159	PSC73437.1	KAI3428777.1, KAI3428778.1, KAI3426504.1, KAI3437790.1
OG0000160	PSC67919.1	KAI3439008.1
OG0000160	PSC67887.1	KAI3439020.1, KAI3439019.1
OG0000161	PSC70881.1	KAI3428597.1
OG0000163	PSC73614.1	KAI3424829.1
OG0000164	PSC76658.1	KAI3429416.1
OG0000164	PSC70011.1	KAI3430342.1
OG0000164	PSC68599.1	KAI3438688.1
OG0000167	PSC68684.1	KAI3433286.1
OG0000168	PSC71615.1	KAI3436814.1
OG0000168	PSC75488.1	KAI3427078.1, KAI3427077.1
OG0000169	PSC71505.1	KAI3436665.1
OG0000170	PSC67463.1	KAI3436889.1
OG0000170	PSC75500.1	KAI3423825.1, KAI3426963.1
OG0000171	PSC72851.1	KAI3436861.1
OG0000172	PSC76686.1	KAI3438585.1
OG0000172	PSC76571.1	KAI3438682.1
OG0000174	PSC72567.1	KAI3428134.1
OG0000177	PSC74216.1, PSC74217.1	KAI3432601.1, KAI3432602.1
OG0000178	PSC71456.1	KAI3431839.1
OG0000178	PSC71477.1	KAI3436643.1
OG0000179	PSC68357.1	KAI3435769.1, KAI3435770.1
OG0000180	PSC72982.1	KAI3439002.1
OG0000180	PSC73020.1	KAI3434687.1, KAI3434688.1
OG0000181	PSC74063.1	KAI3424095.1
OG0000181	PSC71668.1	KAI3423988.1
OG0000182	PSC75614.1	KAI3433862.1
OG0000183	PSC69370.1	KAI3425045.1
OG0000183	PSC68522.1, PSC68521.1	KAI3429867.1
OG0000184	PSC74033.1, PSC74032.1	KAI3429733.1, KAI3429734.1, KAI3429757.1
OG0000185	PSC73896.1, PSC73895.1	KAI3424785.1, KAI3424784.1
OG0000186	PSC67218.1	KAI3434380.1
OG0000187	PSC71710.1, PSC71716.1	KAI3426464.1, KAI3430784.1
OG0000188	PSC67905.1	KAI3439018.1
OG0000188	PSC67941.1, PSC67940.1	KAI3439025.1, KAI3439026.1
OG0000190	PSC69877.1	KAI3428407.1, KAI3428408.1
OG0000190	PSC69947.1	KAI3428404.1
OG0000191	PSC68341.1	KAI3435822.1
OG0000191	PSC76413.1, PSC76414.1	KAI3436101.1
OG0000192	PSC75468.1	KAI3433906.1
OG0000192	PSC75916.1	KAI3433920.1
OG0000193	PSC70742.1, PSC73805.1	KAI3430704.1
OG0000194	PSC67054.1, PSC74899.1, PSC68898.1	KAI3433611.1
OG0000194	PSC68833.1	KAI3433618.1
OG0000195	PSC68190.1	KAI3424719.1
OG0000195	PSC67328.1, PSC68198.1, PSC67100.1	KAI3424720.1
OG0000196	PSC71065.1	KAI3431342.1
OG0000196	PSC71746.1	KAI3430975.1
OG0000197	PSC74986.1, PSC71152.1	KAI3435989.1, KAI3435990.1
OG0000198	PSC71711.1, PSC71712.1	KAI3430894.1
OG0000199	PSC71742.1, PSC71743.1	KAI3430819.1
OG0000200	PSC73655.1	KAI3425734.1
OG0000200	PSC73814.1	KAI3425733.1, KAI3425732.1
OG0000202	PSC72617.1, PSC72616.1, PSC68626.1	KAI3432264.1, KAI3428137.1, KAI3428135.1
OG0000203	PSC68519.1	KAI3432330.1, KAI3432296.1, KAI3429872.1
OG0000205	PSC69349.1	KAI3425056.1
OG0000206	PSC70253.1	KAI3426017.1, KAI3426010.1
OG0000207	PSC69212.1	KAI3429840.1
OG0000208	PSC76213.1, PSC76214.1	KAI3434957.1
OG0000208	PSC73136.1	KAI3430444.1
OG0000210	PSC72141.1	KAI3433504.1
OG0000211	PSC70219.1	KAI3430244.1
OG0000212	PSC69306.1	KAI3429773.1
OG0000213	PSC69263.1	KAI3431735.1
OG0000213	PSC69206.1	KAI3429491.1
OG0000214	PSC68805.1	KAI3431690.1
OG0000214	PSC68743.1, PSC68744.1	KAI3431689.1
OG0000215	PSC69482.1	KAI3437750.1
OG0000215	PSC75685.1, PSC75686.1	KAI3426058.1, KAI3429461.1
OG0000216	PSC73806.1	KAI3438909.1
OG0000216	PSC72101.1	KAI3438099.1
OG0000218	PSC68007.1	KAI3438633.1, KAI3438612.1, KAI3438611.1
OG0000220	PSC75773.1	KAI3426926.1, KAI3426917.1, KAI3426915.1
OG0000221	PSC77055.1	KAI3427040.1
OG0000222	PSC68245.1	KAI3430625.1
OG0000222	PSC69220.1, PSC69231.1	KAI3430290.1
OG0000223	PSC68463.1, PSC68432.1, PSC68465.1, PSC68464.1	KAI3429352.1
OG0000224	PSC69070.1	KAI3436447.1
OG0000224	PSC69019.1, PSC69018.1	KAI3436449.1, KAI3436450.1
OG0000225	PSC73789.1	KAI3427242.1, KAI3427243.1
OG0000226	PSC70498.1	KAI3436138.1, KAI3432639.1, KAI3432638.1
OG0000227	PSC69835.1	KAI3428353.1
OG0000228	PSC69799.1	KAI3428332.1, KAI3428331.1, KAI3427233.1
OG0000229	PSC73963.1, PSC73962.1, PSC74321.1, PSC73995.1	KAI3428790.1
OG0000230	PSC70167.1	KAI3426055.1
OG0000231	PSC70116.1, PSC70115.1, PSC72048.1, PSC73584.1	KAI3432754.1
OG0000232	PSC72121.1	KAI3438106.1
OG0000233	PSC68979.1, PSC68980.1	KAI3424986.1
OG0000234	PSC67644.1	KAI3431547.1
OG0000234	PSC67662.1	KAI3431537.1
OG0000235	PSC68122.1, PSC68110.1	KAI3428279.1, KAI3428280.1, KAI3428281.1
OG0000236	PSC69009.1	KAI3436451.1
OG0000236	PSC69042.1	KAI3436456.1, KAI3436463.1
OG0000237	PSC71564.1	KAI3436645.1, KAI3433358.1
OG0000237	PSC71653.1, PSC71652.1	KAI3436646.1
OG0000238	PSC72912.1	KAI3436610.1
OG0000238	PSC72903.1	KAI3436609.1
OG0000239	PSC72657.1, PSC72655.1, PSC72656.1	KAI3425089.1, KAI3436580.1
OG0000240	PSC71581.1	KAI3436739.1, KAI3428472.1, KAI3428473.1, KAI3436740.1
OG0000241	PSC76960.1	KAI3430566.1, KAI3438532.1
OG0000241	PSC74883.1	KAI3429548.1
OG0000242	PSC76929.1	KAI3438442.1
OG0000243	PSC68436.1, PSC68437.1, PSC68460.1, PSC68459.1	KAI3429350.1, KAI3429349.1
OG0000244	PSC67045.1, PSC67149.1, PSC67041.1, PSC68685.1, PSC67091.1	KAI3429327.1
OG0000245	PSC67025.1, PSC69718.1, PSC67105.1, PSC75696.1, PSC67079.1, PSC67009.1, PSC70602.1	KAI3433822.1, KAI3433849.1
OG0000246	PSC74244.1, PSC74242.1, PSC74243.1	KAI3429755.1
OG0000247	PSC67108.1	KAI3424686.1
OG0000247	PSC67431.1	KAI3435031.1
OG0000248	PSC76246.1	KAI3434899.1, KAI3434901.1
OG0000249	PSC76882.1, PSC76883.1, PSC76884.1	KAI3434963.1, KAI3434965.1, KAI3434964.1, KAI3434962.1
OG0000250	PSC67938.1, PSC67937.1, PSC67939.1	KAI3439123.1
OG0000251	PSC74123.1	KAI3429792.1
OG0000251	PSC68557.1	KAI3429850.1
OG0000252	PSC71338.1	KAI3430582.1
OG0000252	PSC67553.1	KAI3429628.1
OG0000253	PSC67566.1	KAI3429645.1
OG0000254	PSC70948.1	KAI3426405.1, KAI3423897.1, KAI3426404.1, KAI3432795.1
OG0000255	PSC74779.1	KAI3431343.1, KAI3431338.1
OG0000256	PSC73719.1	KAI3438393.1
OG0000256	PSC73684.1	KAI3438392.1
OG0000256	PSC73097.1	KAI3430418.1
OG0000257	PSC68585.1	KAI3433926.1
OG0000258	PSC67103.1, PSC69734.1, PSC67080.1, PSC67075.1	KAI3433843.1
OG0000259	PSC68291.1	KAI3433559.1
OG0000259	PSC68257.1	KAI3433565.1, KAI3433564.1
OG0000261	PSC68998.1	KAI3436460.1
OG0000261	PSC69065.1	KAI3436332.1
OG0000262	PSC68335.1	KAI3435807.1
OG0000262	PSC68343.1, PSC68342.1	KAI3435832.1
OG0000263	PSC72806.1, PSC72775.1, PSC74858.1, PSC76482.1	KAI3436092.1
OG0000264	PSC76181.1	KAI3436365.1, KAI3430502.1
OG0000265	PSC70176.1	KAI3426081.1
OG0000265	PSC70290.1	KAI3425960.1
OG0000266	PSC73194.1	KAI3434822.1, KAI3434821.1
OG0000266	PSC76511.1	KAI3436255.1
OG0000267	PSC69730.1	KAI3424913.1
OG0000267	PSC75563.1	KAI3426903.1
OG0000268	PSC76598.1, PSC76597.1, PSC76596.1	KAI3430504.1
OG0000269	PSC71694.1	KAI3430873.1
OG0000269	PSC72678.1	KAI3437760.1, KAI3436527.1
OG0000270	PSC72330.1	KAI3438133.1
OG0000270	PSC72294.1, PSC72142.1, PSC72150.1	KAI3438132.1
OG0000271	PSC71382.1	KAI3431845.1
OG0000271	PSC74740.1	KAI3428185.1
OG0000272	PSC74405.1	KAI3425868.1
OG0000272	PSC74406.1, PSC74404.1	KAI3425867.1
OG0000273	PSC74705.1	KAI3424453.1
OG0000273	PSC74706.1	KAI3424452.1
OG0000276	PSC75341.1, PSC76902.1	KAI3429235.1, KAI3430688.1
OG0000278	PSC67516.1	KAI3426147.1, KAI3426146.1
OG0000278	PSC67540.1	KAI3426149.1, KAI3426148.1
OG0000279	PSC73449.1	KAI3432403.1, KAI3432407.1
OG0000280	PSC73160.1, PSC70016.1, PSC70017.1, PSC70079.1, PSC70030.1, PSC70036.1, PSC70035.1	KAI3434791.1
OG0000281	PSC70518.1, PSC70519.1, PSC75466.1, PSC71964.1	KAI3428299.1
OG0000281	PSC70849.1	KAI3437702.1
OG0000282	PSC74283.1	KAI3424051.1
OG0000282	PSC71772.1	KAI3424052.1, KAI3424047.1, KAI3423197.1, KAI3424049.1
OG0000285	PSC72581.1	KAI3425032.1
OG0000285	PSC72366.1	KAI3425033.1
OG0000286	PSC71324.1	KAI3437791.1
OG0000287	PSC68221.1, PSC68222.1	KAI3424766.1, KAI3424772.1
OG0000288	PSC74438.1	KAI3434564.1, KAI3434565.1
