Orthogroup	oneline_c_sorokiniana_genome_proteins	oneline_A99_genome_proteins
OG0000045	PRW20580.1	scaffold13.g353.t1
OG0000045	PRW20481.1, PRW20571.1	scaffold12.g8235.t1, scaffold13.g346.t1
OG0000047	PRW59309.1	scaffold14.g1178.t1
OG0000048	PRW61544.1	scaffold1.g5727.t1
OG0000049	PRW57986.1	scaffold25.g5108.t1
OG0000049	PRW39333.1	scaffold25.g5121.t1
OG0000049	PRW57724.1, PRW57916.1	scaffold25.g5120.t1, scaffold25.g5123.t1
OG0000051	PRW58244.1	scaffold1.g5290.t1
OG0000051	PRW56493.1	scaffold2.g6823.t1
OG0000052	PRW58009.1	scaffold26.g3362.t1, scaffold11.g4068.t1
OG0000052	PRW61437.1	scaffold26.g3340.t1, scaffold26.g3341.t1, scaffold26.g3342.t1
OG0000052	PRW57359.1	scaffold31.g3799.t1, scaffold31.g3800.t1
OG0000053	PRW20392.1	scaffold7.g3463.t1
OG0000053	PRW33245.1, PRW32665.1, PRW33726.1	scaffold12.g8256.t1
OG0000055	PRW60703.1, PRW60808.1, PRW33630.1	scaffold17.g586.t1
OG0000055	PRW60778.1, PRW58352.1	scaffold5.g995.t1
OG0000056	PRW59185.1, PRW59186.1	scaffold5.g888.t1
OG0000056	PRW32982.1	scaffold20.g7767.t1
OG0000056	PRW44497.1	scaffold5.g879.t1
OG0000057	PRW61362.1	scaffold7.g3702.t1
OG0000059	PRW20365.1	scaffold2.g7015.t1
OG0000059	PRW61311.1	scaffold2.g6941.t1, scaffold12.g8028.t1, scaffold12.g8005.t1, scaffold12.g7996.t1, scaffold2.g6911.t1, scaffold2.g6899.t1
OG0000059	PRW61163.1	scaffold13.g258.t1
OG0000060	PRW33027.1, PRW32920.1	scaffold5.g900.t1
OG0000060	PRW33684.1, PRW33683.1, PRW33686.1, PRW33685.1	scaffold24.g2974.t1
OG0000061	PRW56960.1	scaffold11.g3926.t1
OG0000061	PRW51027.1	scaffold14.g1323.t1
OG0000061	PRW50777.1	scaffold12.g8275.t1
OG0000061	PRW60233.1	scaffold9.g3165.t1
OG0000061	PRW60372.1	scaffold9.g3138.t1
OG0000062	PRW20949.1, PRW20948.1	scaffold19.g1806.t1, scaffold8.g1419.t1
OG0000062	PRW05920.1	scaffold2.g7111.t1
OG0000063	PRW58069.1, PRW58070.1	scaffold7.g3548.t1
OG0000063	PRW57845.1	scaffold7.g3631.t1
OG0000063	PRW44238.1	scaffold8.g1589.t1, scaffold1.g5347.t1
OG0000064	PRW57163.1	scaffold21.g2159.t1
OG0000064	PRW61338.1, PRW20516.1, PRW20517.1, PRW20515.1	scaffold6.g2717.t1
OG0000065	PRW39236.1, PRW39062.1	scaffold11.g3945.t1
OG0000066	PRW45119.1, PRW45120.1	scaffold28.g7595.t1
OG0000066	PRW21122.1, PRW57956.1, PRW05882.1	scaffold2.g7296.t1
OG0000067	PRW60576.1, PRW60610.1	scaffold16.g143.t1
OG0000068	PRW61055.1	scaffold12.g8197.t1
OG0000068	PRW56902.1	scaffold21.g2087.t1
OG0000068	PRW60626.1	scaffold11.g3909.t1
OG0000069	PRW60649.1	scaffold7.g3563.t1
OG0000069	PRW32903.1	scaffold336.g5147.t1
OG0000070	PRW56858.1	scaffold2.g7418.t1
OG0000071	PRW33563.1, PRW33647.1, PRW33318.1, PRW45249.1	scaffold2.g7456.t1
OG0000074	PRW58909.1	scaffold5.g965.t1
OG0000074	PRW59171.1, PRW59170.1	scaffold13.g368.t1
OG0000076	PRW56243.1	scaffold6.g2727.t1
OG0000076	PRW45688.1, PRW45623.1, PRW45411.1	scaffold7.g3621.t1, scaffold2.g6921.t1, scaffold11.g3956.t1, scaffold11.g3955.t1, scaffold4.g4630.t1
OG0000077	PRW34034.1	scaffold1.g5282.t1
OG0000085	PRW61482.1	scaffold2.g7360.t1, scaffold5.g936.t1, scaffold2.g7040.t1, scaffold19.g1746.t1, scaffold25.g5133.t1, scaffold16.g112.t1, scaffold5.g677.t1, scaffold8.g1653.t1, scaffold8.g1727.t1, scaffold16.g105.t1, scaffold14.g1224.t1, scaffold5.g934.t1, scaffold14.g1036.t1
OG0000086	PRW55890.1	scaffold2.g6980.t1
OG0000086	PRW20409.1, PRW20329.1	scaffold13.g295.t1, scaffold12.g8260.t1
OG0000088	PRW58939.1	scaffold19.g1824.t1, scaffold12.g8201.t1
OG0000088	PRW55955.1	scaffold2.g6879.t1
OG0000088	PRW61361.1	scaffold1.g5368.t1, scaffold2.g6901.t1, scaffold8.g1512.t1
OG0000089	PRW57105.1, PRW57106.1	scaffold19.g1796.t1
OG0000089	PRW57374.1	scaffold19.g1784.t1
OG0000090	PRW56509.1	scaffold22.g6141.t1
OG0000090	PRW44975.1	scaffold15.g4283.t1
OG0000090	PRW56613.1	scaffold18.g2030.t1
OG0000091	PRW59331.1	scaffold7.g3469.t1
OG0000091	PRW45711.1	scaffold21.g2186.t1, scaffold20.g7653.t1
OG0000092	PRW60803.1	scaffold9.g3015.t1
OG0000092	PRW57248.1, PRW56102.1	scaffold9.g3017.t1
OG0000093	PRW60425.1	scaffold9.g3132.t1
OG0000094	PRW61126.1, PRW61125.1	scaffold26.g3358.t1, scaffold11.g3879.t1
OG0000095	PRW21013.1, PRW56263.1	scaffold11.g3872.t1
OG0000096	PRW60806.1	scaffold11.g3928.t1
OG0000096	PRW57760.1	scaffold4.g4691.t1
OG0000097	PRW39133.1, PRW39132.1, PRW39134.1	scaffold40.g5162.t1
OG0000097	PRW39353.1	scaffold40.g5165.t1
OG0000098	PRW58429.1	scaffold1.g5569.t1
OG0000102	PRW33047.1	scaffold2.g7247.t1
OG0000102	PRW56888.1	scaffold13.g185.t1
OG0000103	PRW59363.1, PRW58819.1	scaffold5.g722.t1
OG0000103	PRW59001.1	scaffold5.g906.t1
OG0000104	PRW59159.1	scaffold30.g4439.t1
OG0000104	PRW60771.1	scaffold5.g963.t1
OG0000105	PRW60906.1	scaffold5.g993.t1, scaffold9.g3291.t1, scaffold2.g6870.t1, scaffold10.g2347.t1
OG0000105	PRW60303.1	scaffold9.g3025.t1
OG0000106	PRW59499.1	scaffold8.g1577.t1
OG0000108	PRW57000.1	scaffold21.g2145.t1
OG0000108	PRW58100.1	scaffold455.g5909.t1, scaffold1.g5662.t1
OG0000109	PRW39079.1	scaffold21.g2167.t1
OG0000110	PRW58034.1	scaffold3.g6213.t1
OG0000110	PRW61254.1, PRW51042.1	scaffold10.g2292.t1, scaffold12.g8024.t1
OG0000111	PRW58695.1	scaffold10.g2456.t1, scaffold10.g2339.t1
OG0000112	PRW56081.1, PRW56311.1, PRW56194.1, PRW56174.1, PRW56155.1, PRW55939.1, PRW56289.1, PRW56254.1, PRW56253.1	scaffold6.g2756.t1
OG0000113	PRW20418.1	scaffold7.g3579.t1
OG0000114	PRW57579.1	scaffold7.g3630.t1
OG0000115	PRW20690.1	scaffold23.g4091.t1
OG0000116	PRW20573.1	scaffold23.g4191.t1, scaffold2.g7503.t1, scaffold1.g5557.t1, scaffold2.g7502.t1
OG0000117	PRW58844.1	scaffold30.g4462.t1, scaffold30.g4425.t1, scaffold30.g4452.t1, scaffold30.g4455.t1, scaffold30.g4447.t1, scaffold30.g4463.t1, scaffold30.g4459.t1, scaffold36.g5070.t1
OG0000118	PRW56905.1, PRW56904.1	scaffold1.g5676.t1
OG0000118	PRW60179.1, PRW61051.1, PRW34008.1	scaffold20.g7726.t1, scaffold34.g4503.t1
OG0000119	PRW44454.1, PRW44455.1, PRW56212.1	scaffold4.g4954.t1
OG0000120	PRW32517.1	scaffold25.g5081.t1
OG0000120	PRW32650.1, PRW32651.1	scaffold1.g5831.t1
OG0000121	PRW57457.1	scaffold2.g7483.t1, scaffold22.g6072.t1
OG0000122	PRW50851.1, PRW50916.1, PRW50880.1, PRW33699.1, PRW33593.1	scaffold2.g7266.t1, scaffold2.g7265.t1
OG0000125	PRW33559.1, PRW33525.1	scaffold16.g42.t1
OG0000126	PRW60132.1	scaffold10.g2257.t1, scaffold20.g7696.t1, scaffold20.g7694.t1, scaffold3.g6561.t1, scaffold20.g7695.t1, scaffold2.g7441.t1, scaffold16.g84.t1
OG0000127	PRW59338.1	scaffold4.g4802.t1
OG0000127	PRW55972.1	scaffold16.g85.t1, scaffold20.g7697.t1, scaffold6.g2833.t1, scaffold6.g2677.t1
OG0000128	PRW61375.1	scaffold13.g278.t1, scaffold13.g279.t1
OG0000129	PRW20466.1	scaffold13.g328.t1
OG0000129	PRW20465.1	scaffold13.g318.t1
OG0000131	PRW56460.1	scaffold18.g2061.t1
OG0000131	PRW57978.1	scaffold5.g626.t1
OG0000132	PRW59020.1, PRW59019.1	scaffold5.g640.t1, scaffold5.g636.t1
OG0000133	PRW59544.1	scaffold3.g6559.t1
OG0000133	PRW59907.1	scaffold5.g852.t1
OG0000134	PRW58503.1, PRW57515.1	scaffold14.g1153.t1
OG0000134	PRW20642.1	scaffold8.g1615.t1
OG0000135	PRW51140.1	scaffold14.g1179.t1
OG0000135	PRW50981.1	scaffold14.g1278.t1
OG0000136	PRW56019.1	scaffold14.g1187.t1
OG0000137	PRW60034.1	scaffold34.g4506.t1
OG0000137	PRW60033.1	scaffold14.g1211.t1, scaffold14.g1198.t1, scaffold14.g1199.t1
OG0000138	PRW32529.1, PRW58283.1, PRW34022.1, PRW56319.1, PRW33979.1, PRW20263.1, PRW05894.1, PRW20742.1	scaffold8.g1664.t1
OG0000139	PRW56206.1	scaffold6.g2876.t1
OG0000139	PRW55911.1, PRW44508.1	scaffold4.g4994.t1
OG0000140	PRW60820.1	scaffold26.g3327.t1, scaffold9.g3026.t1, scaffold4.g4774.t1
OG0000141	PRW58584.1	scaffold9.g3139.t1
OG0000141	PRW60844.1	scaffold1.g5241.t1
OG0000141	PRW21118.1, PRW21117.1	scaffold2.g7295.t1
OG0000142	PRW34062.1, PRW44472.1, PRW44474.1, PRW44473.1, PRW44462.1	scaffold4.g4950.t1, scaffold7.g3403.t1
OG0000143	PRW45452.1	scaffold15.g4263.t1
OG0000144	PRW20982.1	scaffold15.g4372.t1
OG0000144	PRW20983.1	scaffold15.g4371.t1
OG0000145	PRW59690.1, PRW60031.1	scaffold3.g6216.t1, scaffold3.g6176.t1
OG0000146	PRW51174.1, PRW39313.1, PRW39314.1, PRW39312.1, PRW57508.1	scaffold2.g7081.t1
OG0000147	PRW05945.1	scaffold2.g7115.t1
OG0000148	PRW20355.1	scaffold12.g8213.t1
OG0000155	PRW20938.1	scaffold19.g1845.t1
OG0000156	PRW33580.1, PRW33579.1	scaffold16.g145.t1, scaffold24.g2935.t1, scaffold16.g148.t1
OG0000157	PRW58415.1, PRW20534.1	scaffold3.g6665.t1
OG0000157	PRW33753.1	scaffold7.g3401.t1, scaffold7.g3388.t1
OG0000158	PRW60881.1	scaffold2.g6784.t1
OG0000158	PRW57782.1	scaffold1.g5421.t1
OG0000158	PRW60667.1	scaffold13.g377.t1
OG0000159	PRW33218.1	scaffold17.g436.t1
OG0000160	PRW59146.1, PRW59084.1	scaffold5.g679.t1
OG0000161	PRW60854.1, PRW60251.1	scaffold5.g780.t1
OG0000161	PRW44363.1	scaffold5.g873.t1
OG0000163	PRW45341.1	scaffold26.g3367.t1
OG0000163	PRW21096.1	scaffold5.g871.t1, scaffold5.g815.t1, scaffold12.g7917.t1, scaffold3.g6473.t1
OG0000165	PRW60130.1	scaffold14.g1193.t1
OG0000166	PRW50829.1, PRW59179.1, PRW56125.1	scaffold1.g5531.t1, scaffold14.g1210.t1
OG0000167	PRW58560.1, PRW58559.1	scaffold14.g1237.t1
OG0000167	PRW58392.1, PRW58310.1	scaffold2.g7162.t1
OG0000168	PRW56057.1	scaffold8.g1370.t1
OG0000168	PRW50795.1, PRW50796.1	scaffold14.g1244.t1
OG0000169	PRW61494.1, PRW56011.1, PRW56010.1	scaffold6.g2654.t1, scaffold8.g1364.t1, scaffold6.g2691.t1, scaffold6.g2671.t1
OG0000170	PRW56148.1	scaffold8.g1447.t1
OG0000171	PRW60680.1	scaffold1.g5312.t1
OG0000171	PRW56299.1	scaffold6.g2638.t1, scaffold8.g1467.t1
OG0000172	PRW59395.1, PRW59396.1	scaffold8.g1600.t1, scaffold3.g6374.t1
OG0000173	PRW60592.1	scaffold25.g5092.t1, scaffold2.g7292.t1
OG0000174	PRW56533.1, PRW56651.1, PRW56650.1, PRW56505.1, PRW33761.1, PRW56729.1, PRW44345.1, PRW56598.1	scaffold18.g1938.t1
OG0000175	PRW20437.1	scaffold10.g2283.t1, scaffold7.g3443.t1, scaffold1.g5847.t1
OG0000176	PRW39317.1	scaffold12.g8029.t1, scaffold10.g2306.t1
OG0000177	PRW61082.1, PRW61079.1, PRW61080.1, PRW61081.1	scaffold6.g2519.t1
OG0000178	PRW33710.1, PRW33709.1	scaffold1.g5545.t1
OG0000179	PRW33631.1	scaffold7.g3607.t1, scaffold7.g3550.t1
OG0000179	PRW59953.1	scaffold3.g6247.t1
OG0000180	PRW57741.1, PRW57747.1	scaffold7.g3627.t1, scaffold7.g3615.t1
OG0000181	PRW21103.1	scaffold1.g5177.t1
OG0000181	PRW21102.1	scaffold7.g3655.t1, scaffold2.g7293.t1
OG0000182	PRW58275.1	scaffold1.g5309.t1
OG0000182	PRW58578.1	scaffold32.g3814.t1, scaffold1.g5314.t1
OG0000183	PRW45326.1	scaffold42.g4468.t1
OG0000183	PRW60672.1	scaffold11.g3860.t1
OG0000184	PRW60584.1	scaffold11.g4002.t1
OG0000185	PRW45478.1, PRW45477.1, PRW45476.1, PRW45447.1, PRW45448.1	scaffold11.g4072.t1
OG0000186	PRW20689.1, PRW20688.1	scaffold23.g4082.t1, scaffold23.g4083.t1
OG0000187	PRW45212.1, PRW21060.1	scaffold15.g4354.t1
OG0000188	PRW58738.1, PRW58739.1, PRW58740.1	scaffold30.g4446.t1
OG0000189	PRW33569.1	scaffold4.g4645.t1
OG0000190	PRW44270.1	scaffold4.g5051.t1
OG0000190	PRW44237.1	scaffold4.g5053.t1
OG0000191	PRW59477.1	scaffold3.g6416.t1
OG0000191	PRW59958.1	scaffold25.g5115.t1
OG0000192	PRW58096.1, PRW58097.1	scaffold1.g5245.t1, scaffold1.g5206.t1, scaffold1.g5286.t1
OG0000193	PRW58444.1	scaffold1.g5855.t1, scaffold1.g5266.t1
OG0000194	PRW58084.1, PRW58083.1	scaffold1.g5407.t1, scaffold1.g5412.t1
OG0000195	PRW57706.1, PRW45471.1, PRW45722.1	scaffold29.g5966.t1
OG0000196	PRW59751.1, PRW32572.1	scaffold20.g7659.t1
OG0000196	PRW21043.1	scaffold22.g6043.t1
OG0000197	PRW59620.1	scaffold3.g6577.t1
OG0000198	PRW21078.1	scaffold2.g7204.t1
OG0000198	PRW21007.1	scaffold2.g7206.t1
OG0000199	PRW21121.1	scaffold2.g7305.t1
OG0000200	PRW58056.1, PRW58055.1	scaffold12.g7968.t1
OG0000200	PRW57823.1	scaffold12.g7938.t1, scaffold12.g7937.t1
OG0000205	PRW45536.1	scaffold16.g32.t1
OG0000206	PRW56280.1, PRW33790.1	scaffold12.g8121.t1, scaffold12.g8124.t1, scaffold16.g115.t1, scaffold1.g5564.t1
OG0000207	PRW45226.1	scaffold14.g1083.t1, scaffold13.g166.t1, scaffold4.g4598.t1
OG0000208	PRW33873.1	scaffold7.g3608.t1
OG0000209	PRW61234.1	scaffold9.g3206.t1, scaffold7.g3683.t1, scaffold23.g4196.t1, scaffold14.g1151.t1, scaffold3.g6621.t1, scaffold13.g220.t1, scaffold11.g3890.t1, scaffold27.g5994.t1
OG0000210	PRW44319.1	scaffold13.g326.t1
OG0000211	PRW21030.1	scaffold10.g2380.t1, scaffold13.g400.t1, scaffold4.g4992.t1
OG0000211	PRW20576.1	scaffold13.g409.t1
OG0000212	PRW61447.1	scaffold17.g455.t1
OG0000213	PRW33231.1, PRW33232.1	scaffold17.g476.t1
OG0000214	PRW33243.1, PRW33242.1, PRW33254.1	scaffold17.g595.t1
OG0000216	PRW58831.1	scaffold5.g803.t1
OG0000216	PRW57353.1	scaffold21.g2142.t1
OG0000217	PRW60052.1	scaffold7.g3453.t1
OG0000217	PRW39340.1	scaffold5.g958.t1
OG0000218	PRW59440.1, PRW59441.1, PRW59439.1	scaffold5.g972.t1, scaffold5.g1004.t1
OG0000219	PRW32591.1	scaffold4.g4860.t1
OG0000219	PRW59201.1	scaffold5.g1007.t1
OG0000219	PRW56073.1	scaffold7.g3721.t1
OG0000220	PRW51168.1	scaffold14.g1084.t1
OG0000220	PRW51183.1	scaffold14.g1070.t1
OG0000221	PRW50905.1, PRW50904.1	scaffold14.g1123.t1
OG0000222	PRW20187.1, PRW33807.1, PRW45031.1	scaffold14.g1137.t1
OG0000223	PRW60358.1, PRW60544.1, PRW60545.1, PRW56445.1	scaffold14.g1212.t1
OG0000224	PRW20912.1, PRW56041.1	scaffold14.g1279.t1
OG0000225	PRW50790.1, PRW50788.1, PRW50789.1, PRW50787.1	scaffold14.g1315.t1
OG0000226	PRW61590.1	scaffold14.g1353.t1, scaffold15.g4256.t1, scaffold6.g2501.t1
OG0000227	PRW56674.1	scaffold19.g1837.t1
OG0000227	PRW59411.1	scaffold3.g6759.t1, scaffold3.g6644.t1
OG0000228	PRW56468.1	scaffold18.g1882.t1
OG0000228	PRW56431.1	scaffold2.g7028.t1
OG0000229	PRW61209.1, PRW60209.1, PRW60391.1	scaffold3.g6703.t1, scaffold18.g1973.t1
OG0000230	PRW45046.1	scaffold18.g2049.t1, scaffold18.g2050.t1
OG0000231	PRW58025.1, PRW58026.1, PRW58027.1	scaffold11.g3937.t1, scaffold21.g2108.t1
OG0000232	PRW57337.1	scaffold21.g2139.t1
OG0000233	PRW45437.1	scaffold29.g5964.t1
OG0000233	PRW56173.1	scaffold21.g2199.t1, scaffold6.g2843.t1
OG0000234	PRW39384.1	scaffold10.g2304.t1, scaffold10.g2480.t1
OG0000234	PRW45398.1	scaffold7.g3760.t1
OG0000235	PRW56757.1, PRW56581.1	scaffold4.g4845.t1, scaffold6.g2574.t1, scaffold22.g6034.t1
OG0000236	PRW56146.1, PRW56145.1	scaffold76.g4559.t1, scaffold6.g2728.t1
OG0000237	PRW55937.1	scaffold6.g2740.t1
OG0000238	PRW56168.1	scaffold6.g2764.t1
OG0000238	PRW56076.1	scaffold6.g2766.t1
OG0000239	PRW56028.1, PRW56027.1	scaffold20.g7869.t1, scaffold6.g2821.t1
OG0000240	PRW56275.1, PRW33206.1	scaffold24.g2993.t1
OG0000242	PRW58882.1	scaffold9.g3177.t1, scaffold1.g5183.t1
OG0000242	PRW60751.1	scaffold4.g4579.t1, scaffold11.g4004.t1
OG0000243	PRW60822.1	scaffold9.g3187.t1
OG0000244	PRW60812.1	scaffold9.g3207.t1, scaffold2.g6993.t1
OG0000246	PRW58416.1	scaffold1.g5436.t1
OG0000246	PRW60786.1	scaffold3.g6288.t1, scaffold9.g3286.t1
OG0000247	PRW45509.1	scaffold7.g3373.t1
OG0000247	PRW33780.1	scaffold7.g3375.t1
OG0000248	PRW33896.1, PRW33897.1	scaffold7.g3499.t1
OG0000248	PRW33893.1	scaffold7.g3498.t1
OG0000249	PRW33864.1	scaffold7.g3709.t1
OG0000250	PRW20671.1	scaffold11.g3839.t1
OG0000251	PRW60746.1, PRW60243.1	scaffold11.g3857.t1, scaffold11.g3853.t1, scaffold11.g3847.t1, scaffold11.g3876.t1
OG0000252	PRW32994.1	scaffold2.g7376.t1
OG0000252	PRW60345.1	scaffold11.g3914.t1
OG0000253	PRW05778.1	scaffold12.g8175.t1
OG0000253	PRW60553.1, PRW60552.1, PRW60551.1	scaffold11.g3946.t1
OG0000254	PRW44952.1	scaffold23.g4177.t1
OG0000255	PRW58669.1, PRW58934.1	scaffold4.g4660.t1
OG0000256	PRW57231.1	scaffold4.g4760.t1
OG0000257	PRW58240.1, PRW58239.1	scaffold1.g5203.t1
OG0000257	PRW58183.1	scaffold1.g5204.t1
OG0000258	PRW58184.1	scaffold3.g6685.t1
OG0000258	PRW58107.1	scaffold1.g5316.t1
OG0000259	PRW58356.1	scaffold1.g5471.t1, scaffold1.g5467.t1, scaffold1.g5468.t1
OG0000261	PRW56331.1	scaffold1.g5651.t1
OG0000262	PRW60062.1, PRW59548.1	scaffold3.g6297.t1
OG0000263	PRW59908.1	scaffold3.g6576.t1
OG0000264	PRW32866.1, PRW32867.1	scaffold3.g6616.t1, scaffold2.g7278.t1
OG0000265	PRW33786.1	scaffold3.g6640.t1
OG0000265	PRW34010.1, PRW45349.1	scaffold2.g7504.t1
OG0000266	PRW57674.1, PRW59875.1	scaffold3.g6668.t1
OG0000267	PRW32538.1	scaffold2.g7090.t1
OG0000268	PRW32937.1, PRW32935.1, PRW32936.1	scaffold2.g7276.t1
OG0000269	PRW21130.1, PRW56012.1	scaffold2.g7320.t1
OG0000270	PRW57240.1	scaffold20.g7704.t1
OG0000271	PRW18346.1	scaffold20.g7874.t1
OG0000272	PRW57821.1	scaffold12.g8000.t1
OG0000272	PRW57749.1	scaffold12.g7991.t1
OG0000273	PRW61242.1	scaffold12.g8174.t1
OG0000273	PRW61349.1, PRW61348.1, PRW61350.1	scaffold12.g8171.t1
OG0000285	PRW45748.1	scaffold16.g27.t1
OG0000286	PRW61045.1	scaffold16.g88.t1
OG0000287	PRW45673.1	scaffold14.g1098.t1, scaffold13.g217.t1, scaffold13.g218.t1
OG0000288	PRW20683.1	scaffold13.g286.t1
OG0000288	PRW20712.1	scaffold8.g1654.t1
OG0000290	PRW20479.1, PRW20513.1, PRW20512.1	scaffold13.g407.t1
OG0000291	PRW57010.1	scaffold28.g7544.t1, scaffold17.g432.t1
OG0000292	PRW33093.1	scaffold17.g458.t1
OG0000292	PRW39337.1	scaffold10.g2479.t1
OG0000293	PRW33326.1	scaffold17.g461.t1
OG0000294	PRW59538.1	scaffold17.g499.t1
OG0000294	PRW55903.1, PRW57162.1	scaffold15.g4357.t1, scaffold22.g6112.t1
OG0000295	PRW58532.1	scaffold11.g3892.t1, scaffold11.g3893.t1, scaffold1.g5641.t1, scaffold6.g2550.t1, scaffold17.g517.t1
OG0000296	PRW33190.1	scaffold17.g548.t1
OG0000296	PRW33197.1	scaffold17.g546.t1
OG0000297	PRW32504.1	scaffold5.g618.t1
OG0000297	PRW32505.1, PRW32508.1	scaffold1.g5795.t1
OG0000298	PRW33260.1	scaffold5.g642.t1
OG0000299	PRW58854.1	scaffold5.g702.t1
OG0000300	PRW20934.1	scaffold2.g6910.t1, scaffold5.g744.t1
