Orthogroup	oneline_c_vulgaris_genome_proteins	oneline_c_sorokiniana_genome_proteins
OG0000011	KAI3424438.1, KAI3424442.1, KAI3424422.1, KAI3424461.1, KAI3424462.1	PRW44256.1, PRW58506.1
OG0000015	KAI3429881.1, KAI3428157.1, KAI3432743.1	PRW33966.1
OG0000015	KAI3432746.1	PRW59527.1
OG0000015	KAI3431754.1	PRW58153.1, PRW57045.1
OG0000016	KAI3427391.1, KAI3427390.1, KAI3427396.1, KAI3427395.1, KAI3427407.1, KAI3427387.1, KAI3427377.1, KAI3427414.1, KAI3427413.1, KAI3427438.1, KAI3427418.1, KAI3427420.1, KAI3427404.1, KAI3427402.1, KAI3427409.1, KAI3427405.1, KAI3427406.1, KAI3427403.1, KAI3427399.1, KAI3427398.1, KAI3427400.1, KAI3427378.1, KAI3427386.1, KAI3427385.1, KAI3427416.1, KAI3427424.1, KAI3427388.1, KAI3427408.1	PRW05921.1, PRW05902.1, PRW05910.1
OG0000019	KAI3424157.1	PRW44257.1
OG0000019	KAI3427076.1	PRW50812.1
OG0000020	KAI3433853.1, KAI3433943.1	PRW60463.1, PRW60340.1, PRW60239.1, PRW20904.1, PRW20905.1, PRW60632.1, PRW56127.1, PRW59997.1, PRW45512.1
OG0000021	KAI3425130.1	PRW33522.1
OG0000021	KAI3430353.1	PRW21099.1
OG0000021	KAI3430778.1	PRW21126.1
OG0000022	KAI3430771.1	PRW21073.1
OG0000023	KAI3437552.1	PRW20503.1
OG0000023	KAI3424143.1	PRW45379.1, PRW45644.1
OG0000024	KAI3423982.1	PRW58888.1, PRW21009.1, PRW20986.1, PRW21137.1, PRW21050.1, PRW20972.1, PRW20977.1, PRW45511.1, PRW56545.1, PRW33266.1, PRW32643.1
OG0000025	KAI3424239.1	PRW61474.1
OG0000025	KAI3433312.1	PRW58220.1
OG0000025	KAI3425251.1	PRW33672.1
OG0000025	KAI3425243.1	PRW33669.1
OG0000026	KAI3428261.1, KAI3428260.1	PRW45604.1, PRW45530.1, PRW57488.1, PRW45427.1, PRW45707.1, PRW56577.1, PRW56392.1, PRW45737.1, PRW21008.1
OG0000028	KAI3436420.1, KAI3434613.1, KAI3436464.1, KAI3426877.1, KAI3436439.1, KAI3436496.1, KAI3436821.1, KAI3436443.1, KAI3434665.1, KAI3434659.1, KAI3434621.1, KAI3434653.1, KAI3434629.1, KAI3433501.1, KAI3433499.1, KAI3433353.1, KAI3433481.1, KAI3433467.1, KAI3433468.1, KAI3433459.1, KAI3433479.1	PRW57555.1
OG0000029	KAI3434646.1, KAI3426836.1	PRW50752.1
OG0000031	KAI3433912.1	PRW58127.1
OG0000031	KAI3426283.1	PRW20327.1, PRW20328.1, PRW61549.1, PRW44907.1, PRW44910.1, PRW45179.1
OG0000031	KAI3424311.1	PRW20326.1
OG0000031	KAI3426981.1	PRW51017.1, PRW51016.1, PRW51015.1
OG0000032	KAI3425127.1	PRW33634.1, PRW56132.1, PRW33982.1, PRW58089.1, PRW45185.1, PRW58293.1, PRW57219.1, PRW57115.1
OG0000032	KAI3428610.1	PRW44420.1
OG0000033	KAI3424158.1	PRW60879.1
OG0000033	KAI3424231.1	PRW61198.1, PRW61339.1
OG0000033	KAI3430489.1	PRW33008.1
OG0000034	KAI3437678.1, KAI3437679.1, KAI3437680.1	PRW56247.1
OG0000034	KAI3436419.1	PRW56123.1
OG0000034	KAI3431571.1	PRW58679.1, PRW33721.1
OG0000035	KAI3424711.1	PRW45736.1
OG0000035	KAI3427363.1, KAI3423962.1, KAI3433944.1	PRW58414.1, PRW58712.1
OG0000036	KAI3438051.1	PRW57195.1
OG0000037	KAI3423989.1	PRW32494.1
OG0000037	KAI3430592.1	PRW32855.1, PRW32856.1
OG0000038	KAI3436790.1	PRW55946.1
OG0000038	KAI3424387.1	PRW59662.1, PRW60004.1
OG0000040	KAI3432833.1, KAI3434476.1, KAI3432406.1, KAI3432357.1, KAI3432840.1, KAI3432804.1, KAI3432803.1, KAI3432312.1, KAI3432326.1, KAI3432369.1, KAI3434547.1, KAI3432841.1, KAI3432343.1, KAI3434546.1, KAI3434542.1, KAI3432323.1, KAI3432356.1, KAI3432314.1, KAI3432320.1, KAI3432842.1	PRW20764.1
OG0000041	KAI3426015.1	PRW56085.1, PRW57256.1, PRW57466.1, PRW59858.1, PRW58322.1, PRW58189.1, PRW44441.1, PRW20716.1, PRW33960.1, PRW33961.1, PRW33854.1, PRW33843.1, PRW33771.1, PRW34070.1
OG0000042	KAI3437937.1	PRW33787.1
OG0000044	KAI3428080.1, KAI3428081.1, KAI3439060.1, KAI3432337.1, KAI3432374.1, KAI3432564.1, KAI3425701.1	PRW56763.1
OG0000045	KAI3430308.1	PRW20580.1
OG0000045	KAI3430325.1, KAI3430315.1, KAI3430298.1, KAI3430319.1	PRW20481.1, PRW20571.1
OG0000046	KAI3436294.1, KAI3436273.1, KAI3432594.1, KAI3431532.1	PRW39252.1, PRW57942.1, PRW39310.1
OG0000046	KAI3423403.1, KAI3431764.1	PRW57548.1
OG0000049	KAI3433844.1	PRW58266.1
OG0000049	KAI3434593.1	PRW57724.1, PRW57916.1
OG0000051	KAI3433911.1	PRW58244.1
OG0000051	KAI3426260.1	PRW45026.1
OG0000052	KAI3432788.1	PRW58009.1
OG0000052	KAI3437829.1	PRW61437.1, PRW57359.1
OG0000053	KAI3424164.1	PRW20392.1
OG0000053	KAI3434870.1	PRW33245.1
OG0000053	KAI3423972.1	PRW32665.1
OG0000053	KAI3425144.1, KAI3425150.1, KAI3425146.1	PRW33726.1
OG0000054	KAI3432308.1, KAI3432372.1	PRW61460.1
OG0000054	KAI3432347.1, KAI3432344.1	PRW45171.1
OG0000054	KAI3432850.1	PRW58418.1, PRW61424.1, PRW60899.1
OG0000055	KAI3429335.1	PRW60703.1, PRW60808.1, PRW33630.1
OG0000055	KAI3429571.1	PRW60778.1
OG0000055	KAI3433548.1	PRW58352.1
OG0000056	KAI3438825.1	PRW59185.1, PRW59186.1
OG0000056	KAI3438819.1	PRW59067.1, PRW59066.1, PRW32982.1
OG0000057	KAI3436537.1, KAI3436536.1	PRW56437.1
OG0000058	KAI3430299.1, KAI3430331.1, KAI3430327.1, KAI3430313.1, KAI3430328.1, KAI3430300.1, KAI3430374.1, KAI3430281.1, KAI3430280.1, KAI3430341.1, KAI3430320.1, KAI3430316.1, KAI3430371.1, KAI3430365.1, KAI3430297.1	PRW59456.1, PRW59590.1
OG0000059	KAI3424079.1	PRW20365.1
OG0000059	KAI3424250.1	PRW61311.1
OG0000060	KAI3430490.1	PRW33027.1, PRW32920.1
OG0000060	KAI3425198.1	PRW33684.1, PRW33683.1, PRW33686.1, PRW33685.1
OG0000061	KAI3427234.1	PRW50777.1
OG0000062	KAI3437696.1	PRW20949.1, PRW20948.1
OG0000062	KAI3427376.1	PRW05920.1
OG0000063	KAI3434726.1	PRW58069.1, PRW58070.1
OG0000063	KAI3434723.1	PRW57845.1
OG0000063	KAI3426274.1	PRW44238.1
OG0000064	KAI3438305.1	PRW57163.1
OG0000064	KAI3423948.1	PRW61338.1
OG0000064	KAI3430249.1	PRW20516.1, PRW20517.1, PRW20515.1
OG0000065	KAI3434427.1	PRW39236.1, PRW39062.1
OG0000066	KAI3434980.1	PRW45119.1, PRW45120.1
OG0000066	KAI3425897.1	PRW21122.1
OG0000066	KAI3438716.1	PRW57956.1, PRW05882.1
OG0000067	KAI3425376.1	PRW33653.1
OG0000068	KAI3424092.1	PRW61055.1
OG0000068	KAI3438326.1	PRW56902.1
OG0000068	KAI3429823.1	PRW60626.1
OG0000069	KAI3429223.1	PRW60649.1
OG0000070	KAI3428195.1	PRW56858.1
OG0000071	KAI3429492.1, KAI3425143.1, KAI3425151.1, KAI3425145.1	PRW33563.1, PRW33647.1, PRW33318.1
OG0000072	KAI3427123.1, KAI3427135.1	PRW50814.1
OG0000074	KAI3438615.1	PRW58909.1
OG0000074	KAI3438616.1	PRW59171.1, PRW59170.1
OG0000076	KAI3425006.1	PRW56243.1
OG0000077	KAI3434988.1, KAI3434897.1, KAI3434987.1, KAI3434996.1, KAI3426367.1, KAI3436013.1, KAI3436010.1	PRW34034.1
OG0000078	KAI3433894.1	PRW60156.1, PRW59318.1
OG0000078	KAI3424325.1	PRW20340.1
OG0000079	KAI3436169.1	PRW20382.1
OG0000080	KAI3434528.1	PRW20711.1
OG0000081	KAI3430735.1, KAI3430734.1, KAI3430733.1, KAI3431005.1, KAI3423184.1, KAI3423182.1, KAI3431008.1, KAI3430731.1, KAI3431007.1, KAI3423181.1, KAI3423185.1, KAI3430732.1, KAI3431006.1, KAI3423183.1	PRW32664.1
OG0000082	KAI3426835.1, KAI3434647.1, KAI3435037.1, KAI3435038.1, KAI3428413.1	PRW32675.1
OG0000083	KAI3425808.1	PRW44448.1
OG0000083	KAI3433889.1	PRW59521.1
OG0000086	KAI3436857.1	PRW55890.1
OG0000086	KAI3436016.1, KAI3424313.1	PRW20409.1, PRW20329.1
OG0000088	KAI3438445.1	PRW58939.1
OG0000088	KAI3424242.1	PRW61361.1
OG0000089	KAI3437810.1	PRW57105.1, PRW57106.1
OG0000089	KAI3437785.1	PRW57374.1
OG0000090	KAI3427919.1	PRW56509.1
OG0000090	KAI3426390.1	PRW44975.1
OG0000090	KAI3428238.1	PRW56613.1
OG0000091	KAI3423959.1, KAI3423956.1, KAI3423958.1, KAI3438048.1	PRW45711.1
OG0000092	KAI3429253.1	PRW60803.1
OG0000092	KAI3429252.1	PRW57248.1, PRW56102.1
OG0000093	KAI3438200.1, KAI3423939.1, KAI3429363.1, KAI3429364.1	PRW57063.1
OG0000093	KAI3429366.1	PRW60425.1
OG0000094	KAI3436406.1, KAI3432747.1	PRW61610.1, PRW61273.1
OG0000094	KAI3432416.1	PRW61126.1, PRW61125.1
OG0000095	KAI3429272.1, KAI3429271.1	PRW60687.1
OG0000096	KAI3429612.1	PRW60806.1
OG0000096	KAI3423807.1	PRW57760.1
OG0000097	KAI3431578.1	PRW39133.1, PRW39132.1, PRW39134.1
OG0000098	KAI3436474.1	PRW56328.1
OG0000098	KAI3433293.1	PRW58429.1
OG0000098	KAI3424803.1	PRW45741.1
OG0000099	KAI3432794.1	PRW20238.1, PRW58264.1, PRW58878.1, PRW56142.1, PRW57932.1, PRW34090.1
OG0000101	KAI3436310.1	PRW59599.1, PRW59973.1, PRW60229.1, PRW60749.1, PRW60111.1, PRW56724.1, PRW56479.1, PRW58085.1, PRW58723.1, PRW56665.1, PRW56812.1, PRW59859.1
OG0000102	KAI3430483.1	PRW33047.1
OG0000103	KAI3438724.1	PRW59363.1
OG0000103	KAI3438725.1	PRW58819.1
OG0000103	KAI3438723.1	PRW59001.1
OG0000104	KAI3427061.1	PRW59159.1, PRW60771.1, PRW51136.1, PRW33292.1
OG0000105	KAI3429256.1	PRW60906.1
OG0000105	KAI3429257.1	PRW60303.1
OG0000106	KAI3435969.1	PRW59499.1
OG0000107	KAI3433500.1	PRW60486.1, PRW58172.1, PRW58278.1
OG0000108	KAI3438100.1	PRW57000.1
OG0000108	KAI3433483.1	PRW58100.1
OG0000109	KAI3431593.1	PRW39079.1
OG0000110	KAI3434780.1	PRW58034.1
OG0000110	KAI3432748.1	PRW61254.1
OG0000110	KAI3431777.1	PRW51042.1
OG0000111	KAI3431594.1	PRW57471.1, PRW58695.1, PRW44583.1
OG0000112	KAI3436619.1	PRW56081.1, PRW56311.1, PRW56194.1, PRW56174.1, PRW56155.1, PRW55939.1, PRW56289.1, PRW56254.1, PRW56253.1
OG0000113	KAI3425328.1	PRW20418.1
OG0000114	KAI3434709.1	PRW57614.1
OG0000114	KAI3434710.1	PRW57579.1
OG0000115	KAI3428548.1, KAI3434421.1	PRW20690.1
OG0000116	KAI3425912.1	PRW57973.1, PRW57972.1, PRW57971.1
OG0000117	KAI3438944.1	PRW58844.1
OG0000118	KAI3438193.1, KAI3438192.1	PRW56905.1, PRW56904.1
OG0000119	KAI3428567.1	PRW44454.1, PRW44455.1
OG0000119	KAI3436333.1	PRW56212.1
OG0000120	KAI3423889.1	PRW32517.1
OG0000120	KAI3423979.1, KAI3423978.1, KAI3423977.1	PRW32650.1, PRW32651.1
OG0000121	KAI3438829.1, KAI3424168.1, KAI3424169.1, KAI3424171.1, KAI3424167.1	PRW57457.1
OG0000122	KAI3425227.1, KAI3425222.1	PRW50851.1, PRW50916.1, PRW50880.1, PRW33699.1, PRW33593.1
OG0000123	KAI3431440.1, KAI3431439.1, KAI3431441.1, KAI3431444.1, KAI3438920.1, KAI3438971.1, KAI3438970.1	PRW39083.1, PRW39190.1
OG0000125	KAI3430890.1	PRW33615.1
OG0000126	KAI3436077.1, KAI3432787.1	PRW60132.1
OG0000127	KAI3438784.1	PRW59338.1
OG0000127	KAI3436555.1	PRW55972.1
OG0000128	KAI3436117.1, KAI3436116.1	PRW59917.1, PRW59916.1
OG0000129	KAI3430368.1, KAI3430355.1	PRW20466.1
OG0000129	KAI3430367.1	PRW20465.1
OG0000131	KAI3428025.1, KAI3428026.1, KAI3428027.1, KAI3428024.1	PRW56460.1, PRW57978.1
OG0000132	KAI3439122.1, KAI3439119.1, KAI3439118.1	PRW59020.1, PRW59019.1
OG0000133	KAI3436087.1	PRW59544.1
OG0000133	KAI3436118.1	PRW59907.1
OG0000134	KAI3434481.1	PRW20642.1
OG0000135	KAI3427004.1, KAI3427005.1	PRW51140.1
OG0000135	KAI3427163.1	PRW50981.1
OG0000136	KAI3431576.1	PRW39377.1
OG0000137	KAI3427090.1	PRW50926.1
OG0000138	KAI3434435.1, KAI3434437.1	PRW32529.1, PRW58283.1, PRW34022.1, PRW56319.1, PRW33979.1, PRW20263.1, PRW05894.1, PRW20742.1
OG0000139	KAI3436719.1	PRW56206.1
OG0000139	KAI3436720.1, KAI3423290.1	PRW55911.1, PRW44508.1
OG0000140	KAI3429255.1	PRW60820.1
OG0000141	KAI3429557.1	PRW58584.1
OG0000141	KAI3430758.1	PRW21118.1, PRW21117.1
OG0000142	KAI3435007.1	PRW34062.1
OG0000143	KAI3425038.1	PRW45452.1
OG0000143	KAI3426371.1	PRW45172.1, PRW45156.1
OG0000144	KAI3430812.1	PRW20982.1
OG0000144	KAI3430813.1, KAI3430814.1	PRW20983.1
OG0000145	KAI3435659.1	PRW59977.1
OG0000145	KAI3435657.1	PRW59690.1
OG0000145	KAI3435658.1	PRW60031.1
OG0000146	KAI3427194.1	PRW51174.1
OG0000146	KAI3427394.1	PRW57508.1
OG0000147	KAI3427152.1	PRW51019.1
OG0000147	KAI3427441.1	PRW05945.1
OG0000148	KAI3424368.1	PRW20355.1
OG0000149	KAI3432868.1, KAI3432878.1, KAI3432822.1, KAI3432824.1, KAI3432825.1, KAI3432820.1	PRW20519.1, PRW60994.1
OG0000150	KAI3428431.1	PRW45590.1, PRW39183.1, PRW44373.1, PRW44372.1, PRW39082.1, PRW39268.1, PRW33166.1, PRW39226.1, PRW58052.1, PRW21085.1, PRW44546.1, PRW44535.1
OG0000152	KAI3427256.1	PRW57808.1
OG0000152	KAI3437808.1	PRW57335.1
OG0000153	KAI3430567.1	PRW59345.1
OG0000153	KAI3425348.1	PRW59245.1, PRW59428.1
OG0000155	KAI3437731.1	PRW20938.1
OG0000156	KAI3425366.1, KAI3425370.1, KAI3425364.1, KAI3425362.1	PRW33580.1, PRW33579.1
OG0000157	KAI3430347.1	PRW58415.1, PRW20534.1
OG0000157	KAI3435028.1	PRW33753.1
OG0000158	KAI3435882.1	PRW60881.1
OG0000159	KAI3428777.1, KAI3428778.1, KAI3426504.1	PRW39250.1
OG0000160	KAI3439008.1	PRW59366.1
OG0000160	KAI3439020.1, KAI3439019.1	PRW59146.1, PRW59084.1
OG0000161	KAI3428597.1	PRW44544.1
OG0000161	KAI3428596.1	PRW60854.1, PRW60251.1
OG0000161	KAI3428599.1, KAI3428598.1	PRW44363.1
OG0000163	KAI3424829.1	PRW45341.1
OG0000163	KAI3430893.1	PRW21096.1
OG0000167	KAI3433286.1	PRW58560.1, PRW58559.1
OG0000167	KAI3433287.1	PRW58392.1
OG0000167	KAI3433288.1	PRW58310.1
OG0000168	KAI3436814.1	PRW56057.1
OG0000168	KAI3427078.1, KAI3427077.1	PRW50795.1, PRW50796.1
OG0000169	KAI3434856.1	PRW61494.1
OG0000169	KAI3436665.1	PRW56011.1, PRW56010.1
OG0000170	KAI3423825.1, KAI3426963.1	PRW50918.1
OG0000171	KAI3436861.1	PRW56299.1
OG0000172	KAI3438585.1, KAI3438682.1	PRW59395.1, PRW59396.1
OG0000174	KAI3428134.1	PRW56533.1, PRW56651.1, PRW56650.1, PRW56505.1, PRW33761.1, PRW56729.1, PRW44345.1
OG0000175	KAI3436189.1	PRW59842.1
OG0000175	KAI3432273.1	PRW61050.1
OG0000175	KAI3439045.1	PRW20437.1
OG0000177	KAI3432601.1, KAI3432602.1	PRW61082.1, PRW61079.1, PRW61080.1, PRW61081.1
OG0000178	KAI3431839.1	PRW56188.1
OG0000179	KAI3425241.1	PRW33631.1
OG0000179	KAI3435769.1, KAI3435770.1	PRW59953.1
OG0000180	KAI3439002.1	PRW58855.1, PRW57682.1
OG0000180	KAI3434688.1	PRW57741.1, PRW57747.1
OG0000181	KAI3424095.1	PRW21103.1
OG0000181	KAI3423988.1	PRW21102.1
OG0000182	KAI3433869.1	PRW58275.1
OG0000182	KAI3433862.1	PRW58578.1
OG0000183	KAI3425045.1	PRW45326.1
OG0000183	KAI3429867.1	PRW60672.1
OG0000184	KAI3429733.1	PRW60584.1
OG0000184	KAI3429734.1	PRW60368.1
OG0000184	KAI3429757.1	PRW60738.1
OG0000185	KAI3424785.1, KAI3424784.1	PRW45618.1
OG0000186	KAI3434380.1	PRW20689.1, PRW20688.1
OG0000187	KAI3426464.1, KAI3430784.1	PRW45212.1
OG0000187	KAI3430762.1	PRW21060.1
OG0000188	KAI3439018.1, KAI3439025.1, KAI3439026.1	PRW58738.1, PRW58739.1, PRW58740.1
OG0000189	KAI3438476.1	PRW59088.1, PRW58726.1
OG0000189	KAI3438478.1, KAI3438481.1, KAI3438482.1, KAI3438479.1, KAI3438484.1, KAI3438480.1, KAI3438477.1	PRW33569.1
OG0000190	KAI3428407.1, KAI3428408.1	PRW44270.1
OG0000190	KAI3428404.1	PRW44237.1
OG0000191	KAI3435822.1	PRW59477.1
OG0000191	KAI3436101.1	PRW59958.1
OG0000191	KAI3435823.1	PRW57270.1
OG0000192	KAI3433906.1, KAI3433920.1, KAI3433921.1	PRW58096.1, PRW58097.1
OG0000193	KAI3430704.1	PRW20241.1
OG0000194	KAI3433611.1, KAI3433618.1	PRW58084.1, PRW58083.1
OG0000195	KAI3424719.1	PRW45471.1
OG0000195	KAI3424720.1	PRW45722.1
OG0000196	KAI3431342.1	PRW59751.1
OG0000196	KAI3438937.1	PRW32572.1
OG0000196	KAI3430975.1	PRW21043.1
OG0000197	KAI3435989.1, KAI3435990.1	PRW59620.1
OG0000198	KAI3430894.1	PRW21078.1
OG0000199	KAI3430819.1	PRW21121.1
OG0000200	KAI3425734.1	PRW58056.1, PRW58055.1
OG0000200	KAI3425733.1, KAI3425732.1	PRW57823.1
OG0000202	KAI3432264.1, KAI3428137.1, KAI3428135.1	PRW57985.1
OG0000205	KAI3425056.1	PRW45536.1
OG0000205	KAI3425057.1	PRW32659.1
OG0000206	KAI3426017.1, KAI3426010.1	PRW56280.1, PRW33790.1
OG0000208	KAI3434957.1	PRW33873.1
OG0000209	KAI3432815.1	PRW61234.1
OG0000210	KAI3433504.1	PRW44319.1
OG0000210	KAI3436487.1	PRW44313.1, PRW44314.1
OG0000210	KAI3436488.1	PRW55924.1
OG0000211	KAI3430458.1	PRW21030.1
OG0000211	KAI3430244.1	PRW20576.1
OG0000212	KAI3429773.1	PRW61276.1, PRW60898.1
OG0000213	KAI3431735.1	PRW33231.1, PRW33232.1
OG0000214	KAI3431690.1	PRW33243.1, PRW33242.1
OG0000214	KAI3431689.1	PRW33254.1
OG0000216	KAI3438909.1	PRW58831.1
OG0000216	KAI3438099.1	PRW57353.1
OG0000218	KAI3438633.1, KAI3438612.1, KAI3438611.1	PRW59440.1, PRW59441.1, PRW59439.1
OG0000220	KAI3426926.1	PRW51168.1
OG0000220	KAI3426917.1, KAI3426915.1	PRW51183.1
OG0000221	KAI3427047.1, KAI3437563.1	PRW50841.1
OG0000221	KAI3427040.1	PRW50905.1, PRW50904.1
OG0000222	KAI3430625.1	PRW20187.1
OG0000222	KAI3430290.1	PRW33807.1, PRW45031.1
OG0000223	KAI3429352.1	PRW60358.1, PRW60544.1, PRW60545.1, PRW56445.1
OG0000224	KAI3436447.1, KAI3436449.1, KAI3436450.1	PRW20912.1, PRW56041.1
OG0000225	KAI3427242.1, KAI3427243.1	PRW50790.1, PRW50788.1, PRW50789.1, PRW50787.1
OG0000226	KAI3436138.1, KAI3432639.1, KAI3432638.1	PRW61590.1
OG0000227	KAI3428353.1	PRW56674.1
OG0000228	KAI3428332.1	PRW56510.1
OG0000228	KAI3428331.1	PRW56468.1
OG0000228	KAI3427233.1	PRW56431.1
OG0000229	KAI3428790.1	PRW61209.1, PRW60209.1, PRW60391.1
OG0000230	KAI3426056.1	PRW45046.1
OG0000231	KAI3432754.1	PRW58025.1, PRW58026.1, PRW58027.1
OG0000232	KAI3438106.1	PRW57337.1
OG0000232	KAI3438104.1, KAI3438105.1	PRW57465.1, PRW33619.1
OG0000233	KAI3424986.1	PRW45437.1
OG0000233	KAI3436602.1	PRW56173.1
OG0000234	KAI3431547.1	PRW39384.1
OG0000234	KAI3431537.1	PRW45398.1
OG0000235	KAI3428279.1, KAI3428280.1, KAI3428281.1	PRW56757.1, PRW56581.1
OG0000236	KAI3436451.1, KAI3436456.1, KAI3436463.1	PRW56146.1, PRW56145.1
OG0000237	KAI3436645.1, KAI3433358.1	PRW56224.1
OG0000237	KAI3436646.1	PRW55937.1
OG0000238	KAI3436610.1	PRW56168.1
OG0000238	KAI3436609.1	PRW56076.1
OG0000239	KAI3425089.1, KAI3436580.1	PRW56028.1, PRW56027.1
OG0000240	KAI3436739.1, KAI3428472.1, KAI3428473.1, KAI3436740.1	PRW56275.1, PRW33206.1
OG0000241	KAI3429548.1	PRW60348.1
OG0000242	KAI3438442.1	PRW58882.1
OG0000242	KAI3429690.1	PRW60751.1
OG0000243	KAI3429350.1	PRW60822.1
OG0000244	KAI3429327.1	PRW60812.1
OG0000246	KAI3433585.1	PRW58416.1
OG0000246	KAI3429755.1	PRW60786.1
OG0000247	KAI3424686.1	PRW45509.1
OG0000247	KAI3435031.1	PRW33780.1
OG0000248	KAI3434894.1	PRW33896.1, PRW33897.1
OG0000248	KAI3434901.1	PRW33893.1
OG0000249	KAI3434963.1, KAI3434965.1, KAI3434964.1, KAI3434962.1	PRW33864.1
OG0000250	KAI3439123.1, KAI3424823.1	PRW20671.1
OG0000251	KAI3429792.1	PRW60746.1
OG0000251	KAI3429850.1	PRW60243.1
OG0000252	KAI3430582.1	PRW32994.1
OG0000252	KAI3429628.1	PRW60345.1
OG0000253	KAI3429645.1	PRW60553.1, PRW60552.1, PRW60551.1
OG0000254	KAI3426405.1, KAI3423897.1, KAI3426404.1, KAI3432795.1	PRW44952.1
OG0000255	KAI3431343.1, KAI3431338.1	PRW58934.1
OG0000256	KAI3438393.1	PRW57231.1
OG0000256	KAI3430418.1	PRW33056.1
OG0000257	KAI3433930.1, KAI3433926.1	PRW58240.1, PRW58239.1
OG0000257	KAI3433927.1	PRW58183.1
OG0000258	KAI3433843.1	PRW58184.1, PRW58107.1
OG0000259	KAI3433559.1, KAI3433565.1, KAI3433564.1	PRW58356.1
OG0000261	KAI3436460.1, KAI3436332.1	PRW56331.1
OG0000262	KAI3435807.1	PRW60062.1
OG0000262	KAI3435832.1	PRW59548.1
OG0000263	KAI3435995.1	PRW59908.1
OG0000264	KAI3436365.1, KAI3430502.1	PRW32866.1, PRW32867.1
OG0000265	KAI3426081.1	PRW33786.1
OG0000265	KAI3425960.1	PRW34010.1, PRW45349.1
OG0000266	KAI3434822.1, KAI3434821.1	PRW57674.1
OG0000266	KAI3436255.1	PRW59875.1
OG0000267	KAI3424913.1	PRW32538.1
OG0000267	KAI3426903.1	PRW51131.1
OG0000268	KAI3430504.1	PRW32937.1, PRW32935.1, PRW32936.1
OG0000269	KAI3430873.1	PRW21130.1
OG0000269	KAI3437760.1, KAI3436527.1	PRW56012.1
OG0000270	KAI3438133.1	PRW56922.1
OG0000270	KAI3438132.1	PRW57240.1
OG0000271	KAI3431845.1	PRW18346.1
OG0000272	KAI3425868.1	PRW57821.1
OG0000272	KAI3425867.1	PRW57749.1
OG0000273	KAI3424453.1	PRW61242.1
OG0000273	KAI3424452.1	PRW61349.1, PRW61348.1, PRW61350.1
OG0000276	KAI3429235.1, KAI3430688.1	PRW33233.1
OG0000278	KAI3426147.1, KAI3426146.1	PRW61347.1, PRW45158.1
OG0000278	KAI3426149.1, KAI3426148.1	PRW44860.1, PRW61533.1
OG0000279	KAI3432403.1, KAI3432407.1	PRW61457.1
OG0000279	KAI3436567.1	PRW56277.1
OG0000280	KAI3434791.1	PRW57824.1
OG0000281	KAI3428299.1, KAI3437702.1	PRW59940.1
OG0000282	KAI3424051.1	PRW60393.1
