Orthogroup	oneline_A99_genome_proteins	oneline_c_vulgaris_genome_proteins
OG0000043	scaffold23.g4174.t1, scaffold318.g5142.t1, scaffold2.g7093.t1, scaffold9.g3314.t1, scaffold241.g5079.t1, scaffold2.g7123.t1, scaffold2.g7124.t1, scaffold14.g1186.t1	KAI3436335.1
OG0000043	scaffold2.g7122.t1, scaffold8.g1731.t1, scaffold6.g2495.t1	KAI3432781.1, KAI3424825.1
OG0000043	scaffold27.g6006.t1, scaffold36.g5061.t1	KAI3432469.1, KAI3436401.1
OG0000044	scaffold9.g3233.t1	KAI3432564.1
OG0000045	scaffold13.g353.t1	KAI3430308.1
OG0000045	scaffold13.g346.t1	KAI3430319.1
OG0000047	scaffold2.g7380.t1	KAI3430586.1
OG0000049	scaffold25.g5120.t1, scaffold25.g5123.t1	KAI3434593.1
OG0000051	scaffold1.g5290.t1	KAI3433911.1
OG0000051	scaffold8.g1581.t1	KAI3434525.1
OG0000052	scaffold26.g3362.t1, scaffold11.g4068.t1	KAI3432788.1
OG0000052	scaffold11.g4069.t1, scaffold26.g3340.t1, scaffold26.g3341.t1, scaffold26.g3342.t1, scaffold20.g7847.t1, scaffold31.g3799.t1, scaffold31.g3800.t1	KAI3437829.1
OG0000053	scaffold7.g3463.t1	KAI3424164.1
OG0000053	scaffold12.g8256.t1	KAI3426349.1, KAI3434870.1, KAI3423972.1, KAI3425144.1, KAI3425150.1, KAI3425146.1
OG0000055	scaffold17.g586.t1	KAI3429335.1
OG0000055	scaffold5.g995.t1	KAI3429571.1, KAI3433548.1
OG0000056	scaffold5.g888.t1	KAI3438825.1
OG0000056	scaffold20.g7767.t1	KAI3438819.1
OG0000059	scaffold2.g7015.t1	KAI3424079.1
OG0000059	scaffold2.g6941.t1, scaffold12.g8028.t1, scaffold12.g8005.t1, scaffold12.g7996.t1, scaffold2.g6911.t1, scaffold2.g6899.t1	KAI3424250.1
OG0000060	scaffold5.g900.t1	KAI3430490.1, KAI3436359.1
OG0000060	scaffold24.g2974.t1	KAI3425198.1
OG0000061	scaffold12.g8275.t1	KAI3427234.1
OG0000062	scaffold19.g1806.t1, scaffold8.g1419.t1	KAI3437696.1
OG0000062	scaffold2.g7111.t1	KAI3427376.1
OG0000062	scaffold19.g1805.t1	KAI3437697.1
OG0000063	scaffold7.g3548.t1	KAI3434726.1
OG0000063	scaffold7.g3631.t1	KAI3434723.1
OG0000063	scaffold8.g1589.t1, scaffold1.g5347.t1	KAI3426274.1
OG0000064	scaffold21.g2159.t1	KAI3438305.1
OG0000064	scaffold6.g2717.t1	KAI3426064.1, KAI3423948.1, KAI3430249.1
OG0000065	scaffold11.g3945.t1	KAI3434427.1, KAI3432752.1, KAI3432751.1, KAI3432742.1, KAI3432731.1, KAI3432729.1, KAI3432722.1, KAI3429665.1, KAI3429666.1, KAI3429670.1, KAI3429667.1
OG0000066	scaffold28.g7595.t1	KAI3434980.1
OG0000066	scaffold12.g8238.t1	KAI3436337.1
OG0000066	scaffold2.g7296.t1	KAI3425897.1, KAI3438716.1
OG0000068	scaffold12.g8197.t1	KAI3424092.1, KAI3424425.1
OG0000068	scaffold21.g2087.t1	KAI3438326.1
OG0000068	scaffold11.g3909.t1	KAI3429823.1
OG0000069	scaffold7.g3563.t1	KAI3429223.1
OG0000070	scaffold2.g7418.t1	KAI3428195.1
OG0000071	scaffold2.g7456.t1	KAI3429492.1, KAI3425143.1, KAI3425151.1, KAI3425145.1
OG0000074	scaffold5.g965.t1	KAI3438615.1
OG0000074	scaffold13.g368.t1	KAI3438616.1, KAI3438617.1, KAI3429786.1
OG0000076	scaffold6.g2727.t1	KAI3425006.1
OG0000077	scaffold1.g5282.t1	KAI3434988.1, KAI3434897.1, KAI3434987.1, KAI3434996.1
OG0000086	scaffold2.g6980.t1	KAI3436857.1
OG0000086	scaffold13.g295.t1, scaffold12.g8260.t1	KAI3436016.1, KAI3424313.1
OG0000088	scaffold19.g1824.t1, scaffold12.g8201.t1	KAI3438445.1
OG0000088	scaffold1.g5368.t1, scaffold2.g6901.t1, scaffold8.g1512.t1	KAI3424242.1
OG0000089	scaffold19.g1796.t1	KAI3437810.1
OG0000089	scaffold19.g1784.t1	KAI3437784.1, KAI3437785.1
OG0000090	scaffold22.g6141.t1	KAI3427919.1
OG0000090	scaffold15.g4283.t1	KAI3426390.1
OG0000090	scaffold18.g2030.t1	KAI3428238.1
OG0000091	scaffold21.g2186.t1	KAI3423959.1, KAI3423956.1, KAI3423958.1, KAI3438048.1
OG0000092	scaffold9.g3015.t1	KAI3429253.1
OG0000092	scaffold9.g3017.t1	KAI3429252.1
OG0000093	scaffold9.g3132.t1	KAI3429366.1
OG0000094	scaffold26.g3358.t1, scaffold11.g3879.t1	KAI3432416.1
OG0000096	scaffold11.g3928.t1	KAI3429612.1
OG0000096	scaffold4.g4691.t1	KAI3423807.1
OG0000097	scaffold40.g5162.t1	KAI3431578.1
OG0000097	scaffold40.g5161.t1	KAI3431579.1
OG0000098	scaffold1.g5569.t1	KAI3433293.1
OG0000102	scaffold2.g7247.t1	KAI3430483.1
OG0000102	scaffold2.g7244.t1	KAI3430479.1
OG0000103	scaffold5.g722.t1	KAI3438724.1, KAI3438725.1
OG0000103	scaffold5.g906.t1	KAI3438723.1
OG0000104	scaffold30.g4439.t1, scaffold5.g963.t1	KAI3427061.1
OG0000105	scaffold10.g2347.t1	KAI3429256.1
OG0000105	scaffold9.g3025.t1	KAI3429257.1
OG0000106	scaffold8.g1577.t1	KAI3435969.1
OG0000107	scaffold7.g3496.t1, scaffold19.g1842.t1, scaffold84.g4561.t1, scaffold7.g3714.t1	KAI3433500.1
OG0000108	scaffold21.g2145.t1	KAI3438100.1
OG0000108	scaffold455.g5909.t1, scaffold1.g5662.t1	KAI3433483.1
OG0000109	scaffold21.g2167.t1	KAI3431593.1
OG0000110	scaffold3.g6213.t1	KAI3434780.1
OG0000110	scaffold10.g2292.t1, scaffold12.g8024.t1	KAI3432748.1, KAI3431777.1
OG0000111	scaffold10.g2456.t1, scaffold10.g2339.t1	KAI3431594.1
OG0000112	scaffold6.g2756.t1	KAI3436619.1
OG0000113	scaffold7.g3579.t1	KAI3425328.1
OG0000114	scaffold7.g3630.t1	KAI3434710.1
OG0000115	scaffold23.g4091.t1	KAI3428548.1, KAI3434421.1
OG0000117	scaffold30.g4462.t1, scaffold30.g4425.t1, scaffold30.g4452.t1, scaffold30.g4455.t1, scaffold30.g4447.t1, scaffold30.g4463.t1, scaffold30.g4459.t1, scaffold36.g5070.t1	KAI3438944.1, KAI3439124.1
OG0000118	scaffold1.g5676.t1	KAI3438192.1
OG0000119	scaffold4.g4954.t1	KAI3428567.1, KAI3436333.1
OG0000120	scaffold25.g5081.t1	KAI3423889.1
OG0000120	scaffold1.g5831.t1	KAI3423978.1, KAI3423977.1
OG0000121	scaffold2.g7483.t1	KAI3438829.1
OG0000121	scaffold22.g6072.t1	KAI3424168.1, KAI3424169.1, KAI3424171.1, KAI3424167.1
OG0000122	scaffold2.g7266.t1, scaffold2.g7265.t1	KAI3425227.1, KAI3425222.1
OG0000126	scaffold10.g2257.t1, scaffold20.g7696.t1, scaffold20.g7694.t1, scaffold3.g6561.t1	KAI3436077.1
OG0000126	scaffold20.g7695.t1, scaffold2.g7441.t1, scaffold16.g84.t1	KAI3432787.1
OG0000127	scaffold4.g4802.t1	KAI3438784.1
OG0000127	scaffold16.g85.t1, scaffold20.g7697.t1, scaffold6.g2833.t1, scaffold6.g2677.t1	KAI3436555.1
OG0000129	scaffold13.g328.t1	KAI3430368.1, KAI3430355.1
OG0000129	scaffold13.g318.t1	KAI3430367.1
OG0000130	scaffold1.g5819.t1, scaffold1.g5668.t1, scaffold13.g372.t1, scaffold14.g1345.t1, scaffold28.g7540.t1, scaffold4.g4581.t1, scaffold17.g422.t1	KAI3425326.1, KAI3425327.1
OG0000131	scaffold18.g2061.t1, scaffold5.g626.t1	KAI3428025.1, KAI3428026.1, KAI3428027.1, KAI3428024.1
OG0000132	scaffold5.g640.t1	KAI3439119.1
OG0000132	scaffold5.g636.t1	KAI3439118.1
OG0000133	scaffold3.g6559.t1	KAI3436087.1
OG0000133	scaffold5.g852.t1	KAI3436118.1
OG0000134	scaffold8.g1572.t1	KAI3434507.1
OG0000134	scaffold8.g1615.t1	KAI3434481.1
OG0000135	scaffold14.g1179.t1	KAI3427004.1, KAI3427005.1
OG0000135	scaffold14.g1278.t1	KAI3427163.1
OG0000138	scaffold8.g1664.t1	KAI3434435.1, KAI3434437.1
OG0000139	scaffold6.g2876.t1	KAI3436719.1
OG0000139	scaffold4.g4994.t1	KAI3436720.1, KAI3423290.1
OG0000140	scaffold26.g3327.t1, scaffold9.g3026.t1, scaffold4.g4774.t1	KAI3429255.1
OG0000141	scaffold9.g3139.t1	KAI3429557.1
OG0000141	scaffold2.g7295.t1	KAI3430758.1
OG0000142	scaffold4.g4950.t1, scaffold7.g3403.t1	KAI3435007.1
OG0000143	scaffold15.g4263.t1	KAI3425038.1
OG0000144	scaffold15.g4372.t1	KAI3430812.1
OG0000144	scaffold15.g4371.t1	KAI3430813.1
OG0000145	scaffold3.g6216.t1, scaffold3.g6176.t1	KAI3435657.1, KAI3435658.1
OG0000146	scaffold2.g7081.t1	KAI3427194.1, KAI3427394.1
OG0000147	scaffold2.g7115.t1	KAI3427441.1
OG0000148	scaffold12.g8213.t1	KAI3424368.1
OG0000155	scaffold16.g58.t1	KAI3426243.1
OG0000155	scaffold19.g1845.t1	KAI3437731.1
OG0000156	scaffold16.g145.t1	KAI3425366.1, KAI3425370.1
OG0000156	scaffold24.g2935.t1	KAI3425364.1
OG0000156	scaffold16.g148.t1	KAI3425362.1
OG0000157	scaffold3.g6665.t1	KAI3430347.1
OG0000157	scaffold7.g3401.t1, scaffold7.g3388.t1	KAI3435028.1
OG0000158	scaffold2.g6784.t1	KAI3435882.1
OG0000159	scaffold2.g7350.t1	KAI3437790.1
OG0000160	scaffold5.g679.t1	KAI3439020.1, KAI3439019.1
OG0000161	scaffold5.g780.t1	KAI3428596.1
OG0000161	scaffold5.g873.t1	KAI3428599.1, KAI3428598.1
OG0000163	scaffold26.g3367.t1	KAI3424829.1
OG0000163	scaffold5.g871.t1, scaffold5.g815.t1, scaffold12.g7917.t1, scaffold3.g6473.t1	KAI3430893.1
OG0000164	scaffold5.g964.t1	KAI3430342.1
OG0000167	scaffold14.g1237.t1	KAI3433286.1
OG0000167	scaffold2.g7162.t1	KAI3433287.1, KAI3433288.1
OG0000168	scaffold8.g1370.t1	KAI3436814.1
OG0000168	scaffold14.g1244.t1	KAI3427078.1, KAI3427077.1
OG0000169	scaffold6.g2654.t1, scaffold8.g1364.t1, scaffold6.g2691.t1, scaffold6.g2671.t1	KAI3434856.1, KAI3436665.1
OG0000170	scaffold8.g1450.t1	KAI3436889.1
OG0000171	scaffold6.g2638.t1	KAI3436861.1
OG0000172	scaffold8.g1600.t1	KAI3438585.1
OG0000172	scaffold3.g6374.t1	KAI3438682.1
OG0000174	scaffold18.g1938.t1	KAI3428134.1
OG0000175	scaffold10.g2283.t1	KAI3439045.1
OG0000177	scaffold6.g2519.t1	KAI3432601.1, KAI3432602.1
OG0000178	scaffold6.g2737.t1	KAI3436643.1
OG0000179	scaffold7.g3607.t1, scaffold7.g3550.t1	KAI3425241.1
OG0000179	scaffold3.g6247.t1	KAI3435769.1
OG0000180	scaffold7.g3627.t1, scaffold7.g3615.t1	KAI3434687.1, KAI3434688.1
OG0000181	scaffold1.g5177.t1	KAI3424095.1
OG0000181	scaffold7.g3655.t1	KAI3423988.1
OG0000182	scaffold1.g5305.t1	KAI3433875.1
OG0000182	scaffold1.g5309.t1	KAI3433869.1
OG0000182	scaffold32.g3814.t1, scaffold1.g5314.t1	KAI3433862.1
OG0000183	scaffold42.g4468.t1	KAI3425045.1
OG0000183	scaffold11.g3860.t1	KAI3429867.1
OG0000184	scaffold11.g4002.t1	KAI3429733.1
OG0000186	scaffold23.g4082.t1, scaffold23.g4083.t1	KAI3434380.1
OG0000187	scaffold15.g4354.t1	KAI3426464.1, KAI3430784.1, KAI3430762.1, KAI3430795.1
OG0000188	scaffold30.g4446.t1	KAI3439018.1, KAI3439025.1, KAI3439026.1
OG0000189	scaffold4.g4645.t1	KAI3438478.1, KAI3438481.1, KAI3438482.1, KAI3438479.1, KAI3438484.1, KAI3438480.1, KAI3438477.1
OG0000190	scaffold4.g5051.t1	KAI3428407.1, KAI3428408.1
OG0000190	scaffold4.g5053.t1	KAI3428404.1
OG0000191	scaffold3.g6416.t1	KAI3435822.1
OG0000191	scaffold25.g5115.t1	KAI3436101.1
OG0000192	scaffold1.g5245.t1	KAI3433906.1
OG0000192	scaffold1.g5206.t1, scaffold1.g5286.t1	KAI3433920.1, KAI3433921.1
OG0000194	scaffold1.g5407.t1	KAI3433611.1
OG0000194	scaffold1.g5412.t1	KAI3433618.1
OG0000195	scaffold29.g5966.t1	KAI3424719.1, KAI3424720.1
OG0000196	scaffold20.g7659.t1	KAI3431342.1, KAI3438937.1
OG0000196	scaffold22.g6043.t1	KAI3430975.1
OG0000197	scaffold3.g6577.t1	KAI3435989.1, KAI3435990.1
OG0000198	scaffold2.g7204.t1	KAI3430894.1
OG0000199	scaffold2.g7305.t1	KAI3430819.1
OG0000200	scaffold12.g7968.t1	KAI3425734.1
OG0000200	scaffold12.g7938.t1, scaffold12.g7937.t1	KAI3425733.1, KAI3425732.1
OG0000205	scaffold16.g32.t1	KAI3425056.1
OG0000206	scaffold12.g8121.t1, scaffold12.g8124.t1, scaffold16.g115.t1, scaffold1.g5564.t1	KAI3426010.1
OG0000207	scaffold2.g6832.t1	KAI3429840.1
OG0000208	scaffold7.g3608.t1	KAI3434957.1
OG0000208	scaffold13.g186.t1	KAI3430444.1
OG0000209	scaffold9.g3206.t1, scaffold7.g3683.t1, scaffold23.g4196.t1, scaffold14.g1151.t1, scaffold3.g6621.t1, scaffold13.g220.t1, scaffold11.g3890.t1, scaffold27.g5994.t1	KAI3432815.1
OG0000210	scaffold13.g326.t1	KAI3433504.1
OG0000211	scaffold10.g2380.t1, scaffold13.g400.t1, scaffold4.g4992.t1	KAI3430458.1
OG0000211	scaffold13.g409.t1	KAI3430244.1
OG0000213	scaffold17.g476.t1	KAI3431735.1
OG0000214	scaffold17.g595.t1	KAI3431690.1, KAI3431689.1
OG0000215	scaffold5.g708.t1, scaffold14.g1146.t1	KAI3426058.1, KAI3429461.1
OG0000216	scaffold5.g803.t1	KAI3438909.1
OG0000216	scaffold21.g2142.t1	KAI3438099.1
OG0000218	scaffold5.g972.t1	KAI3438633.1
OG0000218	scaffold5.g1004.t1	KAI3438612.1, KAI3438611.1
OG0000220	scaffold14.g1084.t1	KAI3426926.1
OG0000220	scaffold14.g1070.t1	KAI3426917.1, KAI3426915.1
OG0000221	scaffold14.g1123.t1	KAI3427040.1
OG0000222	scaffold14.g1137.t1	KAI3430625.1, KAI3430290.1
OG0000223	scaffold14.g1212.t1	KAI3429352.1
OG0000224	scaffold14.g1279.t1	KAI3436447.1, KAI3436449.1, KAI3436450.1
OG0000225	scaffold14.g1315.t1	KAI3427242.1, KAI3427243.1
OG0000226	scaffold14.g1353.t1	KAI3436138.1
OG0000226	scaffold15.g4256.t1	KAI3432639.1
OG0000226	scaffold6.g2501.t1	KAI3432638.1
OG0000227	scaffold19.g1837.t1	KAI3428353.1
OG0000228	scaffold18.g1882.t1	KAI3428331.1
OG0000228	scaffold2.g7028.t1	KAI3427233.1
OG0000229	scaffold3.g6703.t1, scaffold18.g1973.t1	KAI3428790.1
OG0000230	scaffold18.g2049.t1, scaffold18.g2050.t1	KAI3426056.1
OG0000231	scaffold11.g3937.t1, scaffold21.g2108.t1	KAI3432754.1
OG0000232	scaffold21.g2139.t1	KAI3438106.1
OG0000233	scaffold29.g5964.t1	KAI3424986.1
OG0000233	scaffold21.g2199.t1, scaffold6.g2843.t1	KAI3436602.1
OG0000234	scaffold10.g2304.t1, scaffold10.g2480.t1	KAI3431547.1
OG0000234	scaffold7.g3760.t1	KAI3431537.1
OG0000235	scaffold4.g4845.t1	KAI3428279.1
OG0000235	scaffold6.g2574.t1, scaffold22.g6034.t1	KAI3428280.1
OG0000236	scaffold76.g4559.t1	KAI3436451.1
OG0000236	scaffold6.g2728.t1	KAI3436456.1, KAI3436463.1
OG0000237	scaffold6.g2740.t1	KAI3436646.1
OG0000238	scaffold6.g2764.t1	KAI3436610.1
OG0000238	scaffold6.g2766.t1	KAI3436609.1
OG0000239	scaffold20.g7869.t1	KAI3425089.1
OG0000239	scaffold6.g2821.t1	KAI3436580.1
OG0000240	scaffold24.g2993.t1	KAI3436739.1, KAI3428472.1, KAI3428473.1, KAI3436740.1
OG0000241	scaffold9.g3145.t1	KAI3430566.1, KAI3438532.1
OG0000242	scaffold9.g3177.t1, scaffold1.g5183.t1	KAI3438442.1
OG0000242	scaffold4.g4579.t1, scaffold11.g4004.t1	KAI3429690.1
OG0000243	scaffold9.g3187.t1	KAI3429350.1
OG0000243	scaffold9.g3189.t1	KAI3429349.1
OG0000244	scaffold2.g6993.t1	KAI3429327.1
OG0000245	scaffold9.g3274.t1	KAI3433822.1, KAI3433849.1
OG0000246	scaffold1.g5436.t1	KAI3433585.1
OG0000246	scaffold3.g6288.t1, scaffold9.g3286.t1	KAI3429755.1
OG0000247	scaffold7.g3373.t1	KAI3424686.1
OG0000247	scaffold7.g3375.t1	KAI3435031.1
OG0000248	scaffold7.g3499.t1	KAI3434894.1
OG0000248	scaffold7.g3498.t1	KAI3434899.1, KAI3434901.1
OG0000249	scaffold7.g3709.t1	KAI3434963.1, KAI3434965.1, KAI3434964.1, KAI3434962.1
OG0000250	scaffold11.g3839.t1	KAI3439123.1, KAI3424823.1
OG0000251	scaffold11.g3857.t1, scaffold11.g3853.t1, scaffold11.g3847.t1, scaffold11.g3876.t1	KAI3429792.1, KAI3429850.1
OG0000252	scaffold2.g7376.t1	KAI3430582.1
OG0000252	scaffold11.g3914.t1	KAI3429628.1
OG0000253	scaffold11.g3946.t1	KAI3429645.1
OG0000254	scaffold23.g4177.t1	KAI3426405.1, KAI3423897.1, KAI3426404.1, KAI3432795.1
OG0000255	scaffold4.g4660.t1	KAI3431343.1, KAI3431338.1
OG0000256	scaffold4.g4760.t1	KAI3438393.1
OG0000257	scaffold1.g5203.t1	KAI3433930.1, KAI3433926.1
OG0000257	scaffold1.g5204.t1	KAI3433927.1
OG0000258	scaffold1.g5228.t1, scaffold3.g6685.t1, scaffold1.g5316.t1	KAI3433843.1
OG0000259	scaffold1.g5471.t1	KAI3433559.1
OG0000259	scaffold1.g5467.t1	KAI3433565.1
OG0000259	scaffold1.g5468.t1	KAI3433564.1
OG0000260	scaffold1.g5623.t1	KAI3435018.1, KAI3435017.1, KAI3424762.1, KAI3424761.1, KAI3424760.1
OG0000261	scaffold1.g5651.t1	KAI3436460.1, KAI3436332.1
